place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChZDSUhNMG9nS0VJQ0FnSUNteHEtMFVREAE,foodpanda下單的，另外一份餐點缺貨了也沒有立刻告知。 熱美式蓋子沒用膠帶封，送來都灑了。,Chinese,1 週前,2022-01-03 22:41:31.364452,1.0,HEI YU HI,0,0,https://www.google.com/maps/contrib/106619837350729232543/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChdDSUhNMG9nS0VJQ0FnSURHMDRDNHhRRRAB,一顆星都不想給 選個蛋糕而已 我知道要關門 也沒有很久 再那邊催好了沒 說要關門了 請問這是良好的教育訓練嗎？這樣跟客人說話 直接趕客人 非常離譜 一個戴眼鏡不高的女生 乾脆不買,Chinese,3 週前,2022-01-03 22:41:31.365452,1.0,張宸熙,0,0,https://www.google.com/maps/contrib/102821320330470692648/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChZDSUhNMG9nS0VJQ0FnSURHeE16NlNREAE,男性服務員…想詢問什麼叫做客人不急，你急什麼？ 口罩也拿下來，還聞泡好的咖啡… 吃東西拿口罩下來可以接受…但都在泡咖啡了，是不是應該要戴好呢？ 別間85都沒有這個問題…,Chinese,1 個月前,2022-01-03 22:41:31.365452,2.0,Evelyn Chin,0,0,https://www.google.com/maps/contrib/103205224272372715806/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChZDSUhNMG9nS0VJQ0FnSUQ2a2Z6dEd3EAE,音樂很讚！買東西還能聽到這麼棒的音樂 還有晚班的妹妹服務態度也超好,Chinese,2 個月前,2022-01-03 22:41:31.365452,5.0,Muggle,0,0,https://www.google.com/maps/contrib/106316187827494136618/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChdDSUhNMG9nS0VJQ0FnSUM2MGNDWHd3RRAB,一男性結帳人員態度很差，買一個小甜點，因爲只有4個，是2x2排列，靠外的一個比較美，而且上面的草莓是1/2個，靠內的草莓是1/4個，我們說要買靠外的那個，他大聲說我們不能挑，只能直接出。如果東西多就算了，只挪一個，就能買到客人要的也不願意。重點是欠你錢嗎？口氣需要這麽差，這麼大聲嗎？不能好好說話嗎？莫名其妙，不會再去第二次。,Chinese,3 個月前,2022-01-03 22:41:31.366451,1.0,Nicole Lo,0,0,https://www.google.com/maps/contrib/101052694437559637306/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChZDSUhNMG9nS0VJQ0FnSUM2NXZIR0lREAE,請加油，供貨量不足就應該在電話預約時告知客人！而不是等到客人到現場才說什麼東西沒了。感受真的很差👎🏻浪費大家寶貴時間 還有，明明就已經電話預約了，說5-10分鐘後可以取餐。10分鐘後去竟然還沒做！！太扯了！！😡真的很不敢恭維,Chinese,3 個月前,2022-01-03 22:41:31.366451,1.0,Rong H,0,0,https://www.google.com/maps/contrib/112751305841012652806/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChdDSUhNMG9nS0VJQ0FnSURHcDVxdzN3RRAB,12/11上午女店員態度超差,Chinese,3 週前,2022-01-03 22:41:31.367470,1.0,bo com,0,0,https://www.google.com/maps/contrib/112380244288174553383/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChZDSUhNMG9nS0VJQ0FnSUQ2bUozR1JBEAE,買杯咖啡早班女店員態度不是很優 選服務業可否甘願！？,Chinese,3 個月前,2022-01-03 22:41:31.367470,1.0,小八,0,0,https://www.google.com/maps/contrib/114906805110747624383/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChZDSUhNMG9nS0VJQ0FnSUNxdjdHRVFBEAE,男店員很會翻白眼🙄️👏，對員工來說少一個客人是沒差，對這間店的老闆來說呢？85度C很多間，店員的素質也相差很多，可以去別家看看學習一下別人的員工品質，看你們的評價真的也差不多就這樣而已🤷🏻‍♀️,Chinese,6 個月前,2022-01-03 22:41:31.368446,1.0,張純恩,0,0,https://www.google.com/maps/contrib/113349635477857837526/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
85度C咖啡蛋糕飲料烘焙-台南東寧店,ChdDSUhNMG9nS0VJQ0FnSUN5bnRudmt3RRAB,打烊前來買咖啡 服務小姐很有耐心介紹 可惜只能給五顆星👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Chinese,11 個月前,2022-01-03 22:41:31.369105,5.0,吳雅芳,0,0,https://www.google.com/maps/contrib/102274413949979680511/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2750355522360769467
