place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSUNtb01uTy1RRRAB,大推藥膳香腸~👍 麻辣豆腐香腸也不錯~ 蔥香肉燥冰淇淋好吃，毫無違和感😁,Chinese,2 週前,2022-01-03 03:15:20.229760,4.0,Maya Lin,0,0,https://www.google.com/maps/contrib/105079617631259671621/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSUQ2d3NURHF3RRAB,相當令人失望 香腸沒附蒜頭 東西也很很….,Chinese,3 個月前,2022-01-03 03:15:20.230772,1.0,小赫,0,0,https://www.google.com/maps/contrib/106311504928909440013/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSURJdE15UEl3EAE,麻辣臭豆腐香腸很特別又好吃。  藥膳香腸 吃不出明顯的藥膳味，但還算不錯吃。  麻辣臭豆腐香腸 吃了有一點驚艷到，真的是包麻辣豆腐，真的會辣，很香不會臭。最棒的是口感跟吃一般的香腸不太一樣，嘗鮮一定要試試。  這間還有賣肉燥冰淇淋也是很特別，想要下次來吃看看。,Chinese,3 年前,2022-01-03 03:15:20.230772,4.0,Bell Huang,0,0,https://www.google.com/maps/contrib/104263425646625247352/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSUN5NWUyVzdRRRAB,點了臭豆腐和藥膳口味，覺得不合胃口.... 就是嚐鮮看看。,Chinese,10 個月前,2022-01-03 03:15:20.230772,3.0,WY.C,0,0,https://www.google.com/maps/contrib/106258839738116108188/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSUNDNl9pTUhnEAE,麻辣臭豆腐香腸特別、夠辣也好吃， 是太太念書石懷念的味道， 每次來台南都要吃。,Chinese,1 年前,2022-01-03 03:15:20.231777,5.0,Brook Li,0,0,https://www.google.com/maps/contrib/102858033790446409074/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSUNVdzl2OXZBRRAB,香腸非現烤，已烤好放在一旁保溫，香腸不帶汁，口感盡失，相當可惜,Chinese,2 年前,2022-01-03 03:15:20.231777,3.0,W. L,0,0,https://www.google.com/maps/contrib/113001239287000395241/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSUNhLXZIeTBRRRAB,滂沱大雨，一根蒜味香腸溫暖我心~,Chinese,5 個月前,2022-01-03 03:15:20.232765,4.0,孫女人,0,0,https://www.google.com/maps/contrib/112617709121864246003/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSUNheC1DQkxnEAE,臭豆腐口味特別,Chinese,4 個月前,2022-01-03 03:15:20.232765,4.0,Dumbo,0,0,https://www.google.com/maps/contrib/109264540040019720066/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSUNRNExtalJnEAE,麻辣臭豆腐香腸很好吃，第一次吃到這種口味，裡面整個都是包臭豆腐，沒有肉，一支50有點小貴，可以買一次嚐鮮,Chinese,3 年前,2022-01-03 03:15:20.233765,4.0,Grace W,0,0,https://www.google.com/maps/contrib/106786229674169507637/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSUNjOTZHZFFREAE,抱持著開玩笑的心態點了蔥香肉燥冰淇淋，沒想到意外的極為好吃，肉燥的鹹與冰的甜完美交織在一起，從未嚐過的口味在嘴裡融化，雖然一隻60不算平價，但是冰淇淋的量給的很多(整支甜筒裡都有)，非常推薦一試！,Chinese,1 年前,2022-01-03 03:15:20.233765,5.0,亞克,0,0,https://www.google.com/maps/contrib/101889548106037557001/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSURRMTdHaDRBRRAB,位於台南孔廟對面，為台南著名伴手禮，特色是藥膳辣味香腸及麻辣臭豆腐香腸。,Chinese,4 年前,2022-01-03 03:15:23.456547,3.0,JIA-HUI ZHAN,0,0,https://www.google.com/maps/contrib/115583470267832987889/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSUNRMkxicktnEAE,臭豆腐香腸很特別，好吃。,Chinese,3 年前,2022-01-03 03:15:23.457547,5.0,劉建宏,0,0,https://www.google.com/maps/contrib/113634741936931120346/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSURVaFp1N0l3EAE,臭豆腐香腸很特別，辣辣的而且有臭豆腐味和香腸的口感 肉臊冰淇淋就是有肉臊味道的冰淇淋，我並不是很喜歡但如果有興趣可以嘗試看看，肉臊味並不會很重,Chinese,2 年前,2022-01-03 03:15:23.457547,3.0,陳晁嘉,0,0,https://www.google.com/maps/contrib/100851295602978202059/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSUN5bV9fSWd3RRAB,藥膳香腸好怪，本身蠻愛藥膳風味的東西 蒜味香腸沒什麼蒜味 都是偏瘦肉多  米糕剛好只剩麻油雞米糕 嗯。。就那樣XD 普普,Chinese,10 個月前,2022-01-03 03:15:23.458535,3.0,土熊Kuma,0,0,https://www.google.com/maps/contrib/112496875416667507102/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChZDSUhNMG9nS0VJQ0FnSUN5bmJybkZBEAE,📌玉米濃湯冰淇淋 $50 蠻好吃的 就是玉米味和玉米顆粒和蠻濃的奶味👍🏽 另外還有蔥香肉燥冰淇淋 那個吃起來的感覺像是滷肉綠豆椪 也不錯吃 其實應該是見仁見智啦 還會想回來吃其他的口味😋,Chinese,10 個月前,2022-01-03 03:15:23.458535,5.0,Oriane Chen,0,0,https://www.google.com/maps/contrib/110706867414733593317/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
不老莊藥膳香腸,ChdDSUhNMG9nS0VJQ0FnSURnNDZMSjRBRRAB,2018/04/15 今天吃的口味是臭豆腐香腸，好好吃！意猶未盡！！,Chinese,3 年前,2022-01-03 03:15:23.459535,5.0,凃雅婷,0,0,https://www.google.com/maps/contrib/103948744482251032157/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7177288601832733031
