place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSUNHcWZhZjBRRRAB,🔹H/拿鐵💵130 🔸I/伯爵奶茶💵140 🔹起司玉米薄餅💰60 🔸起司花生薄餅💰60 🔹蔬果沙拉💵100(時價) 🔺沙拉醬可以請店員另外裝盤 - 在地台南人才知道的老派咖啡廳，外觀像是童話書所描繪的魔法屋，推開木門卻是溫馨復古的裝潢，格外驚喜，這裡的狼客都是老顧客，放眼望去就屬Greta最幼齒。早上來一個薄餅和一碗蔬果沙拉，頓時覺得活力滿滿，可以開啟新的一天。  薄餅讓人越吃越喜歡，越看越想念，此時此刻恨不得再來一塊，牽絲的玉米起司搭配酥脆的薄餅，雖然簡單但卻不平凡，尤其是在薄餅上桌時，熱熱的食用更無敵，起司花生也好吃，是鹹花生唷～跟薄餅超搭。  蔬果沙拉也無敵豐富，除了有蘿蔓美生菜、苜蓿芽，還有各式各樣的水果，營養超均衡。如果不喜歡沙拉醬直接淋在水果上，可以請店員另外裝盤。,Chinese,2 個月前,2022-01-03 17:46:51.818268,5.0,黃翊婷,0,0,https://www.google.com/maps/contrib/108118191691552386896/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChZDSUhNMG9nS0VJQ0FnSUNHM2NmOVFREAE,週日09:30排隊十個人 店裡很小 擁擠到不行 一定要併桌 （我還併三組同一桌（在疫情時代 不太能接受） 大多都是熟客 年齡層偏高 飲料都用一般紙杯裝 餐具也是隨便用餐巾紙隨便包 濕紙巾也是超復古濕紙巾一點消毒乾淨感覺都沒有 口味上 柳橙汁不錯很新鮮 水果沙拉水果種類多 但沒有很甜 網路上沙拉醬人家都大推 但我覺得普通 可麗餅皮很脆好吃 沒有多添加糖 飲料我點奶茶 一個小紙杯根本喝不完 一個套餐170$（柳橙汁 水果沙拉 飲料） 我覺得偏貴。 店員態度還算親切 兩顆星給店員、鄉村老音樂、柳橙汁、可麗餅。 我個人認為高評價來自於老顧客們的造神以及吃的是回憶。 在年輕人時代只會被排斥的一般早餐店。,Chinese,1 個月前,2022-01-03 17:46:51.818268,2.0,薛薛你,0,0,https://www.google.com/maps/contrib/115318302700749822967/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChZDSUhNMG9nS0VJQ0FnSUQ2ODkyLVlREAE,現場等約要30分鐘 但是一切都是值得的  店家的天花板橫樑結構是木頭 好像感受在小木屋是早午餐 有帶有在外國的感覺  他們的menu 只有一張小卡  新鮮的柳橙汁 非常鮮甜  水果沙拉的醬汁非常特別  那這一定要點法式薄餅 超級好吃又脆的 起司玉米必點的口味  起司還會連成一條 份量十足  奶茶又不會很甜 剛剛好  回去之後還一直留戀薄餅香味,Chinese,2 個月前,2022-01-03 17:46:51.819285,5.0,Kelly Wu,0,0,https://www.google.com/maps/contrib/109886332611191409276/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChZDSUhNMG9nS0VJQ0FnSUNtb2ZPVVVBEAE,有夠糟糕 店內很「小」需要與「不認識」的人 於一張小桌面對面共食 沒有個人空間 可能我非常不幸運 吃到了一個有夠新鮮完全無味的「蔬菜披薩」 有夠「難吃」 即使上面有一層起司也完全吃不出來 完全被滿嘴蔬菜「生澀」的味道覆蓋 甚至壓不住的在嘴裡逸散開來 有夠不符合我的胃口的難吃 如果不點這個「蔬菜披薩」 另外兩個同伴等了將近半小時還沒吃到主餐 等「有夠久」,Chinese,3 天前,2022-01-03 17:46:51.819285,1.0,羅崧桂,0,0,https://www.google.com/maps/contrib/103633651575680337025/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSUQ2d3RMNDBBRRAB,喜歡安靜的獨行者來要三思，由於空間小生意又太好，特別是80%是熟客，氣氛頗為“熱鬧”，沙拉的醬可以調整（沒仔細看menu所以有些慘）、三明治烤到很脆也讓我難受，飲料的熱咖啡ok，坐在收銀口的位置則尷尬異常，多年老店自有其迷人處，但我完全無法自在融入~,Chinese,3 個月前,2022-01-03 17:46:51.820271,2.0,Sufong,0,0,https://www.google.com/maps/contrib/115916806796211876142/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSUQ2OWR2Q2hBRRAB,十一點半之後是單點菜單。起司蔬菜全麥三明治皮烤的脆脆的（好吃但有點刮舌頭），內餡很夠份量很好吃，紅豆起司薄餅，紅豆跟鹹起司不搭，但薄餅皮很好吃（下次試甜的口味）店裡氣氛很輕鬆，店員阿姨們都很親切，難怪假日要等很久（我是平日來幾乎滿座，但幸運不用等）,Chinese,2 個月前,2022-01-03 17:46:51.820271,5.0,Lucia Li,0,0,https://www.google.com/maps/contrib/100368978067754142157/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChZDSUhNMG9nS0VJQ0FnSUQ2dHItTERnEAE,紅豆起司薄餅超級好吃！配上一杯杏仁拿鐵👍,Chinese,3 個月前,2022-01-03 17:46:51.821270,5.0,Eva Yin,0,0,https://www.google.com/maps/contrib/109890313854804669886/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChZDSUhNMG9nS0VJQ0FnSUNHd3J5N2VnEAE,假日生意很好，人多的話建議一大早8-9點去，有機會可以直接做到大桌位；可麗餅薄脆剛好，口味多；套餐附柳橙汁、可麗餅/厚片、水果沙拉、飲料,Chinese,2 個月前,2022-01-03 17:46:51.821270,5.0,Gina Chia,0,0,https://www.google.com/maps/contrib/115812816760495930193/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChZDSUhNMG9nS0VJQ0FnSUNtNFpibkxBEAE,每道餐點都好吃,Chinese,3 天前,2022-01-03 17:46:51.821270,5.0,余芬貞,0,0,https://www.google.com/maps/contrib/117668274682633034683/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSUQ2OV82WnJBRRAB,11：30之前的套餐優惠很多，11：30如果單點一樣的東西（但份量比較多）要$310，其實三樣東西吃了會飽,Chinese,2 個月前,2022-01-03 17:46:51.822270,5.0,HSIN,0,0,https://www.google.com/maps/contrib/116483129835930572043/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChZDSUhNMG9nS0VJQ0FnSURjMjdXM2VBEAE,給咖啡師的建議： C餐 沙拉不要生菜跟醬 芝麻起司餅 黑咖啡（熱）  接下來，感受台南的。,Chinese,4 個月前,2022-01-03 17:46:55.242290,5.0,渡易修,0,0,https://www.google.com/maps/contrib/109181265472075813296/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSUNLaDZlMXpRRRAB,在台南開了26年的店 要不是今天跟醫生有約 我大概沒有機會來吃到 不分平日假日幾乎滿座 法式薄餅是伊莉的強項 我選擇全麥蔬果三明治 咖啡老闆手沖真的不錯 #伊莉的店20210421,Chinese,8 個月前,2022-01-03 17:46:55.243270,5.0,艾小姐,0,0,https://www.google.com/maps/contrib/101791701781443653494/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSUQ2Mk15c3JnRRAB,在地20幾年的早午餐咖啡店，可吃飽的餐點不多，就分厚片土司與烤薄片，咖啡有別於ㄧ般早午餐店，服務生是很親切的大姐們，適合給小聚又不喜環境太吵雜的客人,Chinese,3 個月前,2022-01-03 17:46:55.243270,5.0,SHIH YEN LI,0,0,https://www.google.com/maps/contrib/114747626711007972194/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSURLdHJ2RW5RRRAB,餐不錯！ 不枉費走那麼遠路，來朝聖！,Chinese,7 個月前,2022-01-03 17:46:55.244278,4.0,廖Fen,0,0,https://www.google.com/maps/contrib/100340269476514748451/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSURDX1pMWDBRRRAB,超過20年的早午餐店 說是台南早午餐店的始祖也不為過 不想要用餐緊湊就選平日來吧 不然假日生意那麼好你也別無選擇被趕 畢竟人家是真的有實力的店阿  店內裝潢有一股宮崎駿的感覺 連店員穿的也很像借物少女的感覺 音樂都放著好聽的爵士曲風  首推 藍莓乳酪 花生乳酪 這兩款吃起來真的好搭 乳酪是那種會牽絲而不是起司片  巧克力口味吃起來就很廉價 像是外面刨冰店用的巧克力醬  可麗餅單吃就會有濃濃的奶香 吃起來就是跟夜市的不一樣 建議先吃最邊緣原味 再吃偏外圍有味道的脆 最後吃中間外酥內軟的口感  附贈的水果沙拉份量算多 自製的沙拉醬好吃可口不甜膩不油膩 要醬多也可以跟店家說  柳橙汁也是現擠一杯給你 因為不加糖，所以偏酸  拿鐵喝起來有一股類似煉乳的味道 個人覺得不是太順口 所以還是選奶茶比較保險,Chinese,1 年前,2022-01-03 17:46:55.244278,5.0,Tody,0,0,https://www.google.com/maps/contrib/107338134109624270501/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
伊莉的店 慶中街店,ChdDSUhNMG9nS0VJQ0FnSURHbS11dXN3RRAB,沙拉的水果很鮮甜，沾醬粉棒，三明治很搭,Chinese,3 週前,2022-01-03 17:46:55.245276,5.0,戴英騏,0,0,https://www.google.com/maps/contrib/107623778848064372291/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1626581892569739763
