place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
修安扁擔豆花 Xiu'an Douhua,ChdDSUhNMG9nS0VJQ0FnSUNta29MRjZRRRAB,我來台南必吃的豆花，可以一天吃兩次，只是價格很貴，其中布丁雖然貴，不過吃得出來品質與製作方式與眾不同，粉粿也是令人驚艷的口感,Chinese,1 週前,2022-01-03 15:19:42.845697,4.0,A sa,0,0,https://www.google.com/maps/contrib/102614793894039510390/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChdDSUhNMG9nS0VJQ0FnSUNtZ3J1R3R3RRAB,似乎期待太高。綜合豆花個人覺得豆花及各項配料都在平均值：黃豆有豆香，只是糖水甜度又會蓋過豆花味；甜粿偏軟（居然有草莓口味）；珍珠Q度還可以更好！一碗不大，價格也偏高，希望驚豔度也能提升。,Chinese,1 週前,2022-01-03 15:19:42.845697,3.0,With Luck,0,0,https://www.google.com/maps/contrib/100129988473176884433/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChZDSUhNMG9nS0VJQ0FnSUNtX1BfQVhREAE,國華街美食？ 第一次來到國華街，東西不會非常甜 （有點顛覆對台南的想像） 紅豆豆花/花生豆花..都還不錯吃。 但是似乎已經不是「庶民美食」了 價格都偏高，份量也是偏少的.. 已經算是「觀光客」的價錢。 沒來過的人，應該都會慕名來這一遭， 但像我來過一次，應該不會再來了。 我想在你家的區域，也會有一樣好吃的豆花店。,Chinese,1 週前,2022-01-03 15:19:42.846694,3.0,蔡武雄,0,0,https://www.google.com/maps/contrib/107202957567096473721/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChdDSUhNMG9nS0VJQ0FnSUNtNXZqMnZ3RRAB,來國華街好幾次每次都路過沒有吃過 晚上趁沒有人排隊立馬坐下來吃吃看 豆花加了湯圓與芋泥 芋泥很綿密細緻 湯圓有韌有黏 豆花本身口感比較像奶酪的紋理 整體來說是一碗好吃的甜點,Chinese,6 天前,2022-01-03 15:19:42.846694,4.0,花神,0,0,https://www.google.com/maps/contrib/114918537621865578087/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChdDSUhNMG9nS0VJQ0FnSURHcmFMcWtnRRAB,來台南市必食 豆味濃郁; 本人特別覺得紅豆非常有質素😋 而太太相對比較欣賞他的芋蓉👍🏼！選料優質！  雖然相對下價錢略為昂貴😅！但旅行值得一試👏🏼👏🏼👏🏼,Chinese,3 週前,2022-01-03 15:19:42.846694,5.0,Wine Gary,0,0,https://www.google.com/maps/contrib/106424681508937670012/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChZDSUhNMG9nS0VJQ0FnSURHM19DdFZ3EAE,外帶綜合豆花附兩包糖水，若不加糖水整體豆花會太乾~珍珠、粉角很Q不軟爛。,Chinese,2 週前,2022-01-03 15:19:42.847692,4.0,Teresa Wang,0,0,https://www.google.com/maps/contrib/100413378365406665624/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChZDSUhNMG9nS0VJQ0FnSURHN2ZpNEV3EAE,黑布牛豆花85$ 綜合豆花 65$，豆花是不甜的，與糖水及其他配料一起吃不會太甜，布丁很好吃，只是有點小貴,Chinese,3 週前,2022-01-03 15:19:42.847692,5.0,王,0,0,https://www.google.com/maps/contrib/112070727954246341797/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChdDSUhNMG9nS0VJQ0FnSUNtdXAzZnlRRRAB,豆花細嫩香滑！老薑湯豆花，保留古早味！超愛！,Chinese,1 週前,2022-01-03 15:19:42.848682,4.0,W Celine,0,0,https://www.google.com/maps/contrib/103904914870614024426/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChZDSUhNMG9nS0VJQ0FnSURHMXZXMUJREAE,"請注意，店家是8點半才開門請不要8點就前往,,,扁擔豆花湯汁香甜,外帶糖水跟豆花是分開的",Chinese,1 個月前,2022-01-03 15:19:42.848682,3.0,kellyfish,0,0,https://www.google.com/maps/contrib/108138730765524365397/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChZDSUhNMG9nS0VJQ0FnSUNHcjlUSVpnEAE,豆花綿密，好吃. 配料很多元化.粉角Q彈，好吃. 芋泥煮的超級綿密，但口味偏台南風，超甜. 整體配料都算是好吃，除豆花外，都算是偏甜.  有一定的水準.台南排隊美食，不用等太久.,Chinese,1 個月前,2022-01-03 15:19:42.849691,4.0,Roger Chen,0,0,https://www.google.com/maps/contrib/112083321796691514911/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
修安扁擔豆花 Xiu'an Douhua,ChdDSUhNMG9nS0VJQ0FnSURHOU8tdjJBRRAB,這間的粉粿真的有夠軟Q好喜歡 ❤️ 有別於其他店～ 還有特別的洛神花粉粿 吃完一碗粉粿還特別外帶 豆花口感也滑順😋 布丁雞蛋味中還行沒特別驚艷,Chinese,1 個月前,2022-01-03 15:19:46.284841,4.0,Kai Kai,0,0,https://www.google.com/maps/contrib/102385023634880307338/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14370769965288900932
