place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
再發號百年肉粽,ChdDSUhNMG9nS0VJQ0FnSUNtN01PVHJnRRAB,百年肉粽店應該不用多介紹，第一次來可以從肉粽開始吃，嘗試肉燥、米、與蛋黃的台南百年配比,Chinese,1 週前,2022-01-03 03:04:42.150217,5.0,阿柒獅,0,0,https://www.google.com/maps/contrib/114285871984712867018/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChZDSUhNMG9nS0VJQ0FnSUNJOGZPMERnEAE,身為在地台南人，對肉粽的標準比較高。以前還沒有觀光客這麼多的時候超級好吃，現在品質變差（如：肉粽上桌溫溫的不夠熱、糯米變硬不如以前黏、豬腦湯常常一開店就沒賣、粽子裡面的肥肉變多）,Chinese,3 週前,2022-01-03 03:04:42.151211,3.0,Penney,0,0,https://www.google.com/maps/contrib/113221109517871822790/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChdDSUhNMG9nS0VJQ0FnSURHMFlhbGpBRRAB,小卷有點貴 肉粽就是古早味 重點我喜歡吃豬腦湯,Chinese,1 個月前,2022-01-03 03:04:42.151211,2.0,李姵瑄,0,0,https://www.google.com/maps/contrib/108269594300155094921/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChdDSUhNMG9nS0VJQ0FnSUNHNXVpeHhnRRAB,50元的基本款， 味道：及格，還行，稱不上驚艷，但是基本功紮實，味道很穩健。 餐具很特別但是有點難用,Chinese,2 個月前,2022-01-03 03:04:42.152213,4.0,Li-Dung Liao (Scandiacus),0,0,https://www.google.com/maps/contrib/112413814347096311058/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChdDSUhNMG9nS0VJQ0FnSURHa01hWm93RRAB,味道還ok古早味醬料 料多實在有干貝栗子香菇 $100/1顆還有豬髓糖小卷沙拉,Chinese,1 個月前,2022-01-03 03:04:42.152213,4.0,大邑設計,0,0,https://www.google.com/maps/contrib/102478357836281218143/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChdDSUhNMG9nS0VJQ0FnSURHejVlbTd3RRAB,肉粽好吃，但這叉子我不太會使用😄上次來沒喝到豬腦湯，這次終於有緣喝到了～我吃一小口覺得沒味道，男友說豬腦湯很好喝👍,Chinese,2 週前,2022-01-03 03:04:42.152213,4.0,yuli lin,0,0,https://www.google.com/maps/contrib/101298925936384951071/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChdDSUhNMG9nS0VJQ0FnSUQ2MnZMWGhnRRAB,嚐鮮兩次回訪 百元肉粽 小管好吃但份量太少,Chinese,3 個月前,2022-01-03 03:04:42.153212,4.0,許TK,0,0,https://www.google.com/maps/contrib/102139388473162805521/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChdDSUhNMG9nS0VJQ0FnSUNHNW9mWm1BRRAB,我買了100元的肉粽 我覺得很差  都是豬皮超多 日的，瘦肉一塊干貝小一個櫻花蝦也沒看到栗子一個蛋黃一整個都是豬皮 包很大顆是米很多 百年肉粽因該是很美味八寶也不知道哪八寶ㄟ,Chinese,2 個月前,2022-01-03 03:04:42.153212,1.0,江小娟,0,0,https://www.google.com/maps/contrib/109376790457775769495/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChZDSUhNMG9nS0VJQ0FnSUQ2MTZfU1lREAE,50元的粽子就這麼狂了，改天有機會再試試150的特製八寶粽,Chinese,2 個月前,2022-01-03 03:04:42.154212,5.0,許祚,0,0,https://www.google.com/maps/contrib/104611547348536575330/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
再發號百年肉粽,ChZDSUhNMG9nS0VJQ0FnSUM2eU9qWFJBEAE,肉粽內餡豐富價錢可以 味道還不錯不算 海產粥偏甜,Chinese,4 個月前,2022-01-03 03:04:42.154212,2.0,謝明昇,0,0,https://www.google.com/maps/contrib/103819161164940458020/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16221108663322875580
