place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSUQ2N0xTWVlREAE,經過的偶爾都會想買一杯 生津止渴 四果冰，也不錯,Chinese,3 個月前,2022-01-04 20:24:42.133617,3.0,chin-yun Ho,0,0,https://www.google.com/maps/contrib/110857324736452217285/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSUNhZ0wyV1B3EAE,相見恨晚，每次經過都沒嚐過。 這楊桃汁好喝極了。 買用氣泡水調制+蜜楊桃+楊桃源汁，在酸酸甜甜的，古早味都充滿了活力。 喝完之後再吃楊桃蜜仍然味道還很原汁原味，不受浸泡的影響。,Chinese,5 個月前,2022-01-04 20:24:42.133617,5.0,brake ho-,0,0,https://www.google.com/maps/contrib/109594863034796778054/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSURHM05HRVlBEAE,甜鹹適中酸度很棒很解渴,Chinese,1 個月前,2022-01-04 20:24:42.133617,5.0,Singzoo Wu,0,0,https://www.google.com/maps/contrib/109038322414048678128/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSURTaGZheE9REAE,很普通 人客在吃東西，店家小孩一直在旁邊丟棒球，是有沒有搞錯 還把小孩抱起來都沒發現小孩腳底沙土都飛到客人桌上了嗎？,Chinese,1 年前,2022-01-04 20:24:42.133617,3.0,侯稼芝,0,0,https://www.google.com/maps/contrib/109868067001012845490/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSUQ2bWJIRmRBEAE,歸在冰品系列 芒果青冰 結果是一杯 加了淹過的青芒果大約4條 的飲料 超級傻眼 重點喝起來很像楊桃汁 阿姨還回應我 有加冰塊的冰ㄚ 真的不行 騙人,Chinese,2 個月前,2022-01-04 20:24:42.133617,1.0,佳蓉呂,0,0,https://www.google.com/maps/contrib/111547853293833143311/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSUQ2MktITlZREAE,資深老店，東西都是「老」老闆娘手工傳承自己做的，楊桃湯不會太鹹，蜜餞系列一定要嘗嘗，不然就白來了。 密技：李鹹+酸梅汁+楊桃湯。,Chinese,3 個月前,2022-01-04 20:24:42.133617,5.0,yu song yuang,0,0,https://www.google.com/maps/contrib/105721262786041112562/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChdDSUhNMG9nS0VJQ0FnSURjNzUtUW93RRAB,楊桃汁口味偏淡 但是價格非常優惠,Chinese,1 年前,2022-01-04 20:24:42.149237,3.0,Emily Hsu (艾蜜莉),0,0,https://www.google.com/maps/contrib/109579547174569458617/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSUNjeTVDM0JREAE,好喝潤喉 70年老店,Chinese,1 年前,2022-01-04 20:24:42.149237,5.0,Bao Bao,0,0,https://www.google.com/maps/contrib/110480856749322433961/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChdDSUhNMG9nS0VJQ0FnSUM4Mm9EbjNBRRAB,便宜好喝的李鹹冰，值得來試試。旁邊麵店吃完剛好來喝杯冰飲，超爽！,Chinese,1 年前,2022-01-04 20:24:42.149237,4.0,HomeHome Chen,0,0,https://www.google.com/maps/contrib/109737567300205608232/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChdDSUhNMG9nS0VJQ0FnSUMwcDkzQ213RRAB,蜜楊桃汁（大杯）$50 鹹甜的口味顛覆你對楊桃汁的記憶！,Chinese,2 年前,2022-01-04 20:24:42.149237,5.0,Lu Lu,0,0,https://www.google.com/maps/contrib/117711337425227001937/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChdDSUhNMG9nS0VJQ0FnSURnb2FqWW9BRRAB,大姊老闆娘親切 鳳梨湯清爽解渴,Chinese,3 年前,2022-01-04 20:24:45.309511,5.0,王文森,0,0,https://www.google.com/maps/contrib/117506734691578255575/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChdDSUhNMG9nS0VJQ0FnSUN5aDdlQXlRRRAB,推薦楊桃冰！除了有楊桃汁之外還有發酵的楊桃，有點氣泡水的感覺，每次去台南必喝！,Chinese,10 個月前,2022-01-04 20:24:45.309511,5.0,楊筱南,0,0,https://www.google.com/maps/contrib/114873435067081547137/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSURBX2VQdEt3EAE,價錢不貴，歷史悠久，湯有種單純純粹感，跟一般的楊桃湯不太一樣，真的有湯貌,Chinese,3 年前,2022-01-04 20:24:45.309511,5.0,chia chung chung,0,0,https://www.google.com/maps/contrib/116324471207618414217/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSURLajQydlVREAE,親切 還記得你常喝的,Chinese,7 個月前,2022-01-04 20:24:45.309511,5.0,安田心,0,0,https://www.google.com/maps/contrib/101854076203615487165/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChdDSUhNMG9nS0VJQ0FnSURnNkpHYmxBRRAB,夏天喝冰楊桃汁非常消暑 古早味 實惠,Chinese,4 年前,2022-01-04 20:24:45.309511,5.0,Yu Chien Hung,0,0,https://www.google.com/maps/contrib/102005059490599532101/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChdDSUhNMG9nS0VJQ0FnSUR5aE9DZ3NRRRAB,好好喝啊，懷念的古早味,Chinese,10 個月前,2022-01-04 20:24:45.309511,5.0,Tommy,0,0,https://www.google.com/maps/contrib/110062243828035311857/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
劉家楊桃湯,ChZDSUhNMG9nS0VJQ0FnSURTcWR2NklBEAE,古早味的楊桃汁，值得品嚐看看！,Chinese,1 年前,2022-01-04 20:24:45.309511,5.0,劉銢鈴,0,0,https://www.google.com/maps/contrib/103447053849295304050/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2182050600955715699
