place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
勝利早點,ChdDSUhNMG9nS0VJQ0FnSUNtbnV1enhBRRAB,🎟更多美食IG搜尋：@foodielexaa_  位於成大附近的超熱門宵夜來囉！ 每次經過或要內用都有很多人來來去去的， 但幸運的是每次都有坐到內用座位✨ 勝利的內用座位有兩區，中間隔著一個夾娃娃機的店家， 座位數蠻多的！通常不太需要長時間等待😆  勝利早點主要販售傳統早餐， 包括抹醬土司、煎餃蘿蔔糕、甚至是粉漿蛋餅等等， 也有非常特別的鹹豆漿～ 總而言之是一間想在深夜吃熱騰騰的傳統早餐的好去處！ 餐點上沒有太多特別之處，但就是很簡單樸素的美味☀️ 在上餐的速度也算蠻快速俐落的，豆漿等飲品是現撈碗裝的， 如果喝不完阿姨還會幫忙裝杯封口☺️❤️ 肉包的外皮很Q彈、內餡也很香，不會有油膩味或是太硬太乾 煎餃的內餡不是印象中的豆漿店或是八方那種， 吃起來是真正的水餃下去煎的感覺～ 什麼都想吃的我和夥伴點了好多，每一樣都蠻不賴的！ 喜歡銅板傳統美食或是學生、想吃宵夜不知該去何處的 都可以來勝利吃暖暖哦😋,Chinese,5 天前,2022-01-04 17:02:55.349867,5.0,Lexa Lin (foodielexaa_),0,0,https://www.google.com/maps/contrib/113157319283178741620/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSURHMXJmRkJBEAE,台南宵夜好去處！ 招牌蔥餅、煎餃大推！ 奶茶一定要喝！ 菜單是110/11/27拍的,Chinese,1 個月前,2022-01-04 17:02:55.350868,5.0,YH,0,0,https://www.google.com/maps/contrib/102347821161187838554/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSURHMTRxTERBEAE,豬肉沙拉蛋餅我超愛  但鹹豆漿有點太酸了 導致豆漿變成豆花啦,Chinese,3 週前,2022-01-04 17:02:55.350868,5.0,墨洛芛,0,0,https://www.google.com/maps/contrib/104475637804097581067/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSURHXzhQeUR3EAE,第一次去，寫了要豬排蛋餅要加起司，結果沒加🤣 但是原味蛋餅家人喜歡吃,Chinese,2 週前,2022-01-04 17:02:55.351868,4.0,Jenny B,0,0,https://www.google.com/maps/contrib/108705413988939726877/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSUQ2aV9mRU9REAE,勝利早點，只賣下午到凌晨，早上來買不到的。這是成大學生的共同記憶。每一間大學附近，總是有一家便宜又大碗的店，勝利早點就是。賣的東西和一般早餐店一樣。還好。,Chinese,2 個月前,2022-01-04 17:02:55.351868,5.0,Richard Hsu,0,0,https://www.google.com/maps/contrib/107797778854082244739/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSUNHNVlhMlZnEAE,豬肉沙拉蛋餅是特色餐點，不是普通的豬肉是甜甜的豬肉片，不過學生時代最愛的是培根沙拉蛋餅，個人覺得比較好吃。 很久沒來了，可能很久沒來吃，覺得好像沒有記憶中好吃，偏甜跟油，但我想可能是WFH後自己煮吃清淡一年的關係。 經過16年，從一開始的25還30元變成現在一盤豬肉沙拉蛋餅40元，政府的通膨統計數字肯定不準，但菜價漲成這樣，價格還是很良心啦,Chinese,1 個月前,2022-01-04 17:02:55.352856,3.0,JY L,0,0,https://www.google.com/maps/contrib/108748860698598735022/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChdDSUhNMG9nS0VJQ0FnSUNHbUxxc3RRRRAB,豆漿口感濃郁、但有點甜 收送盤子阿姨好像火氣很大… 人很多、就是等等等～東西滿便宜的。 豬肉餡餅不錯吃。,Chinese,2 個月前,2022-01-04 17:02:55.352856,3.0,石佳涵,0,0,https://www.google.com/maps/contrib/101033384124965240569/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChdDSUhNMG9nS0VJQ0FnSUQ2MU9UTjhnRRAB,豆漿很棒、個人喜愛蛋餅、餡餅、蔥餅.... 傳統早餐，很不錯好吃,Chinese,3 個月前,2022-01-04 17:02:55.353863,5.0,An Chi Liu,0,0,https://www.google.com/maps/contrib/107441105599138101564/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSURHdXBuRVlBEAE,20年前唸大學半夜宵夜必點，今天出差到台南專程過來買，店內裝潢還是一樣，暗暗舊舊，雖然週遭的店都不知道換過幾輪了，慶興老店還在，希望可以繼續傳承下去不要走味了，難得老店還會跟客人說謝謝，不會因生意好就態度不好,Chinese,1 個月前,2022-01-04 17:02:55.353863,5.0,陳佑軒,0,0,https://www.google.com/maps/contrib/109368009035548144402/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSURHaTVicUJBEAE,宵夜好選擇 煎餃跟豬肉蛋餅好吃 鹹豆漿個人口味關係不太喜歡,Chinese,3 週前,2022-01-04 17:02:55.354864,5.0,曾宜萱,0,0,https://www.google.com/maps/contrib/112634051170904693418/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSUNtNkllY2NnEAE,豆漿 $15 不會太甜 喝起來很滑順而且蠻濃的 好喝 . 燒餅夾散蛋 $27 普普 蛋好少幾乎沒有存在感 燒餅不脆但是是香的,Chinese,2 週前,2022-01-04 17:02:58.837087,5.0,Oriane Chen,0,0,https://www.google.com/maps/contrib/110706867414733593317/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChdDSUhNMG9nS0VJQ0FnSUNHc3NqRGxRRRAB,以前吃的豬肉蛋餅是整片煎的現在是漢堡肉，比較不愛，還點了蔥油餅.豆漿.煎餃，這幾項覺得煎餃最好吃(韭菜口味的),Chinese,2 個月前,2022-01-04 17:02:58.837087,3.0,candy fang,0,0,https://www.google.com/maps/contrib/114560194950803128736/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChZDSUhNMG9nS0VJQ0FnSUNtMGZfLU9nEAE,菜包要等30分有告知是還有兩顆星的原因 因為菜包太久才改成燒餅油條 最後燒餅油條也是等30分才到餐 而且還是跟隔壁比我們晚進來的一起到 這點我就真的無法理解了,Chinese,3 天前,2022-01-04 17:02:58.838095,2.0,呂芝菁,0,0,https://www.google.com/maps/contrib/106009875077964406465/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
勝利早點,ChdDSUhNMG9nS0VJQ0FnSUNHMktMQTlnRRAB,男員工還是老闆？態度親切 東西便宜又好吃 👍,Chinese,2 個月前,2022-01-04 17:02:58.838095,5.0,Z,0,0,https://www.google.com/maps/contrib/108476171821599172383/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13920114651500073137
