place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
友誠蝦仁肉圓,ChZDSUhNMG9nS0VJQ0FnSURHekxDOExREAE,店貓好可愛 有貓咪先給讚 蝦仁肉圓很特別 好吃😋,Chinese,1 個月前,2022-01-03 03:43:06.360262,5.0,Micky Lin,0,0,https://www.google.com/maps/contrib/111881203970046876541/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChdDSUhNMG9nS0VJQ0FnSURHNk1IR3h3RRAB,甜甜的，蝦子現包，魚丸湯有油條,Chinese,1 個月前,2022-01-03 03:43:06.361263,4.0,Chia Jo,0,0,https://www.google.com/maps/contrib/102752507633768261135/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChdDSUhNMG9nS0VJQ0FnSUM2b2REMXJ3RRAB,一份有三顆小小的蝦仁肉圓，各自有兩隻蝦仁，算是很大方。 肉圓較薄皮易破，要使用湯匙吃較方便。,Chinese,3 個月前,2022-01-03 03:43:06.362274,4.0,Vicky Chan,0,0,https://www.google.com/maps/contrib/102932310214393389783/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChZDSUhNMG9nS0VJQ0FnSUNLaHRtUFlBEAE,用米跟地瓜粉做的餅皮，醬料也相當好吃。,Chinese,8 個月前,2022-01-03 03:43:06.362274,5.0,James Ku,0,0,https://www.google.com/maps/contrib/110632975569542980904/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChZDSUhNMG9nS0VJQ0FnSUNTZ1BMWk9BEAE,蝦仁肉圓3顆50 是清蒸的 皮偏軟爛 一夾容易碎 用湯匙比較方便吃 肉餡也是像夾了容易碎的絞肉 不是紮實肉塊 口味算不錯  香菇肉羹40 普通  位置在孔廟商圈周遭 二元黑輪附近 停車位較難找 門口可以停幾輛機車,Chinese,1 年前,2022-01-03 03:43:06.363273,3.0,再來r啦嘰,0,0,https://www.google.com/maps/contrib/114731492113466936529/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChdDSUhNMG9nS0VJQ0FnSURHbDVteXFnRRAB,火燒蝦就是台南料理會用的一種特色食材，跟蝦仁飯、擔仔麵一樣，這裡依然保有這樣的味道！,Chinese,3 週前,2022-01-03 03:43:06.363273,4.0,柯維然,0,0,https://www.google.com/maps/contrib/101566342577976161277/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChZDSUhNMG9nS0VJQ0FnSUNpdktMRU9BEAE,"假台南人誤打誤撞的來到這間店 , 沒有特別的招牌 , 但我被肉圓香吸引停住腳步, 距離孔廟（府中街商圈）走路3分鐘路程。 用扇形盤子裝著清蒸的招牌蝦仁肉圓 , 加上我愛的蒜泥和甜辣醬 , 第一次吃到不同口感的肉圓 , 宛如金元寶 , 吃完好運不少(?) , 有小時候去給人家吃辦桌流水席 , 那一大碗魚翅羹口感的香菇肉羹 ！ 店員們和闆娘都很親切 ,  內用長輩們居多 , 有一種來到阿嬤家用餐的古早感~蠻推薦給大家來試試。",Chinese,1 年前,2022-01-03 03:43:06.364274,5.0,天生臭臉系的murmur,0,0,https://www.google.com/maps/contrib/117053515745273433875/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChdDSUhNMG9nS0VJQ0FnSUNtNUthUzZnRRAB,好吃，下次會再去吃,Chinese,6 天前,2022-01-03 03:43:06.364274,5.0,何國榮,0,0,https://www.google.com/maps/contrib/106084807671879368012/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChZDSUhNMG9nS0VJQ0FnSURTamYybE5BEAE,麵是那種無彈性的黃麵 羹湯還不錯 沒有很稠。,Chinese,11 個月前,2022-01-03 03:43:06.365269,3.0,林聖桓,0,0,https://www.google.com/maps/contrib/113502693969327181424/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
友誠蝦仁肉圓,ChdDSUhNMG9nS0VJQ0FnSUNHMTUzby1BRRAB,湯是甜的 不合我的胃口 但有跟爸爸的回憶 所以四顆心 顆顆,Chinese,1 個月前,2022-01-03 03:43:06.365269,4.0,IgoAaron Lu,0,0,https://www.google.com/maps/contrib/104438323197334015328/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2977219638895410147
