place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
台南市牛家莊牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNtOUxIT2dRRRAB,生意很好的一家店，查了評價才知道風評不錯，但實際體驗過真心失望！  首先，桌面跟配料自助區都非常髒，這個在路邊攤很常見，但我們是室內用餐，卻擦出陳年油污，食慾上已經稍微受影響。 接著熱湯上桌，上菜速度蠻快，但全部餐具都是一次性餐具，也就是說，使用一次就會全成為垃圾，用餐時間並非疫情特別警戒時期，所以無法理解店家此舉，望店家也能永續環境，做出改變。 食物的口味上，就個人的感受來說：招牌湯跟加料湯味道都不錯，白飯也ok！但炒芥蘭牛肉跟牛雜味道吃不慣，牛雜真的很像切剩的雜料，一塊可辨識出的牛肚都沒有，僅一些肝，覺得十分遺憾！ 服務的伯伯阿姨們都很親切，三顆星給您們，謝謝🙏加油,Chinese,2 週前,2022-01-04 22:14:35.258879,3.0,Huang Aki,0,0,https://www.google.com/maps/contrib/107589942774198358302/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChZDSUhNMG9nS0VJQ0FnSURHeF95allBEAE,開車到台南已經晚上6點，隨意找了一家評價高的牛肉湯，真心覺得好好味！  週六晚上不需排隊，店內約八成滿，點牛肉湯白飯不用錢，湯鮮美味甜，簡單配上豆瓣醬跟白飯，是台南最棒的美味。  喜歡少了觀光客的小吃，簡單就是最棒的美味。,Chinese,3 週前,2022-01-04 22:14:35.270615,5.0,wen wen,0,0,https://www.google.com/maps/contrib/117851061703417659836/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChdDSUhNMG9nS0VJQ0FnSURHM3VmRzNBRRAB,百元牛肉湯，透過辛香料變化，多了更多風味選擇，但都不失湯頭清甜，若是可飲酒者，建議加入米酒風味更佳。  綜合大雜拼盤，牛筋軟透、牛肝味香，搭配牛肉湯一次網羅個個部位。  分享方式：三到四人小家庭用餐、兩人小聚、一人獨享 建議食用時機：午餐、晚餐時段 飽足度：小碗牛肉湯肉片約有十來片，份量足夠一人享用。,Chinese,1 個月前,2022-01-04 22:14:35.271824,4.0,Blinda Lin,0,0,https://www.google.com/maps/contrib/114557934117436651324/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNtOGFtSHVnRRAB,推薦點頂級霜降雪花牛肉湯 湯頭更有濃郁牛肉香 肉質也更好 缺點是等待上菜時間真的較久,Chinese,3 天前,2022-01-04 22:14:35.271824,4.0,Che-Ming Liu (Lao Liu),0,0,https://www.google.com/maps/contrib/117546789682784405414/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUNtdU1PeFJnEAE,湯頭好喝，綜合湯因爲雪花牛油脂較多，吃起來牛肉會比較甜。,Chinese,2 週前,2022-01-04 22:14:35.271824,5.0,Rebecca,0,0,https://www.google.com/maps/contrib/101803801908919130814/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUQ2Nzc2N2pRRRAB,2021.10月 價位：一般牛肉湯價位 用餐方式：有位子之後，自己拿菜單點好去櫃檯，吃飽再結帳就好了！ 交通方式：汽車要繞附近的停車格，機車很好停！ 打從我喝過台南的牛肉湯，就非常慶幸我有吃牛肉啦！這次喝了外表超級路邊的牛家莊，他的湯頭分很多種，我選最單純的牛肉湯，不加芹菜也沒有蔥跟薑，一上桌我就滿足於牛肉的軟嫩，湯頭的濃郁鮮甜牛感，屬於口味比較濃郁的！ 另一碗是牛雜湯-150元 湯頭就是加味牛肉湯了，擁有薑絲跟芹菜，合理推測是為了去牛雜的腥味，我吃了牛肝，味道跟豬肝一模一樣，加味湯的牛肉味道比較淡，但是多了薑絲就少了很多肉味，喝起來比較清爽不會膩，但是重口味的可以跳過呀！不過本來以為他是不用排隊的店，等到我出了店門口，超過10個人以上在等待內用..看來是熱門的小店！,Chinese,2 個月前,2022-01-04 22:14:35.271824,5.0,Ya-Hui Chiang,0,0,https://www.google.com/maps/contrib/100285375574192712417/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUQ2bTlLV2JREAE,2021/10/11 造訪  牛蛋湯很酷，配上半生熟的蛋讚讚，不過薑味有點太重  位置很多，連假來排一下就有位置了,Chinese,2 個月前,2022-01-04 22:14:35.271824,3.0,Hsuan Hsuan,0,0,https://www.google.com/maps/contrib/107052214970034712933/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNHbU5pUzB3RRAB,店家阿姨服務態度很親切， 點了： 牛肉燥飯-20💰 上面的牛肉有些都蠻大塊的， 而且滷汁攪拌飯很好吃😋不油膩！ 招牌牛肉湯中-150💰 湯頭很好喝，但肉沒有那麼軟嫩， 綜合大雜切盤小-150💰 味道很新鮮，很好吃😋,Chinese,2 個月前,2022-01-04 22:14:35.271824,4.0,Universe,0,0,https://www.google.com/maps/contrib/114064228065900940743/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChdDSUhNMG9nS0VJQ0FnSURHM3N2bzFnRRAB,頂級霜降雪花肉湯大推!!保證吃得你想要轉圈圈.牛味之鮮甜.推薦!,Chinese,1 個月前,2022-01-04 22:14:35.271824,5.0,嵐嵐,0,0,https://www.google.com/maps/contrib/109209394145713958373/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
台南市牛家莊牛肉湯,ChdDSUhNMG9nS0VJQ0FnSURHMnNhanBBRRAB,沒有到超級濃郁但是很清甜，牛肉很嫩份量很足。還有不同版本的可以試試看！加蔥加蛋款的很好喝😭,Chinese,1 個月前,2022-01-04 22:14:35.274843,5.0,Jessie Liu,0,0,https://www.google.com/maps/contrib/115142921811270519982/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11787861772799542663
