place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
台南府城 吳萬春蜜餞,ChZDSUhNMG9nS0VJQ0FnSUNtaHI3cUtBEAE,推 草莓乾 好吃Q彈 推 手工芒果系列   那2款 都非常好吃 甜而不膩  濕的芭樂乾 有點太鹹梅子味重  只有一張圖 其他都吃完了,Chinese,1 週前,2022-01-04 00:46:29.520843,5.0,Zixi Tai,0,0,https://www.google.com/maps/contrib/104622744909051559128/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChZDSUhNMG9nS0VJQ0FnSUNHd2ViZ2NREAE,化核橄欖好吃😋，1包65元,Chinese,1 個月前,2022-01-04 00:46:29.520843,4.0,Catherine Su,0,0,https://www.google.com/maps/contrib/102637893404642219345/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSUNpeXRHRW13RRAB,1. 小包梅子類蜜餞一包65，推薦大仙李、化應子，店家人超好，每個都給試吃，不僅會詳細說明並提供選購建議以外，考量衛生還都用新的竹籤給顧客試吃，讚👍 2. 店家就在廟旁邊的小巷子裡，可能要繞一下才找的到。,Chinese,1 年前,2022-01-04 00:46:29.521842,5.0,Rona Li,0,0,https://www.google.com/maps/contrib/114631391000238205867/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSUNjODhDcnhnRRAB,草莓真的推薦的好好吃，有點不想送人吃了哈哈🤣香菇也好吃吃不停，可以來團購惹☺️#台南推推完全不雷,Chinese,1 年前,2022-01-04 00:46:29.521842,5.0,EMMA WU,0,0,https://www.google.com/maps/contrib/116738721819292779277/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSUNHZ1lHaG5BRRAB,蜜餞防腐劑很重，治癌成分多，不要多吃,Chinese,2 個月前,2022-01-04 00:46:29.522842,2.0,周柏全,0,0,https://www.google.com/maps/contrib/108097009860751640621/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSUQ4a192T2lRRRAB,2020.07.24 = ★★★☆☆ ◉推薦：化應子。 ◉化應子就是醃漬去核李子，甜鹹台灣味，口感軟而不硬。 ◉不過欠缺點特色。 ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝  同事特別託人到台南府城的【吳萬春蜜餞】買了蜜餞，帶來給我分享一下，順手寫個Note。😁  ☑化應子(120元) = 化應子就是將大粒的李子，先醃漬軟化後，輾平去核，在日曬or烘乾。吃起來是就是酸酸鹹鹹甜甜，恰到好處，道地台灣味。無核，吃起來也方便；口感也不似有的牌子過乾過硬，稍微還有點軟軟的口感，4.5分。單價也不算高，買來當作伴手禮應該是蠻受到歡迎的，只是欠缺點特色。😋,Chinese,1 年前,2022-01-04 00:46:29.522842,3.0,Chun-Ming Chang,0,0,https://www.google.com/maps/contrib/103728390737120615711/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSUNHaXJUSnVRRRAB,老牌的蜜餞老店，芭樂乾好吃,Chinese,2 個月前,2022-01-04 00:46:29.523853,5.0,王郁昇,0,0,https://www.google.com/maps/contrib/110772788468018901397/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSURvbnEzczJBRRAB,位於武廟旁有名的算命巷！ 開封後需冷藏的大湖草莓乾跟黃金柚子皮真的非常好吃！ 搭配熱茶食用是一大享受！,Chinese,2 年前,2022-01-04 00:46:29.523853,5.0,YL CHIU,0,0,https://www.google.com/maps/contrib/102374697566342546298/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSURNZ3ZfS2xRRRAB,伴手禮，蜜餞。,Chinese,2 年前,2022-01-04 00:46:29.523853,3.0,Mu-Mu,0,0,https://www.google.com/maps/contrib/102898738241448289207/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
台南府城 吳萬春蜜餞,ChdDSUhNMG9nS0VJQ0FnSUN3MXRpNXRnRRAB,20180407-藏在小巷內，店面小口味多種。買了一些回家。,Chinese,3 年前,2022-01-04 00:46:29.524853,4.0,周五晃,0,0,https://www.google.com/maps/contrib/113279482285854278265/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2284355884522219998
