place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
周氏蝦捲(南紡店),ChZDSUhNMG9nS0VJQ0FnSUM2a0p2MEhREAE,只是填飽肚子，就不要求太多了。但這碗肉燥飯實在不得了，沒有米飯的香、甜、Q，多了類似稀飯的軟、糊、滑。能夠將水份如此的不受控制煮得快變成粥也算厲害。想必未來應該會多開發粥類食品吧。,Chinese,4 個月前,2022-01-04 00:03:33.673042,2.0,Daski Liang,0,0,https://www.google.com/maps/contrib/109382287357538121490/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSURhZ2NqYzdRRRAB,20210818周氏蝦捲南紡店，台南老字號小吃，單價原本就這麼貴，不要懷疑，口味品質蠻固定的，想吃蝦捲就點個兩份來打牙祭吧(1份2條$70元)。,Chinese,4 個月前,2022-01-04 00:03:33.674020,4.0,Cyrus Guo,0,0,https://www.google.com/maps/contrib/110282950141734284237/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUNHeXU3eGh3RRAB,10/25 19:50左右去購買 我朋友已點完餐 要換我點 店員給我跑進去在那邊給我用拖把 出來 還在努力拖地 要點餐 叫我稍等一下 我都來消費 你是要全世界都在等你拖地嗎 我的時間不是時間嗎？你不會等點完餐你要拖地 你自己去慢慢拖 你進去用你的拖把我已經不想計較 但出來越看越賭懶 到底是客人重要還是看你在拖地拖到飽？你以為我們很閒等你在那邊拖地嗎？,Chinese,2 個月前,2022-01-04 00:03:33.674020,2.0,Yijing Xie,0,0,https://www.google.com/maps/contrib/115559973660577004103/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUNzeDl6aDZRRRAB,羹好像滾很久了，麵吃起來不老，感覺沒有很熟，服務真的是如評語,Chinese,1 年前,2022-01-04 00:03:33.674020,2.0,rebecca lin,0,0,https://www.google.com/maps/contrib/105122067228442962268/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUM2dDR5bDh3RRAB,9/15 晚上7:30 外帶兩份蝦捲還有乾麵 魚湯 花枝丸 肉燥飯 結果只拿到一份蝦捲⋯⋯ 手上拿太多東西沒檢查 真的感覺很差 你建議人家先檢查 你怎不建議自己檢查清楚再出餐,Chinese,3 個月前,2022-01-04 00:03:33.675028,1.0,A G,0,0,https://www.google.com/maps/contrib/116726494738398682417/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUNLLXVPUF9BRRAB,台南起家的特色小吃，到處都看的到連鎖店，但這家好像地圖上沒顯示，好幾年沒來享用，價格漲了蠻多，2012年印像是50元一組，一組2條，現已升到65元一組，但味道還是一樣，特製醬油膏，搭上芥末醬配上醃製的姜片，美味再現 肉燥飯普普，價格40元，不推薦,Chinese,9 個月前,2022-01-04 00:03:33.675028,4.0,道車,0,0,https://www.google.com/maps/contrib/108028721336726164154/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUQ2eXFfeXNnRRAB,蝦捲非常好吃， 會讓人想再點來吃， 但飯有點軟爛，湯品表現也較普通。,Chinese,3 個月前,2022-01-04 00:03:33.676028,3.0,Bamboo Chung,0,0,https://www.google.com/maps/contrib/101001571543650055762/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUNVdksyaXJBRRAB,口味普通，蝦捲還不錯，因為在百貨公司沒什麼選擇⋯⋯只好來吃看看,Chinese,2 年前,2022-01-04 00:03:33.676028,4.0,國民山麥DoggyMai,0,0,https://www.google.com/maps/contrib/103406179658321031897/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUQ2eU96RjB3RRAB,很久沒吃了還是很好吃，推薦蝦捲跟花枝丸，雖然單價較貴。,Chinese,3 個月前,2022-01-04 00:03:33.677027,5.0,Michelle Ms,0,0,https://www.google.com/maps/contrib/114257310634451131592/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
周氏蝦捲(南紡店),ChdDSUhNMG9nS0VJQ0FnSUNJcmQ3NDVBRRAB,麵不Q，蝦捲OK，紅茶好ㄏ,Chinese,3 年前,2022-01-04 00:03:33.677027,3.0,Willy Wu,0,0,https://www.google.com/maps/contrib/117958102179447141259/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=242115349952732750
