place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
品蓬咖啡,ChZDSUhNMG9nS0VJQ0FnSUNtNXRTRlpBEAE,單品咖啡的種類不少，我們點了卡布奇諾、拿鐵和一杯瓜地馬拉的單品咖啡，每一種口感都很好，肉桂蘋果鬆餅的餡是包在裡面，吃起來口感也不錯，服務態度也很好。,Chinese,1 週前,2022-01-04 23:10:55.099343,5.0,jende chen,0,0,https://www.google.com/maps/contrib/116493008748632826807/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChZDSUhNMG9nS0VJQ0FnSURHOWZDOUNnEAE,滑順的咖啡，搭配著好吃的甜點（好吃麵茶鬆餅與無花果派），細細品味著休閑聊天時光。,Chinese,4 週前,2022-01-04 23:10:55.099343,5.0,Bina chan,0,0,https://www.google.com/maps/contrib/108495752725879645592/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChZDSUhNMG9nS0VJQ0FnSURHOE1TLVdREAE,2021.11 二訪，環境舒適、咖啡好喝，桌上有留言小本子，看盡人生百態 2020.10 初訪，適逢旁邊永華宮有活動，印象深刻,Chinese,1 個月前,2022-01-04 23:10:55.107916,5.0,Frank H.,0,0,https://www.google.com/maps/contrib/101552406864039729372/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChdDSUhNMG9nS0VJQ0FnSUM2MEppbGlBRRAB,值得細細品味的店 當天聽了店員推薦的綠寶石單品 是我喜歡的味道 剛好去的時候遇上大雨 好險是個適合久待的地方 台南的好店太多 根本喝不完,Chinese,4 個月前,2022-01-04 23:10:55.109036,5.0,CHI EVA,0,0,https://www.google.com/maps/contrib/100652842632218543017/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChdDSUhNMG9nS0VJQ0FnSUNHeS1pTXh3RRAB,晉升為台南最愛咖啡廳 檯燈 音樂 空間 書 還有人 都很完美💕  Btw 使用不銹鋼冰磚很有意思 咖啡很好喝,Chinese,1 個月前,2022-01-04 23:10:55.109036,5.0,Yi Chen Wu,0,0,https://www.google.com/maps/contrib/100780257432364016326/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChdDSUhNMG9nS0VJQ0FnSUR5NXRmMy1RRRAB,日式老建築精品咖啡店，很適合逛街後休息放鬆，今天點了一杯西達摩+一杯果丁丁都是超水準，推薦走進小巷子後進來休息逛逛,Chinese,9 個月前,2022-01-04 23:10:55.109036,5.0,Makos Hsu,0,0,https://www.google.com/maps/contrib/109676506069023935887/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChZDSUhNMG9nS0VJQ0FnSUR5N3VDMkdBEAE,舒服的空間，處處顯露巧思細節與品味，老闆非常親切貼心，旁邊的孔廟小巷弄有許多有趣的小店可散步，咖啡有水準，度過一個美好的午后（BTW店內意外發現一本很好看的書～,Chinese,9 個月前,2022-01-04 23:10:55.109036,5.0,Wen Yi Huang,0,0,https://www.google.com/maps/contrib/115155711135655363502/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChdDSUhNMG9nS0VJQ0FnSUN5NHM3VjZnRRAB,隱身在附近巷子裡的咖啡廳 低消是一杯飲料 鬆餅很好吃 裡面的環境很舒適 還有檯燈跟插座 還有一本手札給妳寫字✍️ 老闆還很貼心借我們充電線  如果時間很足夠的話我應該會待整個下午！,Chinese,11 個月前,2022-01-04 23:10:55.109036,5.0,鄭小四,0,0,https://www.google.com/maps/contrib/103687403068244809946/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChZDSUhNMG9nS0VJQ0FnSURTbHI3ellBEAE,在問路店裏問路時 給的推薦， 說咖啡好喝 點心都是自己手做的 ， 好奇下來一探究竟， 看見店面立刻決定要進來消費  實在太美了 ！  老闆推薦的冰咖啡也好喝  無花果派不是很甜 喜歡這種自然的口味， 店內的氣氛很好 佈置也用心   走了幾個小時在此放鬆一下 給自己身體充電 又可以再來漫遊台南！,Chinese,1 年前,2022-01-04 23:10:55.109036,5.0,Vicky Hsieh,0,0,https://www.google.com/maps/contrib/115042144453931997012/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
品蓬咖啡,ChZDSUhNMG9nS0VJQ0FnSUR5dklYQ01REAE,隱身在小巷間的咖啡店，竟然有藝伎咖啡，手沖技巧高超，可以喝到豆子純粹的美味，環境也很舒適，可以坐一整個下午。,Chinese,10 個月前,2022-01-04 23:10:55.109036,5.0,Chia-Yin Hwang,0,0,https://www.google.com/maps/contrib/117932548569052860165/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7153735050651251055
