place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSURDM056SDN3RRAB,乾麵一端上來就很香，但我個人不喜歡豬油的味道，之後去會跟老闆娘說不要加😂 酸辣湯好喝，還有好吃的杏鮑菇在裡面！ 看到湯包的價位原本蠻期待的，不過跟評論說的一樣是比較厚的皮有那麼一點像蒸餃的口感，但是是好吃的。下次會點點看蝦仁蒸餃！ 店內燈光美，環境佳，很乾淨！,Chinese,1 年前,2022-01-03 23:59:15.288540,4.0,Tian Yu,0,0,https://www.google.com/maps/contrib/111494459021322590391/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUNjLVlxQllnEAE,老闆與老闆娘人都非常的親切，只是路過想說用個餐，沒想到吃到的餐點都蠻好吃的！  - 肉燥飯：鹹香之外還蠻爽口的，不會有油膩感，蠻符合我的口味，會停不下來一直吃。  - 高麗菜豬肉水餃：對於水餃控的我來說，這水餃算是中上程度了，外皮不會有麵粉的厚重感，爽口彈牙，內餡紮實，不偷工減料。  - 乾麵：整體香氣十足，吃麵的同時還有濃濃的蒜香，這麵分數也不錯！  - 酸辣湯餃：辣味比較不夠，但整體來說配得剛剛好，而且食材跟配料都很新鮮，能吃得出店家的用心。  - 鮮肉湯包：這個是我比較吃不習慣的，個人比較愛皮薄多汁的湯包，原本要小扣一顆星🌟的，但因為其他品項都蠻對我味的，因此還是給五星🌟🌟🌟🌟🌟。,Chinese,1 年前,2022-01-03 23:59:15.288540,5.0,Morris WEI,0,0,https://www.google.com/maps/contrib/113064698046838786761/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSUQ2MHZURXVnRRAB,"湯包, 蒸餃, 水餃都很好吃也很大顆 玉米濃湯與酸辣湯真材實料 老闆很客氣 熱情 已列入家族餐飲清單內",Chinese,3 個月前,2022-01-03 23:59:15.289539,5.0,Kevin Lee,0,0,https://www.google.com/maps/contrib/104750522911436576760/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUNjcFliUFFREAE,老闆老闆娘人都不錯👍 水餃皮稍微厚一點，是可以接受的，還不錯吃。 肉燥飯個人是覺得還好。,Chinese,1 年前,2022-01-03 23:59:15.289539,4.0,王星瑀,0,0,https://www.google.com/maps/contrib/108036760738867571083/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSUM2aVlUdG1BRRAB,今天去購買水餃🥟相當滿意，現在有開放內用，會推薦給同事，老闆加油！！  水餃和蝦仁蒸餃不錯，也會嘗試其他餐點。,Chinese,3 個月前,2022-01-03 23:59:15.290550,5.0,Ksenia C,0,0,https://www.google.com/maps/contrib/104624777839686132213/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSURhNjYtRWp3RRAB,高麗菜豬肉水餃很好吃，環境乾淨整潔，老闆和老闆娘服務十分親切，非常推薦的好店！ *還有推出冷凍生水餃可以回家煮呦～,Chinese,4 個月前,2022-01-03 23:59:15.290550,5.0,陳相容,0,0,https://www.google.com/maps/contrib/103738146328191740744/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSUNHNXFiejJnRRAB,環境尚屬乾淨，口味因人而異,Chinese,2 個月前,2022-01-03 23:59:15.291539,4.0,Sakura Chang,0,0,https://www.google.com/maps/contrib/110856611827028136582/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUQ2aGJfRVhnEAE,好吃、老闆、老闆娘很親切，環境乾淨：）,Chinese,2 個月前,2022-01-03 23:59:15.291539,5.0,劉宗明,0,0,https://www.google.com/maps/contrib/105953623343821601799/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUQ2cklENEx3EAE,好吃 蝦仁蒸餃皮Q,Chinese,3 個月前,2022-01-03 23:59:15.292553,5.0,Vincent Zhang,0,0,https://www.google.com/maps/contrib/101738392395343474317/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUNjNmJDMUFREAE,老闆非常親切 料多味美 大推這家,Chinese,1 年前,2022-01-03 23:59:15.292553,5.0,王亮鈞,0,0,https://www.google.com/maps/contrib/102881609637091649803/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSUNpNk5QRnhnRRAB,這附近我吃過的水餃與蝦仁蒸餃這家的最好吃飽滿又新鮮且環境也非常整潔....推薦給大家,Chinese,1 年前,2022-01-03 23:59:18.484710,5.0,歐陽亞祺,0,0,https://www.google.com/maps/contrib/102885219781040934653/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSURDMDhEejFRRRAB,服務態度真的非常好❤️看到帶小朋友 還立刻給酒精👍 麵也很好吃唷,Chinese,1 年前,2022-01-03 23:59:18.484710,5.0,凌蘋蘋,0,0,https://www.google.com/maps/contrib/114539349870616446715/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSUNDbjdQdDd3RRAB,湯包吃起來像蒸水餃，皮偏厚、肉蒸到有點硬，個人不太喜歡。但老闆態度蠻好的。,Chinese,1 年前,2022-01-03 23:59:18.485714,3.0,陳光,0,0,https://www.google.com/maps/contrib/109603367845503897307/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUNpNkxHVVlnEAE,湯包和蒸餃皮薄餡料多汁，超美味,Chinese,1 年前,2022-01-03 23:59:18.485714,5.0,Lu Emily,0,0,https://www.google.com/maps/contrib/108147051789288129975/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSUNjeDUtQ2pnRRAB,乾麵加一點大辣超級讚，水餃好吃,Chinese,1 年前,2022-01-03 23:59:18.486705,5.0,責,0,0,https://www.google.com/maps/contrib/106372464261605334112/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUNzdHFDa0F3EAE,好吃，高cp值，用料實在. 從安南區經營開始一路吃，到店家移到東區來，還是一路追吃過來，湯包 水餃....樣樣都美味.,Chinese,1 年前,2022-01-03 23:59:18.486705,5.0,may zeng,0,0,https://www.google.com/maps/contrib/101167505844444951877/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChZDSUhNMG9nS0VJQ0FnSUM4aG9hY2ZREAE,老闆 跟老闆娘態度滿好的， 不過食物就普普,Chinese,1 年前,2022-01-03 23:59:18.486705,3.0,rucy addm,0,0,https://www.google.com/maps/contrib/113987568011933156913/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
四季味湯包食堂,ChdDSUhNMG9nS0VJQ0FnSUNtcHNyRTZRRRAB,湯包好吃,Chinese,1 週前,2022-01-03 23:59:18.487705,5.0,D on,0,0,https://www.google.com/maps/contrib/100720850530130520024/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2673712415652381598
