place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
夏家手工魚麵,ChdDSUhNMG9nS0VJQ0FnSUNtLW9xenpRRRAB,>>>知道魚麵費工，可是排啊排 到了說要等三十分鐘，這是一種什麼概念呢? 看緣份，看地緣，還是看擲筊。 要不要來個每整點出幾份，還是每天出幾份。 終就希望吃美食是享受，不是碰運氣。 魚餃魚冊湯，大碗內5顆，還好有白菜點綴， 不會像民生路那，整碗濁湯中海撈。 肉燥飯，嘿嘿，在台南，強中還有更強，這兒的OK啦，加魚鬆不錯。,Chinese,1 週前,2022-01-04 16:31:46.845576,3.0,Mason So,0,0,https://www.google.com/maps/contrib/113504958360455622988/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChZDSUhNMG9nS0VJQ0FnSUNtcU5pQUxnEAE,老板有個性，排隊有次序，手工製，有賣的店不多了。 冷凍魚餃回溫後比較好煮開，買回家煮建議魚餃。,Chinese,1 週前,2022-01-04 16:31:46.845576,5.0,于嫚萍,0,0,https://www.google.com/maps/contrib/106102069541208853571/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChZDSUhNMG9nS0VJQ0FnSUM2Z05QdU53EAE,"如果整個台南只能推薦一項小吃，夏家魚麵會是我的不二選擇。自20多年前在老闆的娘家""卓家魚麵""煮麵時，就是忠實顧客，時常在開店前就在門口等候老闆以洋蔥、水果熬煮高湯；在小冰櫃中有條不紊地放置剛做好的魚麵、魚餃、魚冊，一直到老闆夫婦在府前路自立門戶開始了""夏家魚麵""，同樣是窄小的店面，女老闆一人在灶前接受點餐、製作餐點，日復一日專注作業著。  魚麵： 分為湯、乾二種，個人喜歡乾魚麵，更能品嚐出魚肉手工打製的麵條的彈牙口感與鮮甜，每一條麵都值得細細咀嚼，赤肉燥、白菜、海苔增添香氣與口感，高蛋白質低澱粉，吃了不會有太多罪惡感，唇齒卻大大滿足。  魚餃魚冊湯： 魚餃的皮同樣是魚漿打製而成，口感Q彈，豬肉內餡柔軟且有油脂香氣，魚冊與魚餃成分雷同，但因形狀各異吃起來口感也不一樣。  魚酥肉燥飯： 雖然這不是店裡的主打商品，只是讓客人填飽肚子的，但完全不馬虎，晶瑩剔透的飯粒含水量恰到好處，老滷肉燥每塊豬肉都像是袖珍的東坡肉，層次分明，充分吸收五香、甘草香料的風味，油脂包覆著每顆飯粒，再配上口感酥脆而鹹香的魚酥，總是令人無法割捨。",Chinese,3 個月前,2022-01-04 16:31:46.846573,5.0,Birdie Chang,0,0,https://www.google.com/maps/contrib/105765888361211495484/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChdDSUhNMG9nS0VJQ0FnSUNHcXRYS25nRRAB,#夏家手工魚麵 真好吃😋 老顧客真心不藏私推薦給你 台南市中心手工魚麵 #魚冊 #魚餃專門店 原卓家魚麵的女兒女婿 夫妻倆分工製作 用料實在美味鮮食 老闆娘灶前一人負責點餐烹煮 老闆幕後製作魚麵魚冊魚餃 用餐高峰時段就要排隊了！ 請耐心等候 #手工魚麵 #魚冊 #魚餃 水果蔬菜熬煮湯底鮮甜 #肉燥飯 #魚酥肉燥飯 #滷鴨蛋 #滷丸 #滷三角油豆腐 #燙青菜  🈲店前不能停汽車，會被開罰單 請先停好車才來用餐較安心。  🐷#真心不藏私推薦給你  今日下午2點後離峰時段造訪,Chinese,2 個月前,2022-01-04 16:31:46.846573,5.0,鄭瑞娟（娟姐你好 JanJ liho）,0,0,https://www.google.com/maps/contrib/103122291758751707674/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChZDSUhNMG9nS0VJQ0FnSURHNDhpRUFREAE,下午不休息，肉燥飯飯太濕太軟，其餘皆好～,Chinese,3 週前,2022-01-04 16:31:46.847571,5.0,UbiQuiTousLy,0,0,https://www.google.com/maps/contrib/104246833503747199140/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChdDSUhNMG9nS0VJQ0FnSURHc1otS2lnRRAB,連吃兩天，星期三下午免排隊，魚麵Q彈，魚冊湯鮮美，整體吃完有種海味清新感。人客多時老闆娘還是很有耐心，專注一單一單消化，專業職人精神。,Chinese,1 個月前,2022-01-04 16:31:46.847571,5.0,胡小胖,0,0,https://www.google.com/maps/contrib/117271315052337386395/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChdDSUhNMG9nS0VJQ0FnSUNtc2ZfSXNBRRAB,口感鮮味十足，經典的台南口味。內用要先排隊點餐，老闆娘會幫忙安排座位，店家空間小，大家來品嚐多多配合一下～,Chinese,3 天前,2022-01-04 16:31:46.848578,5.0,Seal Hu,0,0,https://www.google.com/maps/contrib/106391510851515571417/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChdDSUhNMG9nS0VJQ0FnSUNtM0pqWHJnRRAB,魚麵吃起來有點像是長條狀的魚丸，很特別又好吃，魚餃湯也很棒，魯丸剛油豆腐就很普通。,Chinese,1 週前,2022-01-04 16:31:46.848578,5.0,Mia Nian,0,0,https://www.google.com/maps/contrib/103860339584124788041/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChdDSUhNMG9nS0VJQ0FnSURHdHN5VXNBRRAB,魚麵吃起來就像是麵條版的魚丸，口感彈牙且香氣十足，魚冊、魚餃皮也都是用魚漿製作而成，不禁讓人覺得小當家的麵非麵應該輸了一條街。,Chinese,1 個月前,2022-01-04 16:31:46.848578,5.0,Chia-Ming Liang,0,0,https://www.google.com/maps/contrib/101976232795105789673/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
夏家手工魚麵,ChdDSUhNMG9nS0VJQ0FnSUNtZ2J5VWpRRRAB,被評論吸引前來吃吃看 東西單純好吃 價錢合理，推,Chinese,4 天前,2022-01-04 16:31:46.849572,4.0,Chen Aspen,0,0,https://www.google.com/maps/contrib/105751718688157426133/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=7885713323066056340
