place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
客再來當歸鴨美食坊,ChZDSUhNMG9nS0VJQ0FnSUNLMXJySllnEAE,這裡的價格跟份量 讓我以為我人在台北 難得吃了一百九還沒吃飽 轉身前往夜市繼續覓食 很小碗的大碗米糕 三口的當歸麵線 健康的軟骨飯 覺得最好吃的是米血 可是分量最少  最有味道的是看起來最清淡的鴨心湯 可是味道怪怪的  看著門外高掛的布條 令我充滿疑惑,Chinese,8 個月前,2022-01-04 00:32:36.380816,1.0,ZongHan Du,0,0,https://www.google.com/maps/contrib/109304632169645518689/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChZDSUhNMG9nS0VJQ0FnSURLeW9PVFJBEAE,湯頭是真的濃郁也好喝 但第一次送來就沒有很多湯 加一次還要$10 僅限加一次... 規矩好多 米糕也真的超超超小碗 我真的在台南嗎？！ 軟骨飯也是 肉一塊比一塊小 想吃飽口袋要夠深,Chinese,7 個月前,2022-01-04 00:32:36.381815,2.0,楊芊瑩,0,0,https://www.google.com/maps/contrib/110107986824015839211/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChZDSUhNMG9nS0VJQ0FnSURDazhxRFBBEAE,這家店的紅蔗嫩骨肉做得很好吃當歸鴨口味也不錯,Chinese,1 年前,2022-01-04 00:32:36.381815,4.0,蔡榮基,0,0,https://www.google.com/maps/contrib/112405453239087624954/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChdDSUhNMG9nS0VJQ0FnSUNhbU0yRHFBRRAB,米糕超好吃😋 當歸鴨腿麵線也不錯,Chinese,5 個月前,2022-01-04 00:32:36.381815,5.0,LIEN Luna,0,0,https://www.google.com/maps/contrib/116750939358291487199/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChdDSUhNMG9nS0VJQ0FnSUQ4dzRETWdBRRAB,老店，闆娘臉色不佳，口味重，沒冷氣。 紅蔗口味確實少見，四神湯之豬腸軟嫩乾淨，鴨腿湯也很好。 小碗米糕是用醬油碟嗎？！30元兩口有些誇張！,Chinese,1 年前,2022-01-04 00:32:36.382816,3.0,Sufong,0,0,https://www.google.com/maps/contrib/115916806796211876142/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChdDSUhNMG9nS0VJQ0FnSUM2aDgzNWhnRRAB,份量偏小，青菜沒什麼味道， 嫩骨飯口感不錯，可是味道不好 當歸湯頭不錯，可是鴨肉沒什麼味道  會吃到懷疑自己是不是covid-19確診,Chinese,3 個月前,2022-01-04 00:32:36.382816,1.0,郭郭鎮誼,0,0,https://www.google.com/maps/contrib/113321100515387443752/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChdDSUhNMG9nS0VJQ0FnSURDNmM3T25BRRAB,味道完全走樣，已經回不去的美味，當歸麵線湯 完全沒味……軟骨飯大碗的份量等同於小碗，飯也煮太爛 完完全全變了味。,Chinese,3 個月前,2022-01-04 00:32:36.383804,2.0,long yi huang,0,0,https://www.google.com/maps/contrib/115050321140058700888/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChdDSUhNMG9nS0VJQ0FnSUM2bnBiWF9nRRAB,米糕不錯吃，但肉燥飯幾乎沒味道，鴨肉湯鴨肉還算多，外帶有順便外帶到奇怪的蟲子，沒辦法給太高分，多一顆星給米糕的口味還算不錯。,Chinese,3 個月前,2022-01-04 00:32:36.383804,2.0,Hsu Danny,0,0,https://www.google.com/maps/contrib/106201253664375643106/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChdDSUhNMG9nS0VJQ0FnSUM2bnNyd2pnRRAB,明明沒人買 店裡面也四個人在幫忙 出餐速度卻有夠慢 等到都火大了,Chinese,3 個月前,2022-01-04 00:32:36.384805,1.0,Cielo Chou,0,0,https://www.google.com/maps/contrib/108270695813520607273/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
客再來當歸鴨美食坊,ChdDSUhNMG9nS0VJQ0FnSUNzaUpHcm9nRRAB,"價格平價，態度親切，當歸湯頭OK, 肉燥味道稍嫌不足",Chinese,1 年前,2022-01-04 00:32:36.384805,3.0,卓孟賢,0,0,https://www.google.com/maps/contrib/113154984272283125348/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=763382780330786220
