place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
寶來香餅鋪,ChdDSUhNMG9nS0VJQ0FnSUM2MFozMXFnRRAB,藏身於水仙市場裡的一個百年餅舖，綠豆椪是一絕，濃厚的綠豆香吃來卻不甜膩，難怪連在地人也愛，路過總要買上幾個解解饞～,Chinese,3 個月前,2022-01-03 15:46:18.084386,5.0,吳晉傑,0,0,https://www.google.com/maps/contrib/105693608317828293998/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChZDSUhNMG9nS0VJQ0FnSURHMnB2YUN3EAE,隱藏在水仙宮市場裡，附近不好停車，且需走進去找一下，旁邊是一家麵店。 老闆娘是一位阿婆，態度挺好，對客人有問必答。 這間餅舖是間傳統糕餅，即使是賦有美食之都/古都府城的台南，販售這種古早風味的餅舖也不多了！ 據我所知，台南部分百年古廟都是用這家的餅來祭祀神明。 有興趣的可以來嚐看看~,Chinese,1 個月前,2022-01-03 15:46:18.084386,5.0,YZM,0,0,https://www.google.com/maps/contrib/105819708942594731047/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChdDSUhNMG9nS0VJQ0FnSUR5NXVtUDFRRRAB,小而美的傳統餅舖 紅龜粿一個只要15元 早上剛做好的 拿到手中還熱騰騰 豆沙吃起來不會太甜 粿也不會太油 厚度也剛剛好 不用擔心吃完一顆很膩 份量剛剛好 不會擔心吃不完 會想要在買幾顆回家吃 傳統市場裡面的店真的都有一定水準之上,Chinese,9 個月前,2022-01-03 15:46:18.085297,5.0,Tim W,0,0,https://www.google.com/maps/contrib/116128006957519420565/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChZDSUhNMG9nS0VJQ0FnSUNtNVBUM2N3EAE,碰餅確實好吃，價格也調整飛速,Chinese,2 週前,2022-01-03 15:46:18.085297,3.0,就是愛吃Wolf,0,0,https://www.google.com/maps/contrib/109903921820056619874/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChdDSUhNMG9nS0VJQ0FnSURTaGIzX3hRRRAB,難得到台南玩，偶然路過的店家，長那麼大除了舊振南以外，吃過最好吃的綠豆椪、還有一顆杏仁味很濃、不膩口、口感很綿密的糕（忘記名字了），回程覺得後悔只買1顆。很多沒看過的餅類商品，店家阿嬤很可愛、很親切的幫我們介紹^^,Chinese,1 年前,2022-01-03 15:46:18.086296,5.0,HENGYA HO,0,0,https://www.google.com/maps/contrib/110142010245139272910/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChZDSUhNMG9nS0VJQ0FnSUNLdS1HY01REAE,豆沙包十分好吃，內餡綿密,Chinese,8 個月前,2022-01-03 15:46:18.086296,5.0,Eden Wang,0,0,https://www.google.com/maps/contrib/110691298344649871171/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChZDSUhNMG9nS0VJQ0FnSUNHM05ya1VnEAE,在地的傳統餅舖，喜歡古早味的可以買來吃看看價格便宜,Chinese,2 個月前,2022-01-03 15:46:18.086296,3.0,劉瓊文,0,0,https://www.google.com/maps/contrib/113246030104989622980/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChZDSUhNMG9nS0VJQ0FnSUQ2cXI3aGVBEAE,很好吃，不愛吃餅類 嘴又刁的女友 竟然也被征服,Chinese,3 個月前,2022-01-03 15:46:18.087308,5.0,李德銘,0,0,https://www.google.com/maps/contrib/116449674118601230906/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChdDSUhNMG9nS0VJQ0FnSUM2MGIzMnlnRRAB,東西很有古早味又好吃，而且對顧客非常和藹可親，讓人懷舊的心情油然而生,Chinese,3 個月前,2022-01-03 15:46:18.087308,5.0,呂坤鴻,0,0,https://www.google.com/maps/contrib/117357027628886515747/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
寶來香餅鋪,ChdDSUhNMG9nS0VJQ0FnSURDazdXNHJRRRAB,超好吃，來水仙宮不吃真的可惜！😍,Chinese,1 年前,2022-01-03 15:46:18.088318,5.0,piggy yang,0,0,https://www.google.com/maps/contrib/106210385269806069821/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13429862521283980942
