place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
小方舟串燒酒場,ChdDSUhNMG9nS0VJQ0FnSUNHeC1uQXd3RRAB,豆腐  🍴用餐環境：🌕🌕🌕🌗🌑 🍴喜愛程度：🌕🌕🌕🌕🌘 - 這是一家在google map評論上有著不低評分的一家店，原本是抱著可能不會吃太飽的心情前去用餐，殊不知看到菜單就什麼都想點來吃吃看（真是辛苦錢包君了），一吃才知道評價高真的不是雞腿換來的XD 先來說說今晚點的菜單的前三名吧！ 🥰第一名，明太子馬鈴薯，今天的餐點多數都跟明太子有關，但這道料理是真的大推呀！在馬鈴薯跟明太子中間還裹有一層薄薄的麵衣，一口咬下的瞬間，明太子的顆粒感加上麵衣的爽脆度和馬鈴薯的綿密，整個在嘴巴融為一體的感覺，會讓人不禁一口再接一口。 🥰第二名，讚岐烏龍麵，麵條本身Q彈有嚼勁且吸附湯汁後帶有包含其餘配料的鮮甜味，想吃主食的人可以考慮點這一道喲！ 🥰第三名，極上刺身，其實是今晚餐點最貴的一道，平均一片要$50，但是可以發現每一片都相當厚且大片，一口想要吃一片還挺有難度，既使沒有沾到哇沙米的部分，也不會覺得太腥，很適合愛吃生魚片又怕腥味的朋友們～ - ➡️菜單往左滑 🎈極上刺身 $750 🎈明太子馬鈴薯 $70 🎈牛蒡天婦羅 $90 🎈明太子雞腿肉串 $120 🎈明太子霜降豚五花 $130 🎈清酒蒸蛤蜊 $160 🎈東港櫻花蝦炒飯 $160 🎈讚岐烏龍麵 $160 🎈味噌海帶芽豆腐湯 $80 🎈醬烤香菇 $40 🎈醬烤杏鮑菇 $40 🎈炸蝦蘿蔓卷 $220  🚩 台南市東區林森路二段59號 🚩 06 236 7399 🚩 17:30-00:30  #恩諺出門玩 #恩恩吃台南 #台南美食  #燒烤 #台南吃串燒 #串燒 #小方舟串燒酒場 #東區美食,Chinese,1 個月前,2022-01-04 21:52:32.333359,4.0,允小恩（mummum_liiiife）,0,0,https://www.google.com/maps/contrib/104198633040557820458/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChdDSUhNMG9nS0VJQ0FnSUNHd2NEUF93RRAB,📍小方舟串燒酒場 🚗台南市東區  🍳明太子玉子燒$190 🥪炸豬排三明治$180 🥔明太子馬鈴薯$70 🐔月見雞肉丸$120 🍶清酒蒸蛤蠣$160 🍗明太子雞腿肉串$120 🌽旬味野菜(玉米筍)$70  看到這個巨無霸玉子燒上有著滿～滿～明太子就決定一定要來的台南人氣居酒屋🏮  意外的發現竟然只有我點玉子燒⋯不知道用了幾顆蛋，但看到店員在上面擠上明太子真的超療癒！  🇯🇵限定的炸豬排三明治，去邊的白吐司、擠上味增醬、包上酥脆的豬排，整體來說個人很喜歡，不過味增醬可以再多點更夠味，或是肉可以挑再肥一點點的部位，增加口感  小方舟每桌必點的人氣招牌✨其實是擠上滿滿明太子的馬鈴薯，厚厚切片馬鈴薯、先炸再烤、最後擠上明太子再炙燒⋯吃起來熱騰騰又軟嫩綿密～真的是超好吃（雖然熱量應該很高⋯加上等超久⋯  其他串燒都蠻好吃的，每份串燒都是兩隻一份，所以價錢都是兩隻喔！  店內環境很日式，還有樓上的樣子，不過晚上吃5:30結果店家完全在準備外送單⋯每一組內用的客人都等半小時以上才知的到餐，而且大概都是到7點以後才上完所有的餐⋯非常不ok！如果要來的話一定要做好等、超、級、無、敵、久、得、準、備，我們目睹了好幾組客人都不爽離去⋯後來跟店家反應它們也是說誤會⋯  💰可刷卡 有毒物費 🏮粉絲專頁有菜單 ☎️可官網或電話訂位 ⏰17:30-00:30 假日到1:30,Chinese,2 個月前,2022-01-04 21:52:32.333359,2.0,Lynn Ting,0,0,https://www.google.com/maps/contrib/111980632734587176807/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChdDSUhNMG9nS0VJQ0FnSUNtMGZLQXh3RRAB,超級好吃-小方舟串燒酒場， 明太子系列真的是超強💪大人味紅味噌火鍋，好好味,Chinese,3 天前,2022-01-04 21:52:32.334489,5.0,Eva Yin,0,0,https://www.google.com/maps/contrib/109890313854804669886/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChZDSUhNMG9nS0VJQ0FnSURHcWFtdVh3EAE,（🍻2021.03.26前往） 小方舟真的是心目中榜上有名的日式料理之一， 整體充滿道地日式酒場氛圍，店內空間不大， 但不論是裝潢或是店內氣氛都非常有味道， 餐點也非常美味，完全達到期待值以上， 這次列出來的品項真的都不簡單，讓人印象深刻🤤 串燒的部分真的激推！ 店內也有提供酒品可以搭配餐點享用， 很適合三五好友一起來用餐喔！  📌明太子雞腿肉串2枝120$ 📌炸雞拌飯190$ 📌烤杏鮑菇40$ 📌備長炭烤肥腸200$  🎟更多全台美食追蹤IG：@foodielexaa_,Chinese,1 個月前,2022-01-04 21:52:32.334489,5.0,Lexa Lin (foodielexaa_),0,0,https://www.google.com/maps/contrib/113157319283178741620/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChZDSUhNMG9nS0VJQ0FnSURHNnFURklnEAE,雖然地方比較狹小，但相對感覺很溫暖 燒烤的物品恰到好處十分好吃 份量也不會太少吃得非常滿足 豚舌有超乎我意外的柔軟 炸豆腐麵衣非常薄，超柔軟 胡麻冷豆腐非常夠味 明太子雞腿有Q勁 明太子烤飯糰香味口感足夠 花魚一夜干雖然份量不多但非常的軟嫩且富有油脂 脆皮豬肉香酥好吃,Chinese,1 個月前,2022-01-04 21:52:32.334489,5.0,Johnny chen,0,0,https://www.google.com/maps/contrib/106306470274556250879/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChdDSUhNMG9nS0VJQ0FnSUNHeU1EMTJRRRAB,食物還不錯吃，生意很好，點餐要一次點足，去之前最好先訂位，若天氣不太冷，建議坐在外面比較有氣氛，二樓空間很小又是密閉空間，人多講話時讓人感覺壓力很大、很不舒服。,Chinese,1 個月前,2022-01-04 21:52:32.334489,3.0,M,0,0,https://www.google.com/maps/contrib/106591365560396496872/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChZDSUhNMG9nS0VJQ0FnSURHN1liOVN3EAE,東西好吃，烤功很棒，不過價錢小貴，可...值得啦！,Chinese,4 週前,2022-01-04 21:52:32.334489,5.0,Ya-huei Lee,0,0,https://www.google.com/maps/contrib/117073082103431298279/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChZDSUhNMG9nS0VJQ0FnSUNHd2JpNGFnEAE,東西好吃，但份量是1-2人份，菜單因燒烤麻煩，客人多，所以只能點一次，好處是大家會搶著吃，想喝酒的來這裡是不錯的選擇,Chinese,2 個月前,2022-01-04 21:52:32.334489,4.0,ANN Chen,0,0,https://www.google.com/maps/contrib/113582953943696173130/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChdDSUhNMG9nS0VJQ0FnSUQ2cjREWjdBRRAB,每次到小方舟用餐，最期待的就是明太子類餐點！不僅口味很好，給的量也很足夠，但常常會忍不住點太多，而吃得有點膩口😅 雞心很多汁，非常好吃😋 最喜歡的是明太子馬鈴薯，外脆內軟的口感，再搭上明太子真是絕配！ 昨晚的服務人員芷婷很活潑親切，服務很好👍,Chinese,2 個月前,2022-01-04 21:52:32.334489,5.0,Bing Chen,0,0,https://www.google.com/maps/contrib/108646221140191502690/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
小方舟串燒酒場,ChdDSUhNMG9nS0VJQ0FnSUQ2dzRLWDlBRRAB,食材不錯 豬舌大推 其他也不錯 上菜速度慢了一點 有些來的時候稍微有點涼了 但整體而言很不錯👍🏻,Chinese,2 個月前,2022-01-04 21:52:32.334489,5.0,Andy Lu,0,0,https://www.google.com/maps/contrib/115403664537748954210/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12014235395085196598
