place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
尚品咖啡-台南南門店,ChdDSUhNMG9nS0VJQ0FnSURHb00yYzBnRRAB,很好喝，舒適的咖啡廳，可惜防疫用紙杯,Chinese,1 個月前,2022-01-03 20:55:23.626123,5.0,周士裕,0,0,https://www.google.com/maps/contrib/110803779180918827806/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChZDSUhNMG9nS0VJQ0FnSUM2aXFmM0FREAE,藍山調和式咖啡好喝，店員服務很好，有很多手沖咖啡用品及器具，還有賣到缺貨要預約的咖啡豆,Chinese,4 個月前,2022-01-03 20:55:23.627123,5.0,"YH Shih, Ryan (Ryan)",0,0,https://www.google.com/maps/contrib/116035731236513022700/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChZDSUhNMG9nS0VJQ0FnSUQ2Z3NPcWJBEAE,這個角落真的好適合放空 發呆☺️ 咖啡好好喝🥺,Chinese,3 個月前,2022-01-03 20:55:23.627123,5.0,sally,0,0,https://www.google.com/maps/contrib/107976714023928954022/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChdDSUhNMG9nS0VJQ0FnSURDOHZhR3JBRRAB,店內明亮乾淨。 原味奶茶做半糖少冰，甜度還算是偏甜，個人喜歡喝甜所以沒問題！但無法想像全糖會多甜😂 附近雖然有路邊停車格，但還是不太好找到位置，停在店門口因為是轉角紅線，會有人檢舉。,Chinese,1 年前,2022-01-03 20:55:23.628122,5.0,HUNG LEE,0,0,https://www.google.com/maps/contrib/109119616699631027021/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChdDSUhNMG9nS0VJQ0FnSUR5enJEZjJRRRAB,老店～ 環境優，服務好 買咖啡器材服務人員會詳細介紹 咖啡很讚，有時候經過也會進去外帶😋,Chinese,9 個月前,2022-01-03 20:55:23.628122,5.0,BN H.,0,0,https://www.google.com/maps/contrib/101030741213741044517/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChdDSUhNMG9nS0VJQ0FnSUNzbGU3dHVRRRAB,二十多年沒進來的咖啡店，假日的早晨生意還不錯，樓下滿座，早餐僅两種價位選擇（130，180則有沙拉）附餐咖啡可以半價改其他飲料，早餐普通，沙拉也是，（附餐）咖啡當然還是ok的，以130價位的餐來說cp值高。,Chinese,1 年前,2022-01-03 20:55:23.629133,3.0,Sufong,0,0,https://www.google.com/maps/contrib/115916806796211876142/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChdDSUhNMG9nS0VJQ0FnSURHOExfcTd3RRAB,休閒，交談，喝咖啡好去處。,Chinese,1 個月前,2022-01-03 20:55:23.629133,5.0,陳守德,0,0,https://www.google.com/maps/contrib/107927724420615568583/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChZDSUhNMG9nS0VJQ0FnSUNVdGVmaVJREAE,40年歷史的老咖啡店，很樸實懷舊的店，價格實惠，咖啡都是用虹吸壺都的，咖啡品質很穩定，三明治及早餐盤都很美味。服務員都很親切，服務也很到位，不收服務費，環境乾淨窗明几淨，一家CP值很高的店，值得再訪。,Chinese,2 年前,2022-01-03 20:55:23.629133,4.0,何豐如,0,0,https://www.google.com/maps/contrib/112908938031219328013/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChZDSUhNMG9nS0VJQ0FnSUNLa196MUFnEAE,乾淨、樸實，看來經歷了很多。 雖沒有現代品牌的時尚感， 但屬於那種早已找到自我，內含自然瀰漫的類型。  與你分享的拿鐵，真摯的那種 因著有感情的念頭而去了些門檻， 杯緣一口綿醇，你便能懂得她的溫婉,Chinese,6 個月前,2022-01-03 20:55:23.630111,5.0,BboyWheat,0,0,https://www.google.com/maps/contrib/108333737550459097546/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
尚品咖啡-台南南門店,ChZDSUhNMG9nS0VJQ0FnSUNxdGNHTVBBEAE,特調現煮冰咖啡，65元，棒！ 偶而慰勞自己：特調牙買加藍山冰咖啡，130元！,Chinese,6 個月前,2022-01-03 20:55:23.630111,5.0,taming chen,0,0,https://www.google.com/maps/contrib/103406548355969672485/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2068260190616320510
