place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSUNhLWIzSkZBEAE,普通的麵條 普通的調味 一般的配料 卻是台北的價位這一碗加蛋要70元 有一點嚇到我了😂 台南還是有我不愛的美食，單純個人的想法不代表大家覺得不好吃。,Chinese,4 個月前,2022-01-04 16:19:58.888496,1.0,Ruby,0,0,https://www.google.com/maps/contrib/108987722491864487104/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSURHaklMYlJ3EAE,是不是忘記當初創店的初衷了 雖然轉型為觀光店家，利用早年創造的名氣 可是你的餐食賣的味道與其他店家大同小異 那麼，觀光客特意到台南吃度小月的理由將不復存在。,Chinese,1 個月前,2022-01-04 16:19:58.888496,2.0,熊熊,0,0,https://www.google.com/maps/contrib/109817150809773441516/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSUM2MkxUcld3EAE,口味還可以，可是價格真的是賣觀光客的😎,Chinese,3 個月前,2022-01-04 16:19:58.889494,3.0,T. C Lin,0,0,https://www.google.com/maps/contrib/107208792351500710399/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSURLNHNEdzJnRRAB,經過時想起來了來台南還沒吃擔仔麵，便停下來吃了 一碗$60加一顆滷蛋$10一碗要$70的麵，大小跟我去吃某家牛肉湯送滷肉飯一樣大😢 吃起來麵軟爛沒有嚼勁，蝦子不新鮮，肉燥也不香，很失望。 但我拍起來賣相還不錯 下次去找找在地台南人會吃的擔仔麵,Chinese,7 個月前,2022-01-04 16:19:58.889494,1.0,不太會做飯,0,0,https://www.google.com/maps/contrib/118092662242249723599/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSURTbXQtS1hnEAE,米粉湯推薦，香菇肉燥飯普通，整體而言中等，環境清潔有待改善，滿地都是蝦子尾巴。,Chinese,1 年前,2022-01-04 16:19:58.890498,4.0,Yu Yun Cheng,0,0,https://www.google.com/maps/contrib/117292283022740113656/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSUNHd3E2QnV3RRAB,外帶可以紙碗可以塑膠袋，也不說紙碗要加錢 直接收紙碗錢？ 兩碗麵貢丸湯多6元 感覺極差！,Chinese,2 個月前,2022-01-04 16:19:58.890498,1.0,許禕禕,0,0,https://www.google.com/maps/contrib/106151335445490094786/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSURHdVllZTBBRRAB,湯麵加醋更好吃,Chinese,1 個月前,2022-01-04 16:19:58.890498,5.0,陳妍儒,0,0,https://www.google.com/maps/contrib/104125231273657067393/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSUNHdi15cjlRRRAB,一碗麵60塊，我們家旁邊的35塊乾麵都比這個大碗比這個好吃,Chinese,1 個月前,2022-01-04 16:19:58.891511,1.0,王仁禾,0,0,https://www.google.com/maps/contrib/104057688752864281542/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSUN5dnFhbnVRRRAB,點了一碗麵，過15分鐘還沒來，後面客人都比我們先吃，去問單子是不是漏掉還被罵了一輪，說店忙，要等，端菜的阿姨之後發現是自己送錯給別人，那你兇屁啊。麵端上來，上層一堆油，好噁心。拜託不要被人座滿的現象騙以為好吃，又是連鎖。這間超難吃，服務態度又很差。絕對不再吃任何一間度小月。,Chinese,11 個月前,2022-01-04 16:19:58.891511,1.0,Grace Chang,0,0,https://www.google.com/maps/contrib/111597810243407462365/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSUNHb05HWXB3RRAB,傻眼的味道，沒吃過這麼難吃的擔仔麵，完全不是擔仔麵應該有的味道，不知道是在吃豆芽菜還是麵了,Chinese,2 個月前,2022-01-04 16:19:58.892489,1.0,陳彥縢,0,0,https://www.google.com/maps/contrib/106724947309656352347/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSUQ2a2FTbFFREAE,擔仔麵味道還行 價格偏高 份量不多 男生吃一碗不會飽,Chinese,3 個月前,2022-01-04 16:20:02.119156,2.0,劉品麟,0,0,https://www.google.com/maps/contrib/117616189900091305489/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSUNhcHB5bmtRRRAB,外帶要強制收$2元紙碗？然後一碗$60的麵，裝外面小湯碗的大小還沒裝滿，量超少，CP值很低,Chinese,5 個月前,2022-01-04 16:20:02.120156,1.0,張珈菖（Allen）,0,0,https://www.google.com/maps/contrib/108451584762379924331/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSURDcE0tc0x3EAE,怎麼跟以前的差很多！這是真的度小月嗎,Chinese,1 年前,2022-01-04 16:20:02.120156,3.0,戴旭美,0,0,https://www.google.com/maps/contrib/105321857266168612561/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSUNxazRmVVlBEAE,"很雷，隔壁浮水魚羹還比他好吃，他根本打度小月招牌騙觀光客 買6碗擔仔麵乾麵各加魯蛋一碗70,卻收435 原來外帶還要每碗加2元，袋子錢3元，現在疫情關係 這樣收費感覺有點差，好吃就算了，居然難吃到不行 麵不是油麵，吃起來軟爛，肉燥也沒味道，肉燥湯汁也不夠拌麵，重點還附贈店家頭髮？！ 不知道調味加醋還是天氣熱還是店家真的差勁，吃起來麵有點酸酸的 推薦西門路上小公園擔仔麵或台南擔仔麵正美濃板條",Chinese,6 個月前,2022-01-04 16:20:02.121144,1.0,Jennifer Chen,0,0,https://www.google.com/maps/contrib/104160429165593940338/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSURDOE9DazNBRRAB,蝦頭熬的湯頭 配上超香肉燥,Chinese,8 個月前,2022-01-04 16:20:02.121144,4.0,Steven Kuo,0,0,https://www.google.com/maps/contrib/104075359319071748484/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSUNhd01qbWlnRRAB,x兩碗麵一碗貢丸湯直接加收$6生意做這一次就好,Chinese,5 個月前,2022-01-04 16:20:02.121144,1.0,吳景國,0,0,https://www.google.com/maps/contrib/109759366540260436882/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSUNzMWNMeVNREAE,担仔麵裡面有滷蛋、貢丸、小蝦，微甜的湯頭，滷蛋很透，70元一碗偶爾吃一次還行。,Chinese,1 年前,2022-01-04 16:20:02.122144,3.0,chen pocky,0,0,https://www.google.com/maps/contrib/109267983838368794341/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSUNHNnJpOVJnEAE,價格偏高，口味中等。,Chinese,2 個月前,2022-01-04 16:20:02.122144,3.0,楊雅惠,0,0,https://www.google.com/maps/contrib/102428374031230035552/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChZDSUhNMG9nS0VJQ0FnSURVM2ZLNVF3EAE,簡單的麵條和湯頭，不簡單的味道， 是會讓人回味的口味，但價格偏高是真的。 當天用餐時天氣很熱，服務人員很貼心幫我們挑選風扇吹得到的位置讓我們坐。,Chinese,2 年前,2022-01-04 16:20:02.123155,4.0,徐bread,0,0,https://www.google.com/maps/contrib/101184655940888104467/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
度小月擔仔麵,ChdDSUhNMG9nS0VJQ0FnSUNDa2FycmdBRRAB,口味還不錯，但價格偏高,Chinese,1 年前,2022-01-04 16:20:02.123155,3.0,snti 42,0,0,https://www.google.com/maps/contrib/110607511771453532891/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2966375277154449856
