place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
庫肯花園餐廳,ChdDSUhNMG9nS0VJQ0FnSURHM2YzSXp3RRAB,一份義大利麵加飲料蛋糕再加一成服務費約450，不平價。 日式雞肉蛤蜊義大利麵好吃，水果茶料少茶味怪，不似一般用料豐富水果茶，不推薦點，適合偶爾跟朋友聚會聊天的場所。,Chinese,3 週前,2022-01-03 22:44:41.654630,4.0,maumie LUO,0,0,https://www.google.com/maps/contrib/115350924339500066116/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChZDSUhNMG9nS0VJQ0FnSUNteXVhZmZBEAE,兒子介紹的新餐廳，還不錯，感覺輕鬆，食材新鮮，擺盤用心。,Chinese,1 週前,2022-01-03 22:44:41.655645,5.0,胡美足,0,0,https://www.google.com/maps/contrib/117369428747497462043/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChdDSUhNMG9nS0VJQ0FnSUNHN3RtMG1BRRAB,外帶較便宜，可以先打電話預定，等候時間大概15-20分鐘（但都會比這個時間還要早一些就出餐了），吃過了貴店好幾種口味的義大利麵，其中最喜歡海鮮蛤蜊義大利麵，一份90元，還有小卷，在義大利麵的價位中算是非常划算的，是小妹我研究所時期很常來光顧的一家餐廳😃😃,Chinese,2 個月前,2022-01-03 22:44:41.655645,5.0,陳俞文,0,0,https://www.google.com/maps/contrib/107258746478428439532/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChdDSUhNMG9nS0VJQ0FnSURHM3B6cGdnRRAB,餐點一般，份量足夠，但這個價位配料真的還好，看評價還不錯來內用，點餐飲料去冰沒有去，照片是自己把冰塊撈起來剩下的量，，告知店員沒有去冰，把冰塊撈到水杯，也沒有打算從做的意思，只問要不要補一杯水，頭套餐的甜點也是一般般，看評價都是外帶比較划算ok，這內用價位還要服務費，這服務大概就一次店，外帶還可以考慮看看,Chinese,1 個月前,2022-01-03 22:44:41.655645,2.0,蘇芒果,0,0,https://www.google.com/maps/contrib/105105676182707164706/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChZDSUhNMG9nS0VJQ0FnSUNHdGVxNUlBEAE,檸檬雞柳番茄義大利麵 外帶價$120 以餐點的品質來說，這樣的價格非常划算 雞柳外酥內嫩，附的黃色沾醬超級好吃 紅醬的味道也很濃郁 拿到的時候是熱騰騰的 很棒～,Chinese,1 個月前,2022-01-03 22:44:41.656632,5.0,Sara,0,0,https://www.google.com/maps/contrib/112588143864827889642/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChdDSUhNMG9nS0VJQ0FnSUNHaDVQM293RRAB,東西好吃 茶杯很可愛 適合聚餐 但對學生族群來說價格小小貴,Chinese,2 週前,2022-01-03 22:44:41.656632,4.0,Annie Tang,0,0,https://www.google.com/maps/contrib/113752252101474278646/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChZDSUhNMG9nS0VJQ0FnSURLcXNLdWRnEAE,與朋友們聚餐，我主要點白酒蛤蜊義大利麵、套餐飲料焦糖鮮奶茶、甜點吃到焦糖布蕾已經巧克力蛋糕，總共花363元（含服務費）。 整體來說我覺得以這個價格來說餐點普通，首先在義大利麵的部分，蒜香的氣味拿捏的還行，但義大利麵體本身有點軟，不算合口味。主要覺得蛤蜊的部分不是很新鮮，但以本身220（含服務費）來說差強人意。  布蕾與巧克力蛋糕的部分我覺得算中上，焦糖鮮奶茶不能調整甜度而我點去冰，奶茶的部分我反倒覺得算好喝，有點鍋煮奶茶的感覺。  而服務的部分我覺得可以再加強，一來是服務員常常沒辦法注意到需要點菜（猜測是出自於裝潢的問題，服務員與主要用餐區之間事業不太好），加水的速度較慢（可能跟前面提到的裝潢有關）。建議以後可以在桌上放一壺較大壺又有蓋子的水瓶讓客人自己補充水。  最後謝謝庫肯花園在生日當月請我吃了一片蛋糕，生日的活動是當月壽星可以選甜點+自己用餐85折。,Chinese,7 個月前,2022-01-03 22:44:41.657632,2.0,滑滑,0,0,https://www.google.com/maps/contrib/117196185417096495715/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChZDSUhNMG9nS0VJQ0FnSURLMm9TdGR3EAE,明太子風味扁麵.味道濃.非常的好吃 燉飯也不錯 濃湯超好喝的· 泰式奶茶好讚..,Chinese,7 個月前,2022-01-03 22:44:41.657632,5.0,多喝水,0,0,https://www.google.com/maps/contrib/100741602533730720987/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChdDSUhNMG9nS0VJQ0FnSURHMTYyaHRRRRAB,重新裝潢後少了以前典雅的氣氛，食物的擺盤、餐具也不如以往講究，很可惜。,Chinese,3 週前,2022-01-03 22:44:41.658655,3.0,周貞誼,0,0,https://www.google.com/maps/contrib/116181866781354270730/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
庫肯花園餐廳,ChZDSUhNMG9nS0VJQ0FnSUNLdWVybll3EAE,20210411晚餐 奶油白醬蛤蜊麵$110（外帶價） 東西好吃 份量充足 有8顆蛤蜊 4塊透抽（還是花枝？）和一大堆起司（原本它們不是長那個一條一條讓人密恐發作的形狀 是因為騎回宿舍所以融化ㄌ） 裝潢擺飾配樂都很讓人愉悅 服務人員態度也很好 可惜一進門 在廚房跟結帳櫃檯的地方有非常濃的蟑螂味（我有解剖過蟑螂） 戴口罩+口罩套（=三層口罩）都聞得到,Chinese,8 個月前,2022-01-03 22:44:41.658655,2.0,Misaki Yomiyama,0,0,https://www.google.com/maps/contrib/105803856519488228912/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10712809662783419876
