place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUNLbG91SXBRRRAB,環境好，服務好，美味可口，價格略高，品質好，當點心吃很可以，會唰嘴請自行斟酌,Chinese,8 個月前,2022-01-03 02:39:24.491854,4.0,馬岱,0,0,https://www.google.com/maps/contrib/106418308405582608260/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUR5dC1yWjdBRRAB,因電視節目推薦而來，肉干軟嫩口味清爽，吃了不會口乾，如果能結合全香肉干的味道與廣興的肉質，就值得五顆星。 肉鬆比一般超市的好吃，可惜沒有加海苔，差全香一點,Chinese,9 個月前,2022-01-03 02:39:24.492843,4.0,Michelle Ms,0,0,https://www.google.com/maps/contrib/114257310634451131592/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUN5dllUdXF3RRAB,老闆說他們家的肉類不加任何澱粉，而且選用台灣豬腱子肉來做。而且不管有沒有開封都絕對不能放冰箱。 肉品吃起來有一種特殊的味道，是一般肉乾不會有的，可能是黑木的關係？,Chinese,10 個月前,2022-01-03 02:39:24.493851,4.0,Jing Yeh,0,0,https://www.google.com/maps/contrib/105173338801277241240/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUQ2Z3VMa19nRRAB,一分錢一分貨…👍👍👍 價格高漲品質有顧就是讚！ 年節禮品首要選擇之一！,Chinese,3 個月前,2022-01-03 02:39:24.493851,4.0,林子芹,0,0,https://www.google.com/maps/contrib/103128258541835474055/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChZDSUhNMG9nS0VJQ0FnSUQ2enBXMkl3EAE,2018年搬家後每次回台南，必買的肉乾～~ 好吃，老闆娘很親切。,Chinese,3 個月前,2022-01-03 02:39:24.494866,5.0,MsHAPPYwEi,0,0,https://www.google.com/maps/contrib/107839456994598214950/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChZDSUhNMG9nS0VJQ0FnSURNMGFhM1pREAE,因為廟會關係，車借停在廣興肉脯門口，離開前被古早味的店面給吸引住，買了碳烤豬肉乾及豬肉絲，老闆待客態度親切友好，回家打開豬肉乾配飯出，有小時候拜拜的畫面出現，因為只要有拜拜就會有豬肉乾的出現；微辣豬肉絲口感相較下比較乾硬，對老一輩的人來說較不適合吃，整體味道美味，值得年節送禮的選擇。,Chinese,2 年前,2022-01-03 02:39:24.495838,4.0,Cyrus Guo,0,0,https://www.google.com/maps/contrib/110282950141734284237/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChZDSUhNMG9nS0VJQ0FnSURTMjZuY0ZnEAE,香腸很好吃，但是偏甜，南部人的口味，豬肉乾跟肉鬆也非常不錯，推薦！,Chinese,11 個月前,2022-01-03 02:39:24.495838,5.0,lukas2553,0,0,https://www.google.com/maps/contrib/101028444833868786301/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUNhbkpuLTdBRRAB,是傳統的肉乾，很喜歡肉鬆、肉乾，南部口味略帶一點甜味，每次回台南如果要推薦肉乾都是推薦這家。,Chinese,5 個月前,2022-01-03 02:39:24.496839,5.0,Rebecca Huang,0,0,https://www.google.com/maps/contrib/117479264357009126946/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUNtMnE2SWxRRRAB,肉乾很厚實，味道超讚,Chinese,1 週前,2022-01-03 02:39:24.497843,5.0,Tim,0,0,https://www.google.com/maps/contrib/103799692852533427102/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUNhOUt1MmhRRRAB,常常買回來配茶！價位高一點,Chinese,5 個月前,2022-01-03 02:39:24.498839,5.0,JT Huang,0,0,https://www.google.com/maps/contrib/100460222247443773928/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChZDSUhNMG9nS0VJQ0FnSURZMElQOGZBEAE,有人情味、滋味也不錯的老舖，比較推肉鬆。,Chinese,2 年前,2022-01-03 02:39:27.841910,4.0,Celia Ding,0,0,https://www.google.com/maps/contrib/101732445852550019784/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChdDSUhNMG9nS0VJQ0FnSUQwX1l6RzFnRRAB,網友推薦的伴手禮，肉有點難咬，但算是滿甜滿蜜汁的，若有順路可以帶包回去給家人,Chinese,2 年前,2022-01-03 02:39:27.841910,3.0,Channing Wu,0,0,https://www.google.com/maps/contrib/117540422869543504728/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChZDSUhNMG9nS0VJQ0FnSUNzd05LZlZ3EAE,很好吃，是會讓我願意再半夜出來買的等級,Chinese,1 年前,2022-01-03 02:39:27.842897,5.0,美美超急臭,0,0,https://www.google.com/maps/contrib/106653404982628831502/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
廣興肉脯店,ChZDSUhNMG9nS0VJQ0FnSURJcVo2UFFREAE,這我外婆家附近、台南人超愛的肉鬆店、豬肉乾也好吃。因為從小就吃這家所以吃不下其他家的肉鬆跟肉乾。,Chinese,2 年前,2022-01-03 02:39:27.843893,5.0,nanhsi chen (NANCY),0,0,https://www.google.com/maps/contrib/107304164444164357594/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5707271992600387195
