place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
振來發囍餅蛋糕,ChZDSUhNMG9nS0VJQ0FnSURLX01xUkZBEAE,純手工製作，如今傳承到第三代的57年老店🪢 主要以宴王產品為主，有千秋餅、餅壽桃、鳳片龜等等各式各樣的產品。  每年接近台灣廟會的旺季， 店內的招牌『千秋餅』可以說是信徒們的最愛，常常需要在好幾週之前就預定☎️  店內的其他商品也是非常搶手， 常常到店購買時會發現已經被搶購一空！ 另外是產品造型和種類也十分多樣化， 讓消費者在挑選的時有豐富的選擇～🛍,Chinese,7 個月前,2022-01-03 03:28:57.094279,5.0,10,0,0,https://www.google.com/maps/contrib/107491800610445800741/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChZDSUhNMG9nS0VJQ0FnSUQ2cjdXc2V3EAE,真的好特別的餅舖。經朋友介紹。要買祝壽的三牲。因為不想買葷食。來到振來發餅舖找到我想的的。真的好棒。下次還會再來選購,Chinese,2 個月前,2022-01-03 03:28:57.094279,5.0,小黑人,0,0,https://www.google.com/maps/contrib/100132694838095363373/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChZDSUhNMG9nS0VJQ0FnSUQ2N19pdlFREAE,吃過這家，會懷疑之前收到的中秋禮盒是什麼鬼,Chinese,2 個月前,2022-01-03 03:28:57.094279,5.0,R Guo,0,0,https://www.google.com/maps/contrib/106253989225550545597/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChdDSUhNMG9nS0VJQ0FnSUM2aUp1M3l3RRAB,小時候最愛的佛手就是鳳片糕做的！找超久超好吃👍🏻,Chinese,4 個月前,2022-01-03 03:28:57.095276,5.0,Shen Edward,0,0,https://www.google.com/maps/contrib/108171566098680368040/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChdDSUhNMG9nS0VJQ0FnSURDbVBDRy1nRRAB,老闆娘超級親切！還會幫我們檢查有沒有重複的糕餅幫忙更換！,Chinese,1 年前,2022-01-03 03:28:57.095276,5.0,林詠瀚,0,0,https://www.google.com/maps/contrib/107460180284744473280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChZDSUhNMG9nS0VJQ0FnSUNLX0p1c1F3EAE,"一次買齊 怎麼都有終於不用四處跑 老闆娘很酷.不太愛講話 但是你需要怎麼點心或是產品跟她說.她都會跟你說,",Chinese,9 個月前,2022-01-03 03:28:57.096273,5.0,蘇阿布,0,0,https://www.google.com/maps/contrib/107836609702914605323/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChdDSUhNMG9nS0VJQ0FnSUNLdVpmVGlBRRAB,便宜又好吃的糕，吃過之後就不想買其他家的月餅了，超推薦～,Chinese,8 個月前,2022-01-03 03:28:57.096273,5.0,鄭宜寧,0,0,https://www.google.com/maps/contrib/114646010966518004088/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChdDSUhNMG9nS0VJQ0FnSUM2LXNhMXhnRRAB,服務佳！東西多！👍👍🥰,Chinese,3 個月前,2022-01-03 03:28:57.097273,5.0,chang Rex,0,0,https://www.google.com/maps/contrib/113691764156820267591/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChZDSUhNMG9nS0VJQ0FnSURpdk1lNU93EAE,👍🏼,Chinese,1 年前,2022-01-03 03:28:57.097273,5.0,方淑瑜（new new）,0,0,https://www.google.com/maps/contrib/116173335283335002625/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
振來發囍餅蛋糕,ChdDSUhNMG9nS0VJQ0FnSURLNnBXcnN3RRAB,各式各樣的點心小物，應有盡有~ 適合來挖寶唷,Chinese,7 個月前,2022-01-03 03:28:57.097273,5.0,黃惠珊,0,0,https://www.google.com/maps/contrib/114699200490862639143/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9554895477104508415
