place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
椿之味薏仁湯,ChdDSUhNMG9nS0VJQ0FnSUQ2bmFYX2x3RRAB,完全沒汁 只有顆粒 乾死。問店員說怎麼都沒汁 店員態度差回說本來就是這樣。欸 難怪ㄧ直流失客人,Chinese,2 個月前,2022-01-04 00:10:23.848664,1.0,Wumengzu Wu,0,0,https://www.google.com/maps/contrib/104840781671594174978/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChdDSUhNMG9nS0VJQ0FnSURHaF9pMThBRRAB,果然是老名店，推鮮奶紅豆薏仁，雖然價位較高，但料多實在不會太甜，比x林好吃,Chinese,3 週前,2022-01-04 00:10:23.849659,5.0,Michelle Ms,0,0,https://www.google.com/maps/contrib/114257310634451131592/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChdDSUhNMG9nS0VJQ0FnSURheGRtT3V3RRAB,料好實在，微甜不膩的好口感，芋頭薏仁奶成了心頭好，吃過會想念的甜品！,Chinese,4 個月前,2022-01-04 00:10:23.849659,5.0,Jassi Shen,0,0,https://www.google.com/maps/contrib/104754666562775942787/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChdDSUhNMG9nS0VJQ0FnSUNHejVISXpRRRAB,鮮奶芋頭鮮奶很棒，芋頭真材實料,Chinese,1 個月前,2022-01-04 00:10:23.850654,4.0,Jimmy,0,0,https://www.google.com/maps/contrib/105411449398793128529/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChdDSUhNMG9nS0VJQ0FnSUNtNk1LejJ3RRAB,東西好吃，但是店員一副臭臉，問什麼也不回答，一副愛理不理，是在跩怎樣的，反正都要停止營業了，之後就去安平店了，至少態度還比較優。,Chinese,2 週前,2022-01-04 00:10:23.850654,3.0,黃惠君,0,0,https://www.google.com/maps/contrib/102452096962727649120/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChdDSUhNMG9nS0VJQ0FnSUNHcGVDVl9BRRAB,意外的驚喜！好吃！,Chinese,1 個月前,2022-01-04 00:10:23.851654,5.0,CHIUNG WEN CHANG,0,0,https://www.google.com/maps/contrib/103140251244740258729/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChZDSUhNMG9nS0VJQ0FnSUN5dmNhOWZBEAE,是我吃過最好吃的薏仁鮮奶！ 內用的座位舒適又乾淨 湯匙甚至用衛生紙包起來非常細心~ 店員姐姐人很溫柔有耐心 天氣冷的時候還會詢問是否需要加熱 可惜太晚發現這家店了不然一定天天來吃！！！！,Chinese,10 個月前,2022-01-04 00:10:23.851654,5.0,許嘉緣,0,0,https://www.google.com/maps/contrib/116699340820596922956/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChdDSUhNMG9nS0VJQ0FnSUR5c2EtZW9BRRAB,在街頭恣意的騎著腳踏車，熱天剛好想要來點消暑甜品，無意間走入這間店，完全超乎預期的美味喔！  ❤️鮮奶綠豆薏仁$55 比起飲品，更像是湯品，薏仁跟綠豆帶來的濃稠讓奶香味似乎更明顯了，而湯料比例適中，甜味比較明顯是綠豆帶來的，整晚吃下肚，一點負擔也沒有，反而是非常清爽舒服😌  ❤️杏仁豆腐（原味）$40 這邊的杏仁豆腐口感偏Q，比統一布丁的口感還要更Q，感覺吉利丁放的比較多，跟我預期的口感不一樣，味道則是非常濃郁，杏仁味十足卻不令人感覺過重、噁心，反而有一股美滋滋的奶香味，甜味也是不過甜，近乎是微糖的味道～  總結，這一家店的標語「健康、輕食、低熱量」我覺得當之無愧，炎炎夏日來這麼一碗比起冰淇淋、挫冰更來的健康，且清涼無比呢😍,Chinese,9 個月前,2022-01-04 00:10:23.851654,5.0,王詩媛,0,0,https://www.google.com/maps/contrib/114376484631486163819/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChZDSUhNMG9nS0VJQ0FnSURHM29fNVd3EAE,老闆，外帶10杯。（每次必定這樣點）,Chinese,1 個月前,2022-01-04 00:10:23.852654,5.0,mingyu Lin,0,0,https://www.google.com/maps/contrib/107671376533175928381/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
椿之味薏仁湯,ChZDSUhNMG9nS0VJQ0FnSURhNG9LTUJREAE,這家薏仁不是薏仁湯，是薏仁粒～ 好吃又親切，有人會覺得很乾，因為就不是湯。 要濕潤一點推 鮮奶紅豆薏仁,Chinese,2 個月前,2022-01-04 00:10:23.852654,5.0,月翱,0,0,https://www.google.com/maps/contrib/110706005352523014599/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3629354586924302429
