place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUNtN3FUXy1RRRAB,服務親切，上餐速度不慢，附近有停車場挺方便的。 粽子的口味很多，南部粽的道地做法。套餐有附味增或蛋花湯，小菜可加錢更換。 附近的綠豆湯還有伊莉等店足夠吃吃喝喝，再去逛街。,Chinese,4 天前,2022-01-03 02:50:39.591272,4.0,Aaron,0,0,https://www.google.com/maps/contrib/107843758954309177817/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUNxOFlhRjZ3RRAB,「楊哥楊嫂」成立於1970年，是在地的好食店，曾三年榮登台南府城十大傳統美食殊榮。今午來買10顆「狀元粽」，晚餐就用狀元粽餵食夫妻二人。狀元粽內餡非常澎湃豐盛，食材有干貝、瘦肉肥肉、鴨蛋黃、香菇、栗子、蓮子、花生、魷魚等，糯米鹹香味十足，米粒軟綿，為了享受粽子特地買東成辣椒膏來蘸，再灑上香菜來提味，哇！哇！哇！這幸福好滋味一直在嘴裡奔跑著，口口溢滿著幸福！❤,Chinese,6 個月前,2022-01-03 02:50:39.592266,5.0,食客美食養成記,0,0,https://www.google.com/maps/contrib/113587367086285053345/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChZDSUhNMG9nS0VJQ0FnSUNxeGVtS1B3EAE,單純對狀元粽做評論，內餡豪華，價格不斐，份量足，吃粽子像在開箱挖寶一樣，有栗子、魷魚、鮑魚、豬肉肥瘦相間、花生、鹹蛋、蓮子、香菇等等，無須沾醬就好吃。,Chinese,6 個月前,2022-01-03 02:50:39.593263,4.0,J Shrekloves,0,0,https://www.google.com/maps/contrib/101848121772721809649/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUM2aHFXeTdBRRAB,肉粽口味不是很穩定，時好時壞！  漲價後CP值不高,Chinese,3 個月前,2022-01-03 02:50:39.593263,3.0,蔡康榮,0,0,https://www.google.com/maps/contrib/108527888741978318072/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChZDSUhNMG9nS0VJQ0FnSURLcDRpSGV3EAE,感謝台南同事餵食，「狀元粽」裡面有魷魚、干貝、栗子、香菇、全蛋黃、花生、瘦肉肥肉 蓮子，粽子超大一顆，料非常多，不加醬味道也還夠，同事說台南粽就是要配東成醬油，剛好店家有附，甜甜鹹鹹還不賴,Chinese,7 個月前,2022-01-03 02:50:39.593263,5.0,vivian tsai,0,0,https://www.google.com/maps/contrib/110253439073603803179/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUNpMjlTSXRBRRAB,被肉粽耽誤的碗粿店，味噌湯好喝，五穀粽自己分開了。青菜，有2種不同的青菜，挺好的，豬血湯也蠻好喝的，米粉比較濕潤，黏黏的。,Chinese,2 週前,2022-01-03 02:50:39.594276,4.0,愛麗絲,0,0,https://www.google.com/maps/contrib/117288332679566044580/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChZDSUhNMG9nS0VJQ0FnSUNHaE12VVZ3EAE,世界難吃的麵 千萬不要吃，湯頭沒有味道 那餛飩很讓人失望(小到沒啥料)，麵條也不好吃阿 就是這3 種加起來都非常不行,Chinese,2 個月前,2022-01-03 02:50:39.594276,1.0,Sam star Shoes,0,0,https://www.google.com/maps/contrib/102957179374885811930/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUQ2aDRYZG1nRRAB,雖然是肉粽店但裡面賣的東西很多樣，燒肉飯很好吃才80元，來台南要去光顧一下。,Chinese,2 個月前,2022-01-03 02:50:39.595266,3.0,蔡明德,0,0,https://www.google.com/maps/contrib/116616156877960820885/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUNDNV8zSXNnRRAB,好吃又有趣的迷你肉粽 麻雀雖小 五臟俱全⋯⋯好吃😋,Chinese,1 年前,2022-01-03 02:50:39.595266,5.0,陳建偉,0,0,https://www.google.com/maps/contrib/108302497489177153067/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChZDSUhNMG9nS0VJQ0FnSUN5NWYzM1RBEAE,古早味：）小肉粽還是有料,Chinese,10 個月前,2022-01-03 02:50:39.596261,4.0,廖媽媽,0,0,https://www.google.com/maps/contrib/105504152891481993788/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChZDSUhNMG9nS0VJQ0FnSURLbDR6ZVJBEAE,咖哩飯好吃，但價格偏貴,Chinese,7 個月前,2022-01-03 02:50:42.796058,4.0,李芸辰,0,0,https://www.google.com/maps/contrib/102751539402557825952/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUNHM2ZQNnF3RRAB,真材實料數10年如一日好吃,Chinese,1 個月前,2022-01-03 02:50:42.796058,5.0,林俊良,0,0,https://www.google.com/maps/contrib/108637809508952112316/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
楊哥楊嫂肉粽店,ChdDSUhNMG9nS0VJQ0FnSUN5dFBEaWxnRRAB,嘴饞的時候，來一份月桃葉菜粽+味噌湯，剛剛好❤️,Chinese,11 個月前,2022-01-03 02:50:42.797059,5.0,游珺涵,0,0,https://www.google.com/maps/contrib/108063995399114892266/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5472471710175871429
