place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
毛丼 丼飯專門店,ChdDSUhNMG9nS0VJQ0FnSUNtOUp1RnFBRRAB,毛丼一直在我的口袋名單，這次一下高鐵，第一站直接毛丼，還好沒人失望🥰  來到毛丼，必定要點招牌毛丼，16種海鮮直接裝進木桶裡，愛吃生魚片的不能錯過這桶！但我實在沒辦法一口氣吃那麼多生魚片🤣，所以我點炙燒干貝鮭魚卵丼，雖然送上來小小一碗，不大，但是他的干貝滿大顆，配上一口醋飯和鮭魚卵，好過癮！直接一口一口停不下來，整碗吃的乾乾淨淨！  另外推薦可以加179元升級套餐，套餐包含明太子茶碗蒸、味增湯、飲料、奶酪，滿划算的！而且湯超級大碗，可以兩個人喝！非常推薦！  價位算中等偏高，但是以這價錢來說，他是好吃的，重點是！吃完不會噁心！因為我之前有吃過那種吃完覺得噁心，實在是有點可怕，毛丼很可以！服務態度也很親切，雖然台南美食非常多，但有機會可以安排來吃一餐🥰（我絕對不會說我其實原本要去吃十平，只是人家撲空了好幾次🤣）,Chinese,2 週前,2022-01-04 21:41:21.172676,4.0,Karen Wang,0,0,https://www.google.com/maps/contrib/115739117577881756791/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChdDSUhNMG9nS0VJQ0FnSUNteXFfdXdBRRAB,服務人員很親切，餐點部分沒有特別驚豔，丼飯類份量不算多，倒是有些小菜還不錯（蒸蛤蜊、洋蔥）。,Chinese,1 週前,2022-01-04 21:41:21.172676,4.0,Zack Lee,0,0,https://www.google.com/maps/contrib/111084354096089497351/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChZDSUhNMG9nS0VJQ0FnSURHaktic2J3EAE,⭐️⭐️ 女服務態度親切、很勤勞的倒麥茶  #享用美食最重要的關鍵是 #心情✨  實名制、量體溫➰ 進門排隊、確認訂位、帶位引導⋯ #這些流程過於冗長就足以讓在外侯位的饕客們香汗淋漓亂成一團💔  每個人舌尖上的感官世界不同，而我又是那麼不挑的人，所以沒啥好評論的，但是⋯ #那飯真的太黏呼了💔  菜單定價讓我們過於期待➰ #google評論讓我們過於依賴💔  ⭕️ #優點💖 1️⃣有拍照價值✔️ 2️⃣女服務生很親切✔️ （不是因為她是女的）  3️⃣麥茶倒的很勤勞✔️  #結論〰️〰️〰️ 評論五顆星就送御子燒也是能撐起一片市場的 😂,Chinese,1 個月前,2022-01-04 21:41:21.178507,2.0,星星梁,0,0,https://www.google.com/maps/contrib/107609964852619500016/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChZDSUhNMG9nS0VJQ0FnSUNHcmN5OE5REAE,巷弄裡的店算好找，機車好停車，老宅設計日式風格，有提供插座👍🏻，店內環境衛生及有提供包包放置籃，中午營業時間到14點也是最後點餐時間很貼心，內用限時90分鐘，氣氛、服務、餐點都很喜歡💕座位間隔很舒服，中間也有吧台位置。 餐點風味屬於品嚐食材原味🤩味道很新鮮，升級套餐的味增湯份量很大器，一種喝到飽的概念😂丼飯的飯份量不夠也能加，但吃完剛好其實飽了，哇莎米的味道很香純，打卡送明太子玉子燒，超好吃🤩逼逼啵啵的口感。,Chinese,1 個月前,2022-01-04 21:41:21.178507,5.0,lily Chen,0,0,https://www.google.com/maps/contrib/110103305543603584723/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChZDSUhNMG9nS0VJQ0FnSURHZ3VMcFFREAE,食材新鮮，每一道都好吃， 苦瓜真的蠻驚艷，連平常不吃苦瓜的朋友也讚不絕口（配上炸雞剛好去油解膩） 甜點的奶酪也很濃郁  唯一小缺點應該是店員很忙碌，很難呼喚到店員🥲  來之前一定要先訂位噢！,Chinese,1 個月前,2022-01-04 21:41:21.179587,5.0,Emma Liao,0,0,https://www.google.com/maps/contrib/100369373242626111006/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChdDSUhNMG9nS0VJQ0FnSURHLXNpZG1BRRAB,▶️毛丼，590元，店家的招牌，食材雖然新鮮，但是價格與內容物不成正比⋯ 內容物太少了，吃完非常空虛⋯盆子看起來很大很深，但其實很淺！同樣的價格在別家店可以吃到更豐富的餐點⋯  cp 值太低了，嚴重不推！！！ ✳️用餐環境有些座位有點太擁擠了，在疫情期間，如果不是同住家人，那個面對面的距離太近了⋯ ✳️店家可以使用信用卡、linepay付款，蠻方便的👍 ✳️騎機車，可以停店家門口或是店家對面；開車來就比較不方便了，因為店家位於小巷子，需要在附近花點時間找找了⋯,Chinese,1 個月前,2022-01-04 21:41:21.179587,3.0,Chiang,0,0,https://www.google.com/maps/contrib/104149264614570948948/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChZDSUhNMG9nS0VJQ0FnSURHemNibUVBEAE,食物是好吃的，但服務訓練必須加強。 提早訂位準時到場，服務生說在電話中有告知要坐高腳椅和別人併坐(並沒告知)，旁邊小桌明明有空位卻不帶我們入坐，服務生點餐時建議可至客人身旁點餐，而不是站在遙遠的對面，再來說客人聲音太小聽不見，還怪店內音樂太大聲聽不見客人點餐 ( 那可以請您把音樂轉小或是到客人身旁點餐呀)，點餐到一半還跟隔壁桌說話，甚至點餐到一半人突然不見，回桌複頌餐點時是錯的餐點(不是有拿平板電腦嗎?)，感覺不被尊重，到底？  菜單有一道丼飯是組合式食器，但我們點的不是雙層丼飯，吃到底部時，看見螺絲孔，有著黴斑，週圍都脫落木屑了，飯粒還沾著木屑，再美味的食物看了這種食器還是倒胃口 !  餐點享用完並已結完帳，碗盤餐具都收光了，才又上菜…傻眼! 只好麻煩幫我們外帶。還被問 「啊你們結帳了嗎？」  很糟糕的用餐體驗，雖然食物好吃，但定價偏高，衛生和服務有待加強。 說實在 不會想再去了。,Chinese,4 週前,2022-01-04 21:41:21.179587,1.0,方Kai Kai,0,0,https://www.google.com/maps/contrib/104964884452192937158/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChZDSUhNMG9nS0VJQ0FnSUNtNnRUYlpnEAE,價格堪比台北，丼料質/量CP不夠，口味不比百貨美食街的日式，味噌湯超鹹。日式料理卻台式服務標準，積極度不足，叫服務員五次卻得到回覆「稍等馬上來」直到我們離開都沒來，喊結帳很快就來來，無言。猜想這是某明星開的網紅店，只值來一次。希望諫言能加強精進！,Chinese,1 週前,2022-01-04 21:41:21.179587,2.0,ahaa steven,0,0,https://www.google.com/maps/contrib/113442177690571674614/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChdDSUhNMG9nS0VJQ0FnSURHcXFYMzdBRRAB,東西養眼好吃，服務態度很親切。只是很久沒吃生的東西，覺得飯好多吃不完呀～,Chinese,1 個月前,2022-01-04 21:41:21.179587,5.0,楊淑君,0,0,https://www.google.com/maps/contrib/102485499481388123850/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChZDSUhNMG9nS0VJQ0FnSUNtX3JDdlNnEAE,服務人員的解說很清楚，店內招牌是生丼，有各種海鮮生魚片蓋飯，也有提供熟丼的品項。這次點的是毛丼，有多種生魚片，吃的很過癮。套餐附贈的味增湯很大碗，可以兩個人共享。雖然單價偏高，但是值得回訪的店！,Chinese,5 天前,2022-01-04 21:41:21.179587,5.0,施勝安,0,0,https://www.google.com/maps/contrib/115482217819350190523/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
毛丼 丼飯專門店,ChdDSUhNMG9nS0VJQ0FnSUM2enB6eGpBRRAB,茶碗蒸有明太子口味，搭配青蔥與海苔絲有絕妙的味道。  胡麻冷豆腐是開胃聖品，價格親民且口感到位。  魚骨肉味增湯屬調性重的湯品，尾韻飽滿且魚香四溢；適合中和芥末嗆味，魚肉鮮嫩扎實，令人驚艷。 一口此湯入喉；閉眼瞬間即親臨大海。  市面上炸雞尤以忌諱膩口，但此炸雞不僅克服油膩門檻，在脆皮與嫩肉的口感層次間更是取得高度平衡感，滴入檸檬汁更增添清爽口感。  鰻重的份量驚人，肉量十足，細節處在於飯量適宜且鰻魚油而不膩，若搭配醋飯應該會更讚。  毛丼友人表示：「好飽。」 視覺上很驚人，食材新鮮豐富。  炙燒鮭魚頂腹握壽司為本次最佳菜品，以沒有形容詞適合來形容它的極致，建議親臨品嚐。,Chinese,4 個月前,2022-01-04 21:41:24.776974,5.0,Lau IU tsing,0,0,https://www.google.com/maps/contrib/103132118860503337418/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=280634054031909982
