place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUNtNGVQbWJnEAE,蜜芋頭不甜，豆花豆漿也不甜，超清爽型的豆花😳,Chinese,3 天前,2022-01-03 23:20:35.726824,3.0,劉育澤,0,0,https://www.google.com/maps/contrib/101812583846121923755/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSURHMV8zR2xnRRAB,豆花沒什麼豆味而且超嫩超好吃 平常不太喜歡豆花的人也可以試試看 價格也不錯，cp值很高 唯一的缺點是只能在他的騎樓下吃或外帶,Chinese,3 週前,2022-01-03 23:20:35.726824,5.0,zs wen,0,0,https://www.google.com/maps/contrib/101941518013916348386/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSURHbklmMGFBEAE,糖水的味道不錯但是料實在太少了一碗50元，這樣吃沛x就好了,Chinese,1 個月前,2022-01-03 23:20:35.727826,2.0,Michelle Ms,0,0,https://www.google.com/maps/contrib/114257310634451131592/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUQ2OFpYRjFBRRAB,一樣手工豆花 杯子挺小的…… 比台中還貴😕,Chinese,3 個月前,2022-01-03 23:20:35.727826,1.0,HANA LIU,0,0,https://www.google.com/maps/contrib/104541178392885301525/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUNjaTRIMjFnRRAB,"台南好吃又文青的豆漿豆花💕, 搬家後的水缸豆花整個店面亮麗乾淨,坐位只有二桌而以,大家都外帶回去吃😋 - 首推👍🏻他們家的豆漿豆花,用料實在, 而且他們家的豆漿真的很香,沒有臭灰搭的味道, 也沒有豆渣味,喝到淡淡的豆漿香, 搭配滑順豆花,非常好吃🤤 - 如果不愛豆漿也有一般糖水的選擇, 一樣也是很優的唷😎 - 再來是豆漿冰,嘿嘿!有聽過嗎? 我這鄉巴佬,第一次聽到🙈,當然要來一碗阿, 配枓我選我最愛的芋圓,但芋圓覺得有點硬, 他們家的珍珠及紅豆真的比較好吃吔😍, 下次有經過,記得帶一碗豆漿豆花唷。",Chinese,1 年前,2022-01-03 23:20:35.728813,5.0,吃貨貞愛食記,0,0,https://www.google.com/maps/contrib/111433853517969812496/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUN5ai1QdFZREAE,座位只有室外兩桌 很多人在外帶～ 花生配料🥜吃起來很像牛奶花生 好吃😍 豆漿豆花不會很甜 蠻好吃的～ 芋頭是切成小小塊的 不是你們想像的那種冷凍芋哦,Chinese,10 個月前,2022-01-03 23:20:35.728813,5.0,楊桂禎,0,0,https://www.google.com/maps/contrib/101974653152328080652/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChRDSUhNMG9nS0VJQ0FnSURLdXRaLRAB,豆花沒有豆香 豆花、糖水的味道都不太對勁 只有花豆吃起來還不錯 價格算貴，又不好吃,Chinese,7 個月前,2022-01-03 23:20:35.728813,2.0,吳展勳（SWeeds）,0,0,https://www.google.com/maps/contrib/116132059697112459313/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUQ2dHZ1STdnRRAB,豆花滑嫩入口即化，小芋圓和切成丁的蜜芋頭都非常厲害！,Chinese,3 個月前,2022-01-03 23:20:35.729824,5.0,Maggie Chi-Lun Wang,0,0,https://www.google.com/maps/contrib/117215728375408409069/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUNTNE1yOUdBEAE,外帶有密封不錯 口味也不錯 環境也蠻好,Chinese,1 年前,2022-01-03 23:20:35.729824,4.0,zhenlin jiang,0,0,https://www.google.com/maps/contrib/117440098412472946468/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUM2NnJ5X21RRRAB,買了豆漿回家喝 快喝完才發現有蟲 希望店家能注意衛生 真的超想吐的⋯⋯⋯ 都快喝完才發現,Chinese,4 個月前,2022-01-03 23:20:35.730825,1.0,Yi wen Huang,0,0,https://www.google.com/maps/contrib/117400489085424939021/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUNHaU55dFZREAE,有分成豆漿豆花以及一般豆花，口感很綿密好吃,Chinese,2 個月前,2022-01-03 23:20:38.980810,4.0,蛋蛋仔,0,0,https://www.google.com/maps/contrib/117044509173149485760/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUNjbjh5WlJnEAE,"JUL.26 因為疫情好久沒去消費！ APR.02 三杯豆漿豆花！ MAR.30 一樣三杯豆漿+豆花！ MAR.28 買豆漿+豆花！口味會更濃郁！ JUN.01 .2020 有10年歷史的老店！此店開一年,雖然是一人店面，店員的動作乾淨俐落！ 買十 送一！店面乾淨！豆漿濃郁！",Chinese,5 個月前,2022-01-03 23:20:38.980810,4.0,Shan Chin Lu,0,0,https://www.google.com/maps/contrib/114144113651568997635/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUNjLTlxWVdnEAE,太晚吃的話料的選擇會變少 整體來說還不錯 豆花不是軟綿口感 偏凍感些 芋頭好吃,Chinese,1 年前,2022-01-03 23:20:38.981809,5.0,C C,0,0,https://www.google.com/maps/contrib/109580218625208366839/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSURNbWNXZUNBEAE,豆花味道不錯，環境乾淨，店員再親切一點會更好,Chinese,1 年前,2022-01-03 23:20:38.981809,4.0,Yaki Wang,0,0,https://www.google.com/maps/contrib/115701117246976030625/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUM0c2MySFd3EAE,豆花加了豆漿冰，十分的豆味加上甜味適中的配料。豆豆相連到天邊～值得推薦！,Chinese,2 年前,2022-01-03 23:20:38.982808,5.0,brian wang,0,0,https://www.google.com/maps/contrib/116397498844796016715/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUNxeE0yeXF3RRAB,店員聽無豆奶(Tāu-ling)台語 你佇台南基本ê台語愛會曉ah,Chinese,7 個月前,2022-01-03 23:20:38.982808,2.0,yvonneilv,0,0,https://www.google.com/maps/contrib/111717778124357625740/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUNRX2F2VVlREAE,台南最好吃的豆花沒有之一，小時候最喜歡外婆做的豆花，傳統的台南豆花，用的是熬煮的糖漿，很甜很好吃，可惜長大後外婆也老了，已經沒體力做豆花。大學時在台南吃有名的那幾家豆花都覺得很普通，直到某天吃了水缸豆花，哇這就是外婆豆花的味道啊😍 我最愛花生豆花，如果不喜歡太甜可以選豆漿豆花系列喔😉,Chinese,3 年前,2022-01-03 23:20:38.983819,5.0,KeLi Kuo,0,0,https://www.google.com/maps/contrib/110648960387428848404/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSURZeDZIMUlBEAE,在美美的新店址第一次吃到他們的蜜地瓜豆漿豆花 ～幸福感爆表～～真的很 好 吃！,Chinese,2 年前,2022-01-03 23:20:38.983819,5.0,薰,0,0,https://www.google.com/maps/contrib/114319330861876571700/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUR5aC1EVmVREAE,豆漿豆花好好吃，味道香醇，口感綿密，又不會很甜，吃起來沒有負擔，配料也都在水準之上！,Chinese,9 個月前,2022-01-03 23:20:38.983819,5.0,盧芷芸,0,0,https://www.google.com/maps/contrib/107214610043481829321/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUNLOXBHRC1BRRAB,好吃、不會膩甜！小孩也好喜歡～ 吃完沒負擔❤️,Chinese,8 個月前,2022-01-03 23:20:38.984814,5.0,Shirley Lin,0,0,https://www.google.com/maps/contrib/109650454982890805014/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUNVdk1uRjVnRRAB,真材實料，店面氣氛簡約明亮感覺很好，大推豆漿冰，從未吃過的清涼美味,Chinese,2 年前,2022-01-03 23:20:42.256691,5.0,Seth Shang,0,0,https://www.google.com/maps/contrib/113477641123715374282/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUR5cXM2SGdnRRAB,豆花好嫩好好吃 味道很天然❤️❤️ 超愛 豆漿也不會太甜 是好喝的甜度😝 五星推推,Chinese,10 個月前,2022-01-03 23:20:42.256691,5.0,noncc1226,0,0,https://www.google.com/maps/contrib/111120318510450308093/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSURVaHNQeFZ3EAE,整間店很乾淨整潔明亮 豆花的料還不錯，糖水頗甜，只是以這個價格來看，份量偏小,Chinese,2 年前,2022-01-03 23:20:42.257681,4.0,Yuan Hung Lin,0,0,https://www.google.com/maps/contrib/114416213297476399139/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChZDSUhNMG9nS0VJQ0FnSUNxa3R6elBnEAE,豆花的糖水太甜了一點，若甜度降低就完美了,Chinese,7 個月前,2022-01-03 23:20:42.257681,4.0,Bree,0,0,https://www.google.com/maps/contrib/117400433801326423237/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
水缸豆花,ChdDSUhNMG9nS0VJQ0FnSUNzaDlXWGpRRRAB,豆漿豆花很有特色 改裝後店面好漂亮 但沒有內用 適合外帶回家,Chinese,1 年前,2022-01-03 23:20:42.258680,5.0,安安,0,0,https://www.google.com/maps/contrib/118119568951430472302/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13675430630978203300
