place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNtbW9hM3ZRRRAB,糯米腸好吃！很多花生～ 肝連很甜喔,Chinese,1 週前,2022-01-03 21:14:42.408522,5.0,一瓦,0,0,https://www.google.com/maps/contrib/100771684337772862929/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSURHaC1lQjd3RRAB,不討論價錢的話，台南同性質餐點沒人看得到清子婆婆的車尾燈,Chinese,3 週前,2022-01-03 21:14:42.408522,5.0,范小涵,0,0,https://www.google.com/maps/contrib/112682552290149616542/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNpclpTdXF3RRAB,只有在南部才吃得到的地方古早味，這裏將香腸用燙與烤兩種不同的方式食呈現，也有粉肝，滷大腸，糯米腸，最特別是“蟳丸”是台南特有的，加上兩瓶啤酒，這才是真實庶民生活。,Chinese,1 年前,2022-01-03 21:14:42.409510,5.0,Antonio Jeng,0,0,https://www.google.com/maps/contrib/102339752642532447389/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSUNHeWRtQ1lBEAE,意外的超好吃，連吃台南好多”名店“，終於吃到一間真的有特色又很好吃的台南小吃,Chinese,2 個月前,2022-01-03 21:14:42.409510,5.0,BH,0,0,https://www.google.com/maps/contrib/111925947820704688105/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSUNHNlkyY0xREAE,這家老字號的香腸熟肉是我吃過最道地的店家，尤其它的沾料是一絶,Chinese,2 個月前,2022-01-03 21:14:42.410510,4.0,SheSheng Lin,0,0,https://www.google.com/maps/contrib/116651742092498106651/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUN5anZ6SWp3RRAB,在地人都知道的老味道，醬料是靈魂,Chinese,11 個月前,2022-01-03 21:14:42.410510,4.0,Nicole Chen,0,0,https://www.google.com/maps/contrib/107054807557759859347/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNpOVlMb3d3RRAB,可以切綜合盤$200，每種嘗試一下。 好吃與否？每個人口感不一， 嚐嚐才知道合不合口味囉！ 販售台很乾淨。服務態度很好。,Chinese,1 年前,2022-01-03 21:14:42.410510,3.0,Lee Lina,0,0,https://www.google.com/maps/contrib/107373090292844600522/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNjN182MG93RRAB,香腸非常好吃 滷大腸 蟳丸也很不錯 整體來說都好吃 兩個人點了一大堆 連啤酒才$400 很划算～吃得很過癮,Chinese,1 年前,2022-01-03 21:14:42.411521,5.0,chihsun hung,0,0,https://www.google.com/maps/contrib/109872076074472340122/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSURzcEluVm5RRRAB,第一次認識蟳丸，很台南式道地點心，有歷史的台灣味，現大都為改良版，有機會值得嚐試。,Chinese,1 年前,2022-01-03 21:14:42.411521,4.0,朱素秋,0,0,https://www.google.com/maps/contrib/101341298583824412445/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSUNBZ09xNElBEAE,老台南人介紹的真香腸熟肉，差一點跑去吃比較有名氣的那幾家，經過在地熱解說，才了解到香腸熟肉經典之一的蟹丸，好像只剩這家用料真實，且口味還有保持著，製作仍堅持古法。 重點是不用排隊，雖然價格較高，但完全願意買單，因為吃得到技術、功夫。,Chinese,3 年前,2022-01-03 21:14:42.412521,4.0,Cloe Lin,0,0,https://www.google.com/maps/contrib/104317000885273659779/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSURndjY3LU5nEAE,對不明就裡的人來說，點熟肉就像去沒標價的海鮮攤一樣讓人緊張。不過你可先告知人數預算，再一一告知想吃的品項，老闆自會幫你配置。此處相比其他熟肉，其生鮮如鯊魚生腸等生料，處理乾淨，咬來爽快，欲要吃飽，可加點緊實米腸以及一碗蒜味濃鮮，豆子熟軟的配湯。還有，老闆一副酷樣(也因是太多遊客問她來碗牛肉湯，但那是隔壁不是她)，其實一聊開她就笑意盪開，試著稱讚好吃，你就能看見這在地的笑容。,Chinese,4 年前,2022-01-03 21:14:45.746445,4.0,wakint Lo,0,0,https://www.google.com/maps/contrib/116625213315634612687/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSUN5Xy1DbFVBEAE,小的綜合，200元，非常好吃,Chinese,10 個月前,2022-01-03 21:14:45.746445,5.0,PH TSENG,0,0,https://www.google.com/maps/contrib/100365578469793413523/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSURBNFpTc2tRRRAB,蟳丸跟香腸都是道地的古早味，香腸也比其他家好吃，請店家以200配出照片中的四樣，雖然算是手路菜，但份量真的偏少，小資等級的，偶爾奢侈就好。 阿嬤老闆的態度很好！ 如果沒有份量的考量，食材評價應該會蠻高的，這是小市民的謎之音。,Chinese,3 年前,2022-01-03 21:14:45.747456,3.0,詹姆士,0,0,https://www.google.com/maps/contrib/113896954573191802740/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNjMTZXRTVRRRAB,米血是冷的，可惜了，單價偏高。,Chinese,1 年前,2022-01-03 21:14:45.747456,3.0,haha Wa,0,0,https://www.google.com/maps/contrib/108030767839837537637/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSUNzbGJ6dUhBEAE,東西很好吃  湯也好喝！  老闆都很客氣！！ 還會再來的！！ （喜歡喝湯  可以跟店家說  會另外再附上一碗清湯  ） 我1個人吃  這盤有米腸，香腸，滷肉，蘿蔔  這些$120 我是台北人  我覺得價格還可以接受~,Chinese,1 年前,2022-01-03 21:14:45.747456,5.0,陳至賢,0,0,https://www.google.com/maps/contrib/112121659851990327386/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSURHcXNIekZnEAE,黑白且東西真的很好吃,Chinese,1 個月前,2022-01-03 21:14:45.748445,5.0,任小千,0,0,https://www.google.com/maps/contrib/110221095817823212436/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSURBdGN1U0FREAE,乾淨又好吃😋 最喜歡的香腸熟肉 阿姨很親切～～ 先告知人數再一一點菜才不會量太多吃不完又覺得太貴喔！,Chinese,3 年前,2022-01-03 21:14:45.748445,5.0,Karma Hsu,0,0,https://www.google.com/maps/contrib/103507073843219280688/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSURRaHZXTzBnRRAB,光是豬肺糕，就可以讓我來台南必訪。  蟳粿，不吃怎麼行，可是經常被一個客人全包；只能暗幹！明日請早。  澎風豆，好吃。  台南的日常之一。,Chinese,3 年前,2022-01-03 21:14:45.749456,4.0,jacques prevert,0,0,https://www.google.com/maps/contrib/114770607640738597655/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSURLdnN5WElBEAE,今天去店裡點了幾樣都說要一份， 然後我就覺得奇怪， 老闆一份怎麼都切那麼多， 我就覺得越來越不對勁， 跟老闆說怎麼都那麼多， 老闆才說有分大份跟小份！  結果老闆直接都切大份， 我傻眼， 難道你要切的時候心裡都沒有疑問要切大份還是小份的嗎？ 這次感覺被強迫買單 消費感受超級差！ 🤬🤬🤬🤬🤬🤬  有人跟我有同樣的經驗嗎？,Chinese,7 個月前,2022-01-03 21:14:45.749456,1.0,呼嚕嚕,0,0,https://www.google.com/maps/contrib/117641287781846294202/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNjZzZQMW1nRRAB,石精臼的老店：有稍為整理店內了，相對乾淨些，傳統的台南小吃，黑白切，蟳丸，各式的內臟腸，鯊魚煙，配上醬料確實好吃😋多為熟客，但價格上並不便宜，最好問清楚價錢再切點菜，免得吃完收到帳單嚇一跳！ 還是可以來嘗試的店！ 有年輕的一對兒女，在幫清子阿嬤顧店，標準的璞實台南人。,Chinese,1 年前,2022-01-03 21:14:45.750456,4.0,huntington hogan,0,0,https://www.google.com/maps/contrib/108047182602025225577/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNNd0t1cmlRRRAB,豬心、豬肝、小卷、米血、蟳丸、粉腸 30公分長的盤子裝兩盤滿滿550元 可以直接跟老闆說要切多少錢 以免預算破表 每一樣食材原味呈現 連粉腸都沒有染色 加上沾醬增添風味 不過吃不慣的人可能會覺得不合胃口,Chinese,2 年前,2022-01-03 21:14:49.093050,5.0,HH K,0,0,https://www.google.com/maps/contrib/102059482564311238871/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSURzcWFDbFZnEAE,第一次吃，覺得還算不錯，內臟食材處理的乾淨，但價格就稍貴了,Chinese,1 年前,2022-01-03 21:14:49.094051,4.0,許肯,0,0,https://www.google.com/maps/contrib/111701438437889124264/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSUNZOUxQTUZ3EAE,清子ㄉ蟳丸在中西區算非常厲害，蔬菜的甜味搭上蝦漿綿綿密密，適合配甜酒一起下菜,Chinese,2 年前,2022-01-03 21:14:49.095050,5.0,張皓翔,0,0,https://www.google.com/maps/contrib/117778964218289282813/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNVN1o2ZXBnRRAB,從小吃到大的老味道好味道。雖然不算便宜，但食物處理乾淨，吃起來放心！,Chinese,2 年前,2022-01-03 21:14:49.095050,5.0,Chen Nick,0,0,https://www.google.com/maps/contrib/107947566680928846975/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSURncHBha2xnRRAB,以下點了豬心、豬肺，熟肉的黑白切總共150元，沾醬為帶一點酸的醬油膏加入適量蒜泥及香油，肉質新鮮無騷味，豬心肉質嚼勁紮實，豬肺偏厚實，台南粉腸為第一次吃很新奇，味道香氣肉香味十足，與高雄的粉色及白色粉腸裡面有大肉塊偏甜的味道完全不同，結論為好吃推薦的，老闆娘人很好。,Chinese,3 年前,2022-01-03 21:14:49.096050,4.0,Wang WaiWaiWai,0,0,https://www.google.com/maps/contrib/101023562003705277476/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChdDSUhNMG9nS0VJQ0FnSUNJLW9hcDBnRRAB,二訪簡單點了蘿蔔、米腸及香腸，蘿蔔相當入味、沾點醬料涼涼的吃很棒，米腸灌得結實、口感Q糯，香腸偏瘦但夠味，老闆娘人很親切，很舒服的一間小店。,Chinese,3 年前,2022-01-03 21:14:49.096050,5.0,Stefani Huang,0,0,https://www.google.com/maps/contrib/106499129724225544400/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSURRMV9QTFNBEAE,第一次吃清子，這樣兩百，不便宜，但每樣都不錯吃,Chinese,3 年前,2022-01-03 21:14:49.096050,4.0,Drunk Ice,0,0,https://www.google.com/maps/contrib/116885794917754977602/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSURnMlBxbkxnEAE,新鮮好吃，但價格有些偏高，沾醬值得試試！,Chinese,4 年前,2022-01-03 21:14:49.097039,4.0,Saltfish Yen,0,0,https://www.google.com/maps/contrib/103023128478285942683/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
清子香腸熟肉,ChZDSUhNMG9nS0VJQ0FnSUNnZ1B2aUxnEAE,老闆娘非常親切！ 蟳丸好吃，內臟部分處理乾淨 醬料味道很特別，帶點微辣 圖片這樣一盤150，價格中上但算可以接受,Chinese,4 年前,2022-01-03 21:14:49.097039,5.0,Jerry Liu,0,0,https://www.google.com/maps/contrib/110446639719870354729/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10248946468777024758
