place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
湯婆婆拉麵,ChdDSUhNMG9nS0VJQ0FnSURHbnBhQzlnRRAB,百元的三主菜簡餐，非常滿足！ 飲料在冰箱可自取，紅茶、麥茶、酸梅汁可以任選！,Chinese,1 個月前,2022-01-04 23:00:28.875725,4.0,ke,0,0,https://www.google.com/maps/contrib/115057741386641733757/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChdDSUhNMG9nS0VJQ0FnSUQ2MjlPTGd3RRAB,以學生的荷包來說，這個份量真的是超值了。 但以品嚐的角度來說，這碗麵湯頭淡到難以置信，裡頭的雞蛋也是讓人驚訝得不知道該不該吞下，肉的份量不小，卻讓人懷疑是不是水煮後直接扔進麵中。 如果你真的餓了，而且想吃澱粉以外的東西，這裏還挺不錯的。 但是如果是尋覓美食，還是算了吧。請您跳過這間店😅😅,Chinese,2 個月前,2022-01-04 23:00:28.875725,3.0,Caleb Wu,0,0,https://www.google.com/maps/contrib/110006840962683896180/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChdDSUhNMG9nS0VJQ0FnSUNpdnFHN2dnRRAB,是學生時期的回憶，這次我們點了大份的醬油拉麵跟小份味噌蕎麥麵，CP值高、份量多可吃飽飽（特別是叉燒非常厚實大塊）。但我覺得醬油湯頭的味道不夠濃郁，友人則說她的味噌湯頭很夠味。 竹莢魚炸得酥脆，喜歡！可樂餅則有點鬆散（印象中，之前的可樂餅比例是肉量大於馬鈴薯泥，所以比較結實）。 跟往常的慣例一樣，一進門，老闆娘已經在桌上放好菜單招呼客人入座，隨後會送上炸芋圓，點完餐可以從冰箱自取飲料一壺。 特別註記一下，今天剛好是美國總統大選的日子，當我吃下第一口拉麵的時候，新聞台播報了拜登選票反轉大幅領先了川普，鄰座一位疑似常客的大叔，定食正好吃到一半，便匆忙拿著手機外出，等我拉麵也剩一半、竹莢魚整尾吃完時，兩人選票又拉近了，此時大叔則氣定神閒的回到店內分析選票佔比，順便幫川普直接先行宣布當選，然後才安心回座，繼續舒心地用餐（應該是股票抱很多吧，哈哈），而等我吃下最後一口炸芋圓時，川普真的又小反轉…只能說今天的客人臉上的菜色變換比菜單上的還要豐富精彩（大笑）。,Chinese,1 年前,2022-01-04 23:00:28.875725,4.0,Hey U,0,0,https://www.google.com/maps/contrib/109358023382562390285/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChRDSUhNMG9nS0VJQ0FnSUN5N3BJZBAB,綜合套餐的主菜有點油，拉麵份量足，價錢不會太貴！附近不太好停車，建議騎機車前往！ 附飲料/壺、芋丸一人/顆。,Chinese,11 個月前,2022-01-04 23:00:28.875725,4.0,小嘉郭,0,0,https://www.google.com/maps/contrib/101123693672272512552/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChZDSUhNMG9nS0VJQ0FnSUN5OEs3VWRnEAE,給5顆星並不是說有多好，請大家不要把期望值拉到最高^_^  應該說是物超所值吧！免費送一顆炸芋圓，免費的飲料喝到爽（紅茶、梅子茶、麥茶），東西還不錯吃，夏天有冷氣吹，還要挑惕嗎？！~\(≧▽≦)/~,Chinese,11 個月前,2022-01-04 23:00:28.875725,5.0,Thomas Tu,0,0,https://www.google.com/maps/contrib/111795602439598702078/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChZDSUhNMG9nS0VJQ0FnSUNtMHVpQmR3EAE,很平價，但不是很好吃 普普，但價格很好,Chinese,1 週前,2022-01-04 23:00:28.875725,3.0,Sam star Shoes,0,0,https://www.google.com/maps/contrib/102957179374885811930/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChdDSUhNMG9nS0VJQ0FnSUNHbUl6NGhBRRAB,很久沒來了，要來之前沒再看評論，餐點口味跟之前差不多，但是但是...用餐快結束時，遇到樓下前七個月的評論一樣，菸味來了....，詳情可往下翻評論，餐廳本身乃密閉空間，若有需求，開個門就是室外了。不懂！也覺得誇張！,Chinese,2 個月前,2022-01-04 23:00:28.875725,2.0,yuchuan,0,0,https://www.google.com/maps/contrib/108583926584469003933/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChdDSUhNMG9nS0VJQ0FnSUNHcllEVG5RRRAB,開胃的炸芋圓很好吃餐點份量也很多，不過拉麵的味道有點太淡了。,Chinese,1 個月前,2022-01-04 23:00:28.875725,3.0,eugene,0,0,https://www.google.com/maps/contrib/110161453176417607555/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChdDSUhNMG9nS0VJQ0FnSUN5bk1QTzFBRRAB,學生時期的回憶店， 用餐就附一顆芋丸（冷的，但好吃） 雖然價格比以前貴一點， 但還算滿實在的， 也有免費的飲料自取， 環境來說滿家庭式的， 店員跟老闆娘都很親切！,Chinese,11 個月前,2022-01-04 23:00:28.875725,4.0,王怡雯,0,0,https://www.google.com/maps/contrib/106707310352017079972/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
湯婆婆拉麵,ChdDSUhNMG9nS0VJQ0FnSUQ2Z2IyZG53RRAB,有著口味非常特別的一些日式口味餐點， 另一個特色是有飲料喝到飽！,Chinese,3 個月前,2022-01-04 23:00:28.875725,5.0,Sean Tsay,0,0,https://www.google.com/maps/contrib/114400035182614171686/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17292149531971948346
