place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNHNHZybGlnRRAB,餐點：粉圓豆花 特色： 豆花綿密帶有豆香 粉圓為古早味粉圓 不需要特別咀嚼即可食  （場景：快收攤的傍晚時刻 老闆：看你吃的好香喔！（坐在隔壁桌一手托著下巴看  我：對啊！很像我小時候推車的阿婆味道！很懷念  **青菜蘿蔔各有所好 一律給四分,Chinese,2 個月前,2022-01-04 01:53:27.837161,4.0,林宜諠,0,0,https://www.google.com/maps/contrib/116485742876039404877/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSURHanFXRXV3RRAB,豆花非常綿密又有豆香 配上脆脆炒花生 是夏日舒服享受的小甜湯 很想每個口味都來一種,Chinese,1 個月前,2022-01-04 01:53:27.837161,5.0,林竺潁,0,0,https://www.google.com/maps/contrib/107192488914191470756/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSURHM3QtT3NRRRAB,傳統炒糖風味，傳統味豆花口感，果然是老店老味道，適合餐後的小甜點。,Chinese,1 個月前,2022-01-04 01:53:27.837161,5.0,高敏盛「Min」,0,0,https://www.google.com/maps/contrib/103755563464825382262/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNHaExTVjVBRRAB,來買連得堂時 路過看到的傳統老店 號稱70年歷史 口味算是中規中矩 價格中等 份量剛好 不錯吃,Chinese,2 個月前,2022-01-04 01:53:27.838159,4.0,大隻佬II,0,0,https://www.google.com/maps/contrib/100917330269380973006/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSUNHai1QdkZ3EAE,豆花綿密入口化，粉圓軟Q好咬，糖水微甜很搭，古早味無朔化，滿足,Chinese,1 個月前,2022-01-04 01:53:27.838159,5.0,Tina Chen,0,0,https://www.google.com/maps/contrib/102065609083900899370/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSURHc00yUUZnEAE,隱藏在小巷內的美味，話不多說，吃就對了。,Chinese,1 個月前,2022-01-04 01:53:27.839159,5.0,銘天,0,0,https://www.google.com/maps/contrib/108039947619167777734/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNHZ2FMcnZBRRAB,淡淡的豆味配上微甜的珍珠～好吃😋用餐環境乾淨。,Chinese,2 個月前,2022-01-04 01:53:27.839159,5.0,梁小予,0,0,https://www.google.com/maps/contrib/110080087219837417981/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNtc09Xamh3RRAB,無名豆花就在煎餅旁不遠處，買完煎餅不來吃個豆花就枉來台南了⋯⋯ 孩子們喜歡珍珠，那就來杯珍珠豆花吧！！ 古早味糖水配上綿密的豆花，再來個QQ的豆花，雖然是冬天但吃起來只有滿滿的幸福感呀～～～,Chinese,2 週前,2022-01-04 01:53:27.840159,5.0,陳佩娟,0,0,https://www.google.com/maps/contrib/117865785161931402665/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSURHbDg3NThRRRAB,檸檬豆花加珍珠好吃！老闆親切！,Chinese,3 週前,2022-01-04 01:53:27.840159,5.0,Chrisss Lin,0,0,https://www.google.com/maps/contrib/110846680832194463870/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSURHbE5PZlZREAE,檸檬豆花+粉圓，酸酸甜甜的很好吃,Chinese,1 個月前,2022-01-04 01:53:27.841159,5.0,廖文瑄,0,0,https://www.google.com/maps/contrib/108152493628951072627/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUN5aC1LMWhnRRAB,在地台南區70年的傳統無名豆花、綿密、入口即化，古早味傳三代；我喜歡吃熱薑汁豆花、其實我覺得最合我味道的薑汁，因為我不愛吃甜的❤️。 但是無名豆花的甜不會很甜，好吃👍🏻,Chinese,10 個月前,2022-01-04 01:53:31.159542,5.0,Tu AMANDA,0,0,https://www.google.com/maps/contrib/112414943309996248052/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNtaW9HRW1BRRAB,還不錯👍,Chinese,1 週前,2022-01-04 01:53:31.159542,5.0,阿翔Hsiang,0,0,https://www.google.com/maps/contrib/114550640306153194376/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUQ2a2FMN3BRRRAB,糖汁不夠香甜 稍微平淡 但豆花綿密,Chinese,3 個月前,2022-01-04 01:53:31.159542,3.0,Xun,0,0,https://www.google.com/maps/contrib/117270099591513911526/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSUNHdzV2elh3EAE,豆花綿密湯水也不會很甜，美中不足的是他的花生豆花是硬豆花，不是小時候吃的軟嫩豆花,Chinese,1 個月前,2022-01-04 01:53:31.160546,3.0,黃小芳,0,0,https://www.google.com/maps/contrib/112360756211840051065/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNLN2NXLXhBRRAB,豆花好吃，但有點太甜。 而且店員臉很臭。  騎車經過，看到招牌想吃，可是店員做在那裡聊天，不確定有沒有開門，於是詢問「豆花是這吧？請問有開門嗎？」店員很不耐煩的說「你不會自己看招牌啊？」  唉有必要這麼不耐煩嗎？？？,Chinese,8 個月前,2022-01-04 01:53:31.160546,3.0,月凌雲,0,0,https://www.google.com/maps/contrib/109544232676431353866/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSUNzenRlNkR3EAE,2020.02.02 等待時間：5mins / 用餐時間：11:30 營業時間：10:00-17:00，週二公休 - 檸檬珍珠豆花40 紅豆豆花35 每加一種料+5元 - 好久沒回台南 一回來第一個想到的豆花店就是無名豆花 豆花口感屬於綿密細緻感(非布丁口感) 台南較多QQ布丁口感的豆花個人不愛 天氣熱熱搭配檸檬珍珠很爽口很搭☺️☺️ 紅豆煮得很綿密～喜歡紅豆泥的朋友一定要試試 另外，土豆豆花的花生是硬式花生米不是煮軟的花生仁，闆娘都會提醒大家⏰ 另外注意⚠️外帶內用均須排隊，點完再入座呦,Chinese,1 年前,2022-01-04 01:53:31.161546,4.0,chick0917,0,0,https://www.google.com/maps/contrib/114611387342044526150/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSURLMU5ITnpnRRAB,珍珠很快就賣完了，但是豆花真的太甜和，很南部的口味，吃不太習慣。,Chinese,8 個月前,2022-01-04 01:53:31.161546,3.0,王熊,0,0,https://www.google.com/maps/contrib/114233861154696892188/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSUNpMXR2cmVBEAE,店在巷內、服務態度優，只有室外坐位(有風扇)，傳統豆花一碗三十元口感很細密就算不加糖水也很好吃，大推！,Chinese,1 年前,2022-01-04 01:53:31.162546,4.0,L. why_9,0,0,https://www.google.com/maps/contrib/108530519279429779677/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSURHb1BTVm93RRAB,熱豆花，好吃,Chinese,1 個月前,2022-01-04 01:53:31.162546,5.0,政偉,0,0,https://www.google.com/maps/contrib/116956685035707884808/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSURpNWJMTFRnEAE,內用座位不多，有冰有熱，價錢普通，口味比較甜,Chinese,1 年前,2022-01-04 01:53:31.163537,4.0,fatcheng chou,0,0,https://www.google.com/maps/contrib/111282148827362069543/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNpbnBtQTlRRRAB,交通略為不便，但豆花綿密好吃，糖水也不會過甜恰到好處，綠豆也是走綿密路線，若住附近可以再訪～,Chinese,1 年前,2022-01-04 01:53:34.510158,4.0,Rex Lai,0,0,https://www.google.com/maps/contrib/106688911174647314841/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSUNDa0x5S0hBEAE,真的沒吃過比無名豆花更厲害的店家了，湯匙一舀取豆花，就分出高下了,Chinese,1 年前,2022-01-04 01:53:34.511171,5.0,陳培峰,0,0,https://www.google.com/maps/contrib/104743633161916987356/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChZDSUhNMG9nS0VJQ0FnSURJc3RDWkhREAE,我的感想： 我覺得口味上還好，口感沒有很綿密，可能是因為我喜歡台中民生路上的豆花，這兩家相比之下，這家的口感就不如台中的，不過也是算不錯吃，而且價格也很合理，有加料的豆花35元，原味的30元，重點是超級大杯的（因為我外帶），吃的很滿足，還有一個優點，那就是豆花湯的甜度剛剛好，不會很死甜，整杯即便把湯喝掉也不會覺得甜死人，這樣很適合現代女性。（以上這是我的個人感想，因為我喜歡台中民生路的豆花，所以我的星星數才沒有給那麼高，喜歡的朋友就當作是閱讀文章，看看就好，因為每個人的口味不同。）,Chinese,3 年前,2022-01-04 01:53:34.511171,3.0,謝孟璇,0,0,https://www.google.com/maps/contrib/117388955879142622371/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNzOHVLX3F3RRAB,"一碗35,加一種料加五元 檸檬豆花是用真的檸檬汁，挺酸的，喜歡吃檸檬與酸的可以點 豆花口感是真的很綿密 但是一碗賣35有點太貴了 內用座位很少 還會被太陽曬到",Chinese,1 年前,2022-01-04 01:53:34.512146,4.0,Tody,0,0,https://www.google.com/maps/contrib/107338134109624270501/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
無名豆花,ChdDSUhNMG9nS0VJQ0FnSUNpczRlUDJBRRAB,豆花香濃綿密，跟糖水相互輝映，好吃,Chinese,1 年前,2022-01-04 01:53:34.512146,5.0,許家福,0,0,https://www.google.com/maps/contrib/102613589194371326465/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9836852476337363893
