place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
福記肉圓總店,ChdDSUhNMG9nS0VJQ0FnSUNtakxQOHpnRRAB,簡單好吃的平價美食，雖然天氣熱～好喝的大骨湯還是讓同行的朋友續碗。內餡是整塊瘦肉，很適合怕肥肉又想吃肉圓的人。,Chinese,1 週前,2022-01-03 22:06:33.196013,4.0,Karen Chang,0,0,https://www.google.com/maps/contrib/100945697226496536658/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChZDSUhNMG9nS0VJQ0FnSURHcWEyc0JBEAE,在台南的冬天，兩顆福記肉圓，配上有芹菜末的大骨清湯，這就是幾十年來喜歡清蒸肉圓的台南人的日常 從三十多年前當學生吃到現在 吃的是古早的情懷。 味道如一，堅持如一。雖不是五星美味，去也值四星推薦  6分 推薦,Chinese,1 個月前,2022-01-03 22:06:33.196709,4.0,偉伯,0,0,https://www.google.com/maps/contrib/117000283526907802555/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChdDSUhNMG9nS0VJQ0FnSURHcnZELTNBRRAB,整間店就一種品項，就是肉圓一份2個44元，乍看覺得有點貴，但也覺得合理。 點餐很有趣標示也很清楚，一臉茫然的遊客店家也會和善的提醒點餐流程：先進店裡「點餐區」說要幾份，再端著自己的肉圓到門口「結帳區」淋醬+結帳，湯則是一切自己來~ 粉漿裡的內餡吃的到肉塊，個頭不大但吃起來很滿足；湯也沒有因為免費就隨便，簡簡單單的高湯就很好喝了說~,Chinese,1 個月前,2022-01-03 22:06:33.196709,4.0,小安,0,0,https://www.google.com/maps/contrib/107128844506723087880/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChZDSUhNMG9nS0VJQ0FnSURHM2FIY0FnEAE,古早味，皮厚餡小，肉味有點淡，吃到來只記得醬料非常甜，實在不習慣，清湯也一般，沒有想像中濃郁(據說是大骨高湯),Chinese,3 週前,2022-01-03 22:06:33.197709,3.0,Chiajung Yang,0,0,https://www.google.com/maps/contrib/108085873037097845597/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChZDSUhNMG9nS0VJQ0FnSUNtMXJ1TUdREAE,老店肉圓好吃，但店員態度太差，對不懂取餐流程的人相當不友善，老店生意好也該記得禮貌兩個字怎麼寫。,Chinese,6 天前,2022-01-03 22:06:33.197709,1.0,許凱凱,0,0,https://www.google.com/maps/contrib/104270526770771809420/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChdDSUhNMG9nS0VJQ0FnSUNtdXVPLWd3RRAB,五顆星給那碗湯🥣,Chinese,1 週前,2022-01-03 22:06:33.197709,5.0,しろ,0,0,https://www.google.com/maps/contrib/108529858777849583107/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChZDSUhNMG9nS0VJQ0FnSUNHcHV1eEZnEAE,好吃肉新鮮 熬大骨湯非常好喝 比較不愛皮實在太厚了 員工親切,Chinese,2 個月前,2022-01-03 22:06:33.198709,5.0,Nami Weng,0,0,https://www.google.com/maps/contrib/108635102465058162937/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChZDSUhNMG9nS0VJQ0FnSURHNDh6eFBBEAE,送湯喝一小碗不錯，肉圓皮一夾就爛掉，沒想像中的好吃,Chinese,3 週前,2022-01-03 22:06:33.198709,3.0,Jimmy Lin,0,0,https://www.google.com/maps/contrib/104797403087329261110/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChdDSUhNMG9nS0VJQ0FnSUNHXzh2eTZnRRAB,吃來還可，總覺少那麼一點點，皮有些厚，豬肉不夠軟爛少了香氣，醬汁不鹹不甜不辣平平，無特別的感覺,Chinese,1 個月前,2022-01-03 22:06:33.199720,3.0,Tina Chen,0,0,https://www.google.com/maps/contrib/102065609083900899370/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
福記肉圓總店,ChZDSUhNMG9nS0VJQ0FnSURHajctdFl3EAE,從以前讀書時期朝聖至今，歷經30個年頭，皮有別一般的皮，類似碗粿的皮，餡肉也是一塊一塊的赤肉，吃的已經不只是肉圓，還包含了一份份的回憶。 雖然味道跟以前略有不同了，但是來台南是個人口袋必吃的名單之一。,Chinese,3 週前,2022-01-03 22:06:33.199720,5.0,馬King,0,0,https://www.google.com/maps/contrib/107133196272673855017/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2921609069227325458
