place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
羊城小食店,ChdDSUhNMG9nS0VJQ0FnSURHeWQyTzl3RRAB,招牌油雞肉質嫩到極致，實在好吃😋 鋪在下面的泡菜畫龍點睛👍🏻 蝦仁炒飯完全不會讓人感到油膩！ 上菜速度很快，讓飢腸轆轆的我馬上就被滿足了。 內座位置不多，一下子就滿了。生意真的很好！ 唯一可惜的是小桌位的椅子不好坐！可能因為場地不大，因此椅子不能太大張吧！空間有限。,Chinese,1 個月前,2022-01-04 22:44:23.041405,5.0,BePure,0,0,https://www.google.com/maps/contrib/101296709404612885034/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChZDSUhNMG9nS0VJQ0FnSUNHbTV1bWJBEAE,聽了台南朋友介紹，終於來品嚐這家隱藏在巷弄中的老店。看了一下店內資料，本店為民國39年開始。油雞有原味和蔥油兩種，我們都點來吃，蔥油口味有股焦味很香，吃了一口想起小時在吃辦桌的感覺。  炒飯我們點的是什錦口味，三人點了兩人份，份量多到嚇到，CP值很高，料多實在。芥蘭菜也很香，吃起來新鮮不膩，炒得很入味。  整體來說，餐點口味都很棒，整潔部分可以再更好。如果有到中正街走走，要來品嚐。巷子裡也有很多店面都很有特色。,Chinese,1 個月前,2022-01-04 22:44:23.041405,4.0,蘇蘇,0,0,https://www.google.com/maps/contrib/109258334575622690198/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChZDSUhNMG9nS0VJQ0FnSUNHbnBYTlRREAE,很有實力的老店 油雞好吃的出乎意料 幾乎每道菜味道都很棒 連炒飯也很不錯 盤底幾乎沒什麼油 又不會乾巴巴的難入口 能屹立不搖這麼久果然是真功夫,Chinese,2 個月前,2022-01-04 22:44:23.041405,5.0,林友正Winson,0,0,https://www.google.com/maps/contrib/106814202609442496649/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChdDSUhNMG9nS0VJQ0FnSUQ2ZzlMMHpnRRAB,媽媽是台南人，說是以前國高中會叫同學翹課來這邊先排隊，下課大家一起來吃呢哈哈哈。我第一次來吃，我們點了媽媽已經和同學必點的油雞和揚州炒飯咕咾肉，又另外點了青椒牛肉跟香菇芥蘭，每道菜我都喜歡～油雞下面還有醃蘿蔔跟酸黃瓜～很喜歡他們的炒飯，飯很香有鍋氣，媽媽說咕咾肉的味道沒有以前甜酸，可能要符合現代人的口味吧！我現在兩家羊城油雞都吃了，大家好像都有自己喜歡的店，我吃完覺得都不錯啦～,Chinese,2 個月前,2022-01-04 22:44:23.041405,5.0,梁家嘉,0,0,https://www.google.com/maps/contrib/108738338208465712585/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChdDSUhNMG9nS0VJQ0FnSUNHb0pPaWd3RRAB,油雞真的很好吃！熱炒類也推！其他餐點一般！環境陳舊整潔！略顯擁擠！服務佳！廁所可怕！,Chinese,2 個月前,2022-01-04 22:44:23.041405,3.0,蔡吉富,0,0,https://www.google.com/maps/contrib/105097528989354806064/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChdDSUhNMG9nS0VJQ0FnSUNHcUplbzlnRRAB,價格說是秤重的 不一定一隻雞多少 所以這樣一小盒半隻雞 要380元 提供給大家參考看看…..,Chinese,2 個月前,2022-01-04 22:44:23.041405,1.0,Hsuii,0,0,https://www.google.com/maps/contrib/110662486955702699332/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChZDSUhNMG9nS0VJQ0FnSUM2MTZXZktnEAE,台南老店 油雞軟嫩，配醬汁很刷嘴 芋頭鴨大推，很下酒,Chinese,3 個月前,2022-01-04 22:44:23.041405,5.0,Jamie Chou,0,0,https://www.google.com/maps/contrib/112120597731714084142/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChdDSUhNMG9nS0VJQ0FnSURHdWI2a2hRRRAB,商圈的轉移落寞，老味道還是一直留在原地,Chinese,1 個月前,2022-01-04 22:44:23.041405,5.0,懈師傅,0,0,https://www.google.com/maps/contrib/109333880028197899933/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChZDSUhNMG9nS0VJQ0FnSUNhNHJmTEdBEAE,5、60年代執廣式油雞牛耳的羊城小食店、曾是中區最爆紅的餐廳之一、但隨著中區的沒落加上師傅出走另行在開山路註冊羊城油雞現今巷子死寂一片令人不勝噓噓。,Chinese,5 個月前,2022-01-04 22:44:23.041405,4.0,蔡榮基,0,0,https://www.google.com/maps/contrib/112405453239087624954/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
羊城小食店,ChdDSUhNMG9nS0VJQ0FnSUNhdy12eGxnRRAB,油雞蠻嫩的可是口味普通，肉絲炒飯好吃而且肉絲給超級多，店內老舊衛生有待加強。,Chinese,4 個月前,2022-01-04 22:44:23.041405,4.0,Angus Hsiao,0,0,https://www.google.com/maps/contrib/108591501413814401593/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15687540502183904477
