place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
美勝珍蜜餞,ChZDSUhNMG9nS0VJQ0FnSUNHMXZMWEp3EAE,阿姨很會推薦😂有分大小包，價錢不一樣噢！大部分都50,Chinese,2 個月前,2022-01-03 16:47:20.049814,5.0,Wei Emily,0,0,https://www.google.com/maps/contrib/107477721018868748859/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChZDSUhNMG9nS0VJQ0FnSURLOVBIMWJnEAE,果乾水準正常發揮，大部分一包50元，少數價格會不一樣！,Chinese,8 個月前,2022-01-03 16:47:20.050801,4.0,William Hsu,0,0,https://www.google.com/maps/contrib/117618376926635940333/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChZDSUhNMG9nS0VJQ0FnSUNLMmV6ZGR3EAE,阿姨很親切❤️ 中正路老店，很多小零食✨✨,Chinese,8 個月前,2022-01-03 16:47:20.051800,5.0,Rou,0,0,https://www.google.com/maps/contrib/102841693624774388391/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChdDSUhNMG9nS0VJQ0FnSURLOXJPYTJnRRAB,最愛他們的爆漿金桔、沙茶豆干、魷魚片，解嘴饞的小零嘴，老闆說放陰涼處可保存兩個月…,Chinese,7 個月前,2022-01-03 16:47:20.051800,4.0,Mandy Lin,0,0,https://www.google.com/maps/contrib/112546957367945767551/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChdDSUhNMG9nS0VJQ0FnSURTamZ2ZW93RRAB,現場蜜餞、果乾、古早味餅乾種類繁多，小包裝加上平價，可以嘗試到很多種口味～也可請老闆直接裝大份量 (當天拿到覺得份量好像比小包加起來多😆)，個人喜歡脆梅、青芒果乾！建議不喜歡太甜口味的人，果乾要挑選低糖系列，否則會覺得太甜～已期待下次到台南回訪！  消費日期：2021.01.02,Chinese,11 個月前,2022-01-03 16:47:20.052801,5.0,凱瑞絲,0,0,https://www.google.com/maps/contrib/108258248419171099457/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChdDSUhNMG9nS0VJQ0FnSUNtaU91dXhBRRAB,太扯了🥺，蜜餞俗擱大碗 聽女朋友建議買了兩包，超好吃又便宜 讚的啦！,Chinese,2 週前,2022-01-03 16:47:20.053801,5.0,塔克,0,0,https://www.google.com/maps/contrib/117830186080965369746/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChdDSUhNMG9nS0VJQ0FnSUN5NVBucTJRRRAB,包裝精巧簡單大方、好多記憶中的古早味蜜餞口味竟然在處理出現，平均$50元一包非常佛心👍,Chinese,11 個月前,2022-01-03 16:47:20.054800,5.0,88 地方 (‪Wise Cheng‬),0,0,https://www.google.com/maps/contrib/113646350666070580055/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChZDSUhNMG9nS0VJQ0FnSUNhdXVLWWZBEAE,經典老店👍👍,Chinese,5 個月前,2022-01-03 16:47:20.054800,5.0,eleonore Tsai,0,0,https://www.google.com/maps/contrib/103647325172634967966/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChdDSUhNMG9nS0VJQ0FnSUNHZ2RXNThRRRAB,女老闆娘可能服務態度不錯，但……其他人可能就不一定了。店面不大，但東西還蠻齊全的，口味也還不錯吃。,Chinese,2 個月前,2022-01-03 16:47:20.055812,4.0,小魚,0,0,https://www.google.com/maps/contrib/113123627551966324940/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
美勝珍蜜餞,ChZDSUhNMG9nS0VJQ0FnSUNHbmZxX0RREAE,經典老店 ～,Chinese,1 個月前,2022-01-03 16:47:20.056812,4.0,Eben Chang,0,0,https://www.google.com/maps/contrib/113833828774671883700/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11804574529212485746
