place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
莉莉水果店,ChdDSUhNMG9nS0VJQ0FnSURHanF2Z3lnRRAB,這次點了綜合豆牛乳冰、鳳梨冰、布丁，好吃，料也好多！冷冷的天氣也適合來個一碗！,Chinese,1 個月前,2022-01-03 15:46:58.329493,5.0,林祐滄,0,0,https://www.google.com/maps/contrib/108428943753573489530/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChZDSUhNMG9nS0VJQ0FnSUNtN3BEVUhBEAE,冬天吃水果冰還是很舒服 料多味美，很順口,Chinese,5 天前,2022-01-03 15:46:58.330494,5.0,徐小瑋,0,0,https://www.google.com/maps/contrib/112814865782990025793/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChdDSUhNMG9nS0VJQ0FnSURRMTk3bzZBRRAB,五年後再度來光臨莉莉水果店，點了木瓜牛奶跟芒果牛奶冰，雖然芒果不是在當季可是我喜歡有酸度的芒果好吃，木瓜牛奶也香濃好喝,Chinese,1 個月前,2022-01-03 15:46:58.330494,4.0,kellyfish,0,0,https://www.google.com/maps/contrib/108138730765524365397/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChdDSUhNMG9nS0VJQ0FnSURHdWNDazRBRRAB,從學生時代吃到現在，吃的不只是回憶，還是新鮮與堅持的好滋味  發生 推薦,Chinese,1 個月前,2022-01-03 15:46:58.331493,5.0,偉伯,0,0,https://www.google.com/maps/contrib/117000283526907802555/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChZDSUhNMG9nS0VJQ0FnSURHc09EQ0h3EAE,各位不知道要點什麼的旅客，千萬要看我這則評論，因為你會知道不能點什麼！想說入冬吃冰的人少，來吃吃看！結果失望啊！  千萬不要跟我們一樣，結帳完座位區的同伴才看到別人的評論，然後冰已經送上來了，那則評論實在太真實了，我的想法跟她一樣(笑)  50元的水果冰，底下水果沒幾塊，也只有西瓜、香蕉、柳丁等便宜的水果。,Chinese,1 個月前,2022-01-03 15:46:58.331493,1.0,伶,0,0,https://www.google.com/maps/contrib/115724557382623859466/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChZDSUhNMG9nS0VJQ0FnSURHdWZYclZ3EAE,意外好吃的薑汁番茄，來一杯酪梨布丁牛奶！這種天氣吃冰就是痛快！,Chinese,4 週前,2022-01-03 15:46:58.332493,4.0,張恩慈,0,0,https://www.google.com/maps/contrib/110502017845001731663/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChZDSUhNMG9nS0VJQ0FnSUNHZ2VpQUV3EAE,叫了綜合水果牛乳冰及綜合水果布丁牛乳冰，雖然已入秋，但台南的天氣吃冰還是不過分的，走累了吃碗冰頓覺真是美味，已不知是真的美味還是因為累渴而起的誤解，但至少這冰沒踩雷，還不錯的~,Chinese,2 個月前,2022-01-03 15:46:58.332493,4.0,洪邦定,0,0,https://www.google.com/maps/contrib/106155742109538345316/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChZDSUhNMG9nS0VJQ0FnSUNtdXBPQ2FBEAE,中規中矩的紅豆牛奶冰🍧 布丁🍮是很台南古早味 雞蛋味比較重那種,Chinese,1 週前,2022-01-03 15:46:58.333493,4.0,しろ,0,0,https://www.google.com/maps/contrib/108529858777849583107/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChZDSUhNMG9nS0VJQ0FnSURHMjVpbkRBEAE,好喜歡草莓牛奶冰 很古早味不會過甜 逛完孔子廟 切一盤綜合水果 很讚,Chinese,3 週前,2022-01-03 15:46:58.333493,5.0,外星人唱歌劇,0,0,https://www.google.com/maps/contrib/111679878811681261522/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
莉莉水果店,ChdDSUhNMG9nS0VJQ0FnSURHNU9XVTN3RRAB,還不錯，新鮮味美，推薦觀光客要來吃吃看！ 櫃檯結帳年輕老闆（？）很客氣。鄰近孔廟及圖書館，吃完瞬間文青氣質破表。 小缺點就是不好停車還有價格稍稍高一點。,Chinese,1 個月前,2022-01-03 15:46:58.334493,4.0,Norman Liu,0,0,https://www.google.com/maps/contrib/100834306940686774731/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11220780884503943427
