place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURHOXJqRnJ3RRAB,鱔魚意麵炒乾的超讚、花枝也處理的很好,Chinese,1 個月前,2022-01-03 23:48:41.151215,4.0,Tsan Lee,0,0,https://www.google.com/maps/contrib/114044245595980845328/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUR5Z3ZDdzJRRRAB,調味獨特！ 川七新鮮好吃！  蛤蜊湯的蛤蜊超多，水的比例稍嫌不夠， 以至於湯很鹹，有點可惜， 乾炒鱔魚意麵的麵體與鱔魚稍嫌軟爛， 花枝燴飯的口感稍嫌單一。  小動物的空間看起來很狹小， 有點可憐🥺,Chinese,10 個月前,2022-01-03 23:48:41.152225,3.0,Y Yang,0,0,https://www.google.com/maps/contrib/105036924379062026103/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSURHbXVYTElREAE,"價位太高，加麵要20,加麵後比加麵只收10元的量少，口味尚可，負責點餐的向煮的人傳達了客人點什麼，煮的人沒注意聽還跟點餐的人吵說沒講，瞬間烏鴉飛過去了啊啊啊，  [老闆她真的有跟你說兩碗都加麵錢收了]。",Chinese,1 個月前,2022-01-03 23:48:41.152225,2.0,borg,0,0,https://www.google.com/maps/contrib/102270392342822954396/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURTenBUT2dnRRAB,"> >>離開市市中心馬上響雷了，乾炒鱔魚意麵120 元,，點餐時只有我一人，其他桌已上餐，所以是一鍋只做我一份，沒有大鍋分數盤的數量失誤問題，打切時就知道出餐會只有5小福，吃遍了幾乎台南市區乾炒鱔魚意麵從來沒有這麼少過，又賣120，連賣100的都比這多，但有Q啦，口味也普普，胡椒自己加的，拜。 簡單數學別家 7~8片切半約=15, 15除以5小福=3，3X120=360元，別人7~8大片賣180都不過分，更何況有人賣150. 況且口味，，，，。這不響雷那響雷。分享8大片價錢沒超過200的供參。",Chinese,10 個月前,2022-01-03 23:48:41.153225,1.0,Mason So,0,0,https://www.google.com/maps/contrib/113504958360455622988/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNpbTlYM0p3EAE,店內有一隻大鱉 不知道是不是要拿來吃的 看起來很肥。 鱔魚意麵羹酸酸的 口感還不錯 份量偏少就是 沒幾片鱔魚。,Chinese,1 年前,2022-01-03 23:48:41.153225,3.0,林聖桓,0,0,https://www.google.com/maps/contrib/113502693969327181424/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNpNDctQ0dBEAE,份量足夠，中等價位 只是台南口味偏甜 🤣🤣,Chinese,1 年前,2022-01-03 23:48:41.154214,4.0,Shari Chen,0,0,https://www.google.com/maps/contrib/112668179684099315750/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURLN05ueTlBRRAB,超好吃 但是價錢 偶爾吃一次哈哈哈,Chinese,8 個月前,2022-01-03 23:48:41.154214,5.0,Pan Jean,0,0,https://www.google.com/maps/contrib/118310205290944079569/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNHck0td013EAE,食材新鮮是最大的招牌，幾乎是當天準備，值得品嚐的店家,Chinese,2 個月前,2022-01-03 23:48:41.154214,5.0,許佩蓁,0,0,https://www.google.com/maps/contrib/111092885388602262435/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNpdkt1Z3F3RRAB,從小吃到大的鱔魚意麵😀 個人蠻喜歡的😍 一碗80，加一粒麵100。 生意一直還不錯，機車還算好停，汽車不好停，建議往前開一點去鳳山宮停車場。,Chinese,1 年前,2022-01-03 23:48:41.155217,5.0,大牛日常Bigcow,0,0,https://www.google.com/maps/contrib/109421603307329400834/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUN3azhQbUlBEAE,好吃的店家~老闆/老闆娘服務都很不錯。,Chinese,4 年前,2022-01-03 23:48:41.155217,5.0,陳小白,0,0,https://www.google.com/maps/contrib/103681244893936968344/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUQ2NnVUNjJRRRAB,價位偏高，乾炒鱔魚意麵跟麻油麵線還可以,Chinese,3 個月前,2022-01-03 23:48:44.444527,4.0,Yu Hsuan Chang,0,0,https://www.google.com/maps/contrib/100605861819899942840/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNheXZuSWl3RRAB,口味道地！出餐快速 炒菜環境整潔。讚,Chinese,5 個月前,2022-01-03 23:48:44.444527,5.0,于小民,0,0,https://www.google.com/maps/contrib/101084680000551475594/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNhanBDN0F3EAE,道地的口味，出餐快 料理環境整潔，優質的在地小吃店,Chinese,5 個月前,2022-01-03 23:48:44.445553,5.0,張曉蘭,0,0,https://www.google.com/maps/contrib/108288181058965552652/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNTcU9fUEd3EAE,乾炒鱔魚意麵好吃,Chinese,1 年前,2022-01-03 23:48:44.445553,5.0,Diego Kuo,0,0,https://www.google.com/maps/contrib/110240577885554353176/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNxMklUbHR3RRAB,上次同學到訪. 特地點了炒鱔魚炒花枝. 口味道地...忘了再點一盤炒螺肉下酒菜...,Chinese,7 個月前,2022-01-03 23:48:44.445553,5.0,Goog le,0,0,https://www.google.com/maps/contrib/112755388534511506928/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSURVaXRqSlZBEAE,鱔魚意麵價位在台南不算高，不過份量也沒太多，晚餐不知道吃什麼時總是會想到它，麵的硬度很剛好鱔魚也新鮮，不過附近不好停車,Chinese,2 年前,2022-01-03 23:48:44.446542,4.0,黃英傑,0,0,https://www.google.com/maps/contrib/106142946591160851309/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNDeXJqOFh3EAE,優點-上菜快速 有個點菜的妹妹很有禮貌 室內有冷氣 份量不少 缺點-停車不便 建議騎車 口味-調味偏重 我吃不慣  忘了拍美食照片~倒是拍了他們的鱉? 甲魚?,Chinese,1 年前,2022-01-03 23:48:44.446542,3.0,Kaiting Tsai,0,0,https://www.google.com/maps/contrib/104910583304377328485/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNLXzh2NnVBRRAB,麻油腰子，火候掌控的很好，腰子口感超彈嫩！  乾炒鱔魚意麵也不會過乾！  牽羹的意麵就還好了...,Chinese,8 個月前,2022-01-03 23:48:44.447530,5.0,峰,0,0,https://www.google.com/maps/contrib/105955923840162280866/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURNcDV1VHRBRRAB,很喜歡你們的海龜 🤗,Chinese,1 年前,2022-01-03 23:48:44.447530,5.0,Glory Andy,0,0,https://www.google.com/maps/contrib/103212126537838880794/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNhZ19XcjVRRRAB,終於... 坐在走廊用也好吃,Chinese,4 個月前,2022-01-03 23:48:44.448520,5.0,思齊吳,0,0,https://www.google.com/maps/contrib/107909801750065674528/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNxdjdHVDJRRRAB,鍋氣味足，鱔魚也脆，乾炒鹹甜剛好,Chinese,6 個月前,2022-01-03 23:48:47.671665,5.0,傑許,0,0,https://www.google.com/maps/contrib/108523846030244276594/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUN3NU0zVDF3RRAB,什錦料不多也普通 價格還好,Chinese,3 年前,2022-01-03 23:48:47.672655,3.0,rita lin,0,0,https://www.google.com/maps/contrib/116362482094686718696/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
華興鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSURnbl92T1BBEAE,有的好吃<鱔魚 有的不值<什錦,Chinese,3 年前,2022-01-03 23:48:47.672655,4.0,minacia Lin,0,0,https://www.google.com/maps/contrib/101178840448608153294/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1430123817323509646
