place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
萬川號餅舖,ChZDSUhNMG9nS0VJQ0FnSUNtZ3ZUQUtnEAE,同時買了萬川號和祿記的水晶餃，兩家都很好吃，但我和友人各有所好。 萬川號一顆$20較貴，皮較薄、因為帶有肥肉而較油，但除了筍乾外還有蝦米的香氣，鹹甜的調味也是個人比較愛的種類；與祿記醬油鹹味、瘦肉及苦脆的筍乾不同。 而個人一直很愛的香菇蛋黃肉包一個$30，忘了是否有漲價，雖然口味一樣，但餡料縮水太多影響整體美味程度。,Chinese,1 週前,2022-01-03 16:48:22.317566,4.0,Rosie Su,0,0,https://www.google.com/maps/contrib/101236622392907022371/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChdDSUhNMG9nS0VJQ0FnSURHM2RHNjR3RRAB,好久沒看到那麼多古早味糕餅，產品很懷舊，買了包子和水晶餃，不怕甜的話算是ok,Chinese,3 週前,2022-01-03 16:48:22.318555,4.0,Chiajung Yang,0,0,https://www.google.com/maps/contrib/108085873037097845597/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChdDSUhNMG9nS0VJQ0FnSUQ2NEp1Tl9RRRAB,蛋黃肉包：內餡調味很不錯，類似黑貓包卻不油膩。外皮是台式，口感普通。 水晶餃：尺寸比想像的大，內餡鹹中帶甜，帶有脆脆的口感吃起來很清爽。整體來說有點像還沒下油鍋的炸肉圓。,Chinese,3 個月前,2022-01-03 16:48:22.318555,4.0,David LIN,0,0,https://www.google.com/maps/contrib/111426800679558240312/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChZDSUhNMG9nS0VJQ0FnSUNHeWU3Z2RnEAE,普通，沒必要當台南名產特定去買，但不是雷 鹿港的阿龍師比較好吃，因為比較便宜，但講個公道話，萬川號的肉餡，品質大勝，都是瘦肉,Chinese,3 週前,2022-01-03 16:48:22.319555,5.0,呂奕儒,0,0,https://www.google.com/maps/contrib/105422175340232565436/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChdDSUhNMG9nS0VJQ0FnSUNHN2ZUSmtBRRAB,親切的店員，乾淨環境。慕名至此是為了肉包，肉包的餡有香菇與蛋黃，讓我想起以前小時候有人推著腳踏車賣的肉包。肉包皮可惜了點，很綿密，但是會黏牙，我比較喜歡有點孔洞的皮，不過我喜歡。在台南這顆肉包口味上應該跟克林台包有比，應該有個前三名吧！,Chinese,1 個月前,2022-01-03 16:48:22.319555,4.0,Larry,0,0,https://www.google.com/maps/contrib/107205316997400692083/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChZDSUhNMG9nS0VJQ0FnSUNtdXREekJ3EAE,肉包讚👍很好吃。 水晶餃比一般大但口感味道普通，沒有到必吃的感覺～,Chinese,1 週前,2022-01-03 16:48:22.320555,4.0,施媛茹,0,0,https://www.google.com/maps/contrib/105166828584978280768/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChdDSUhNMG9nS0VJQ0FnSUNxbXN6U3BnRRAB,水晶餃是這家店最靈魂的食物 傳統麻薯很Q很好吃 蛋黃肉包內餡非常香甜多汁，包子皮是機器做的不是手工的口感偏軟嫩。 其他傳統中式餅很適合當茶點。,Chinese,6 個月前,2022-01-03 16:48:22.320555,4.0,王安妮塔,0,0,https://www.google.com/maps/contrib/114898571683730311192/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChZDSUhNMG9nS0VJQ0FnSUNhN09TYVpnEAE,香菇蛋黃肉包還OK  菜包偏鹹、黑芝麻包超甜，不喜歡  水晶餃好吃程度：祿記＞克林台包＞萬川號  店員態度很跩，詢問問題都不太理客人,Chinese,5 個月前,2022-01-03 16:48:22.320555,2.0,蔡康榮,0,0,https://www.google.com/maps/contrib/108527888741978318072/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChZDSUhNMG9nS0VJQ0FnSUNHc0lmWkxnEAE,超大顆的麻糬，覺得花生口味最好吃！ 6個一盒$78（紅豆/芝麻/花生），也有4個一盒$50,Chinese,2 個月前,2022-01-03 16:48:22.321566,4.0,陳俞萱,0,0,https://www.google.com/maps/contrib/101743020289184663949/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChZDSUhNMG9nS0VJQ0FnSUQ2M3NTVGV3EAE,真才實料的老字號餅店 中秋節吃過各種禮盒 都有一種加工味 還是最喜歡老字號手作的天然味道,Chinese,3 個月前,2022-01-03 16:48:22.321566,5.0,KAITLYN W,0,0,https://www.google.com/maps/contrib/103934682907287020224/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChdDSUhNMG9nS0VJQ0FnSURHbE1EajZRRRAB,水晶角驚為天人的好吃😋,Chinese,1 個月前,2022-01-03 16:48:25.743916,5.0,answer chu,0,0,https://www.google.com/maps/contrib/103506189929937804577/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
萬川號餅舖,ChdDSUhNMG9nS0VJQ0FnSUNhX19TM2t3RRAB,水晶餃，肉包都很美味，但是其它糕點就不一定了，櫃檯有好幾位在服務，非常周到,Chinese,4 個月前,2022-01-03 16:48:25.744913,4.0,蛋頭哥,0,0,https://www.google.com/maps/contrib/116979028738642702049/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1235390345844112343
