place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
落成米糕,ChdDSUhNMG9nS0VJQ0FnSUNtekxqN3RBRRAB,台南米糕就是台南米糕 不是肉燥飯更不是油飯 魚鬆的鬆爽清淡覆蓋著油脂噴香的花生米糕 豐腴的肥嫩肉燥是手切的肥肉丁慢火細熬小心呵護出來的 海味與肉香完美的聯手 在濃郁快要達到頂點時 一口醃蘿蔔咬下 又從天堂頂點回到凡間 吹起古都的思想起 我想這就是台南美食醉人的原因 因為充滿了古早風情與極度講究的雋永 無可取代 也無以復加  簡單卻又深刻  四神湯也是令人醉心的美味 湯鮮味美鹹甜適中 豬肚與小腸Q軟但不過爛 好入口又帶有些許嚼感 一碗下肚暖心一整天  百元有找的組合就能帶給遊人食客最佳的撫慰  老店很多  美食也很多  沒有最好吃  只有最對味 這家對了我的味  回台南我都願意常來解解饞,Chinese,1 週前,2022-01-03 21:45:25.634971,5.0,唐峻浩,0,0,https://www.google.com/maps/contrib/101093260894928951903/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChdDSUhNMG9nS0VJQ0FnSURHdk1pc2lnRRAB,4.2 大馬路邊 很好找  米糕：40 一半魚鬆 一半肉燥 真的香啊！ 拌勻後 鬆滑好入口 肉燥香而不鹹 嘴邊還會有黏黏的膠質感 雖然是當餐的第二攤 小碗還是輕鬆下肚  鴨蛋：15 夠鹹 稍Q  四神豬肚湯：30 剛端來 第一個念頭是：怎麼那麼小碗… 確認售價後 這滿滿的瘦豬腸+味道足的四神湯 這30元一碗 真的佛心來的！  #座位不多 盡量避開用餐時間 #機車開車都建議先停好車,Chinese,1 個月前,2022-01-03 21:45:25.634971,4.0,雲成,0,0,https://www.google.com/maps/contrib/118203990144500903057/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChZDSUhNMG9nS0VJQ0FnSUNtOU1mLVNBEAE,豬腸豬肚湯神之好吃 我念念不忘，乾乾淨淨的四神湯味道  米糕本人米心微微硬很有嚼勁 （不是軟爛的，有顆顆分明）  肉燥很肥，但肥肉就是讚 沒有什麼好說,Chinese,2 週前,2022-01-03 21:45:25.635971,5.0,YuShuen Chen (Emily Chen),0,0,https://www.google.com/maps/contrib/105988812880483623935/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChdDSUhNMG9nS0VJQ0FnSUNHdk0zVm5BRRAB,網路說四神湯必點，但我不吃內臟呀！可是他們也沒有其他選項，所以還是硬著頭皮點一碗。因為沒喝過，無從比較，所以無法評論。但米糕確實好吃！米粒軟硬適中，滷汁不會太鹹，肉塊超大。推！,Chinese,2 個月前,2022-01-03 21:45:25.635971,5.0,Allen Liu (Formosan),0,0,https://www.google.com/maps/contrib/100801037952387278547/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChdDSUhNMG9nS0VJQ0FnSUNHaC1PQ3pRRRAB,米糕吃完大失所望，米本身不錯，但是肉燥不香，整體的味道吃起來不優，四神湯裡面只有豬腸，沒有四神,Chinese,1 個月前,2022-01-03 21:45:25.636971,2.0,ck,0,0,https://www.google.com/maps/contrib/108465972405752157795/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChZDSUhNMG9nS0VJQ0FnSUNHa2VfTEFREAE,能排台南前三強的米糕，四神湯也很出色，濃郁的薏仁香氣和微苦的中藥味搭配起來非常美妙。,Chinese,2 個月前,2022-01-03 21:45:25.636971,5.0,劉品辰,0,0,https://www.google.com/maps/contrib/108071118899794894305/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChZDSUhNMG9nS0VJQ0FnSURHNEtpT1FBEAE,🥷🏻米糕：小的40元。有魚鬆、肉燥，今天沒有小黃瓜，變成醃蘿蔔乾。米飯很軟，加魚鬆100分呀～真的好吃，每次來台南都會吃😋 110.11.15,Chinese,1 個月前,2022-01-03 21:45:25.637982,5.0,翁嗡嗡,0,0,https://www.google.com/maps/contrib/112628788019518258118/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChZDSUhNMG9nS0VJQ0FnSUNHd2RiVVRREAE,算是最愛的米糕之一 每次朋友來台南玩 必吃的米糕 很推薦大家來試試看 可惜今天沒有醃小黃瓜,Chinese,2 個月前,2022-01-03 21:45:25.637982,5.0,邱胖子,0,0,https://www.google.com/maps/contrib/107766426623807364559/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChRDSUhNMG9nS0VJQ0FnSUNtM0lvbxAB,米糕還可以，倒是魯魚丸很好吃。,Chinese,1 週前,2022-01-03 21:45:25.637982,4.0,Mia Nian,0,0,https://www.google.com/maps/contrib/103860339584124788041/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
落成米糕,ChZDSUhNMG9nS0VJQ0FnSUQ2eXB6MFR3EAE,米糕肉燥還不錯，但米的口感吃起來米心有點硬硬的⋯⋯米糕價位稍微高一點,Chinese,3 個月前,2022-01-03 21:45:25.638983,2.0,李美琴,0,0,https://www.google.com/maps/contrib/116302714811671525514/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=5753912611252533761
