place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
葉家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSUNtOXRlWkxnEAE,果然是名店呀 食物真的很有水準 不過我比較喜歡施家小卷米粉 飲食很主觀,Chinese,6 天前,2022-01-04 19:30:21.655696,4.0,花神,0,0,https://www.google.com/maps/contrib/114918537621865578087/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSURHenZxUFpBEAE,每次來臺南都因太多人而怯步，上次吃到已是10年前，這次特別挑了一個不是吃飯時間，終於吃到，真是太開心了。 湯依然鮮甜，小卷也新鮮爽脆🥰,Chinese,1 個月前,2022-01-04 19:30:21.655696,5.0,Lily Chien,0,0,https://www.google.com/maps/contrib/116639652154121410882/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSUNtOFpuc2JREAE,假日中午等待時間約50分鐘 而且建議下午1點前就來不然可能會賣完 湯頭真的很讚很清甜 小卷新鮮Q彈 米粉很特別很像米苔目 整體口味吃起來是值得排隊的,Chinese,3 天前,2022-01-04 19:30:21.655696,5.0,Che-Ming Liu (Lao Liu),0,0,https://www.google.com/maps/contrib/117546789682784405414/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChdDSUhNMG9nS0VJQ0FnSURHMnNUbG5RRRAB,台南必吃小卷米粉， 也是當地傳統小吃。 小卷鮮美也很彈牙， 至於湯頭真的太甜， 小卷反覆汆燙精華， 簡單風味吃得過癮。🦑,Chinese,1 個月前,2022-01-04 19:30:21.663331,5.0,MUAR TAN (人間漫行),0,0,https://www.google.com/maps/contrib/116873751895484736352/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChdDSUhNMG9nS0VJQ0FnSUNtcnZmUW5BRRAB,看到網路評論跑來嘗鮮，中午平日內用人潮多，店內位子比較有限，所以排隊要20-30分鐘，一碗100的小卷米粉，店內沒有其他品項可選，米粉口感比較像米苔目，但不知道是我個人因素，實在無法感受到好吃，小卷也沒有覺得特別軟嫩新鮮，加上這個價格，如果看了評論跑來的人要有心理準備可能會略為失望。,Chinese,6 天前,2022-01-04 19:30:21.663331,3.0,Kiner Liu,0,0,https://www.google.com/maps/contrib/114212194523892741597/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChdDSUhNMG9nS0VJQ0FnSURHcDQ3Tm9BRRAB,排隊的人龍很長 店內座位少，但是輪桌率滿快的，雖然店面較小，可是環境維持的滿不錯，乾淨明亮 老闆娘動作很俐落 小卷新鮮香甜好吃,Chinese,2 週前,2022-01-04 19:30:21.664331,3.0,Alisa Ho,0,0,https://www.google.com/maps/contrib/105060818406917533313/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChdDSUhNMG9nS0VJQ0FnSUNHdl83d21RRRAB,這間葉家小卷真的不得不說～實在太好吃！每每到訪品質始終如一；沒有添加任何香油或是調味做襯托，湯頭本身就有自然海鮮甜味，這都要歸功主角小卷的美味和店家處理手法，讓就算在單吃小卷時也都能口口吃到它既有新鮮與爽口，甚至到脆口的感受，這真的是功夫和食材的運用拿捏，才能讓簡單樸實的一碗小卷米粉躍升一道出眾美食；這家店其實除了有小卷米粉還有單售小卷跟小卷蛋，可惜每次去都完售，否則真的很想品嚐🤣。,Chinese,1 個月前,2022-01-04 19:30:21.664331,5.0,가질원,0,0,https://www.google.com/maps/contrib/118361953607461071495/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSURHMTRLYVB3EAE,對觀光客很友善，5個人點兩碗，店家還主動給分食的小碗，翻桌很快不會等很久，好吃又友善值得大力推薦,Chinese,3 週前,2022-01-04 19:30:21.664331,5.0,Cincia chiou,0,0,https://www.google.com/maps/contrib/111330191967106617169/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSUNtekxxX093EAE,如果不想大排長龍等內用位置，外帶絕對也是很好的選擇，會把米粉、小卷跟高湯分開包裝，而且實際上吃有覺得比在內用多一點。 真的好好吃！每次來台南必吃！,Chinese,2 週前,2022-01-04 19:30:21.665330,5.0,許瀚云,0,0,https://www.google.com/maps/contrib/108450879165368668550/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
葉家小卷米粉,ChdDSUhNMG9nS0VJQ0FnSURHMXNTTGt3RRAB,"葉家小卷米粉湯真的名不虛傳，今天第一次來，而且是平日的時間，雖然隊伍不長，但總是不間斷，但店內座位不多，可想而知，假日時間是需要有耐心和體力的，不過，能吃到這碗小卷米粉湯，一切辛苦都是值得的，它的小卷非常新鮮，基本上是不用沾醬油和辣椒醬的，因為小卷本身很鮮甜，沒有腥味，所以不用沾醬就可享受小卷本身的味道，當然客官也可依自己的喜好來沾醬，它的米粉就是米苔目，米苔目非常厚實軟Q,吸足了鮮甜的湯汁，真的是一口接一口的吃，而它的湯汁，喝的出小卷的鮮甜味，在冷天裡吃上這一碗，真是萬分幸福哦！葉家小卷米粉湯一碗100元，附近也有停車場，來台南建議來吃看看哦！",Chinese,1 個月前,2022-01-04 19:30:21.665330,5.0,劉和鑫,0,0,https://www.google.com/maps/contrib/111125710240014558412/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9590103266872809101
