place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
赤崁糖原糖概念館,ChZDSUhNMG9nS0VJQ0FnSUNtZ3Z1X0V3EAE,第一次的椪糖食體驗，有銅錢、傘、星星等應遊戲而生的有趣圖案（真的是用牙籤畫出來的耶），聽了闆娘的親切介紹，還買了薑茶（竹薑＋赤崁糖）！期待回去後的品嚐💛,Chinese,1 週前,2022-01-03 15:41:15.787418,5.0,子婷,0,0,https://www.google.com/maps/contrib/104398839400987876332/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChZDSUhNMG9nS0VJQ0FnSUNHeDRuTE9BEAE,老闆很熱情～ 產品很道地！ 台南在地特產，赤崁糖，赤崁堂。 來的話還有很熱情的講解！ 還不來嗎？,Chinese,1 個月前,2022-01-03 15:41:15.788351,5.0,NJ Huang,0,0,https://www.google.com/maps/contrib/106504169046484603136/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChdDSUhNMG9nS0VJQ0FnSURHMl9tdXRBRRAB,"之前來買過竹薑粉泡茶，想買薑糖沒有貨 朋友專程來買難喝綠茶,覺得對頭痛之類有一點舒緩效果 沒有看見男老板，一些產品問店員感覺就像包裝上的照本宣科 商業化氣息比之前重了些",Chinese,3 週前,2022-01-03 15:41:15.788351,4.0,Yuehchin Lin,0,0,https://www.google.com/maps/contrib/115470567202678631291/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChdDSUhNMG9nS0VJQ0FnSUNHejkyd3d3RRAB,老闆解說的很仔細！讓我們明白吃法以及成分，有傳統台南椪糖還有現在最夯的韓式椪糖推推!!!,Chinese,1 個月前,2022-01-03 15:41:15.789369,5.0,陳相豆,0,0,https://www.google.com/maps/contrib/107429179722285713179/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChZDSUhNMG9nS0VJQ0FnSUNtX1AtUmV3EAE,老闆親切，好吃又好玩,Chinese,1 週前,2022-01-03 15:41:15.789369,5.0,胡雲萍,0,0,https://www.google.com/maps/contrib/115549334253595716466/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChZDSUhNMG9nS0VJQ0FnSUNLa29qWWNREAE,吳大哥專業又熱情，來武廟和天后宮參拜都會來走走，順便看看多寶跟藍寶☺️,Chinese,9 個月前,2022-01-03 15:41:15.789369,5.0,Kuan Chih Chen,0,0,https://www.google.com/maps/contrib/103609512330994063583/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChdDSUhNMG9nS0VJQ0FnSURHbk5MbDJnRRAB,老闆熱情親切，強烈推薦！,Chinese,1 個月前,2022-01-03 15:41:15.790358,5.0,t0929576032@gmail.com kiss520335,0,0,https://www.google.com/maps/contrib/114713322675566895348/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChZDSUhNMG9nS0VJQ0FnSUNHX2E3aU9nEAE,魷魚遊戲碰糖超好玩！幸運🥳,Chinese,1 個月前,2022-01-03 15:41:15.790358,5.0,王啾比,0,0,https://www.google.com/maps/contrib/108662043450158757178/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChZDSUhNMG9nS0VJQ0FnSUNtLXV5NVBREAE,好吃又好玩的椪糖遊戲～謝謝老闆～,Chinese,1 週前,2022-01-03 15:41:15.791380,5.0,徐小臻,0,0,https://www.google.com/maps/contrib/103876990167705429096/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
赤崁糖原糖概念館,ChZDSUhNMG9nS0VJQ0FnSUR5NFp2Q0RREAE,古錢餅很好吃唷，經過路過別放過，大推！,Chinese,9 個月前,2022-01-03 15:41:15.791380,5.0,王銘澤,0,0,https://www.google.com/maps/contrib/102520515934487015947/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11902902068231864997
