place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
連得堂煎餅,ChdDSUhNMG9nS0VJQ0FnSUNtaXRYcThRRRAB,來購買綿延百年的火烙煎餅 現場一個人能買到2包✌ 有雞蛋煎餅&味噌煎餅可選擇 紛至沓來的旅人 多半是為了目睹古色古香的店面 與那台骨董煎餅機😍 營業時間內見到老闆烤餅的機率很大唷👌,Chinese,1 週前,2022-01-03 16:59:46.832145,5.0,素素陳,0,0,https://www.google.com/maps/contrib/102896478503543107902/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChZDSUhNMG9nS0VJQ0FnSUNtOXB2WkhREAE,吃不膩的煎餅，雞蛋跟味噌口味都很棒！ 適合喜歡古早味跟咬硬餅乾的人 但這兩種口味加起來只能限購2包 其他口味要預訂還沒吃過,Chinese,5 天前,2022-01-03 16:59:46.832145,5.0,Claire Fu,0,0,https://www.google.com/maps/contrib/106619051918161621901/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChdDSUhNMG9nS0VJQ0FnSUNtc01XMy1BRRAB,終於來大家都推薦的連得堂煎餅😋 幸好跟孩子的爹說要一起下車買餅，不然就少買兩包了呢！ 負責結帳的小姐還有做餅阿嬤人都很好，我提出讓孩子站在古早爐旁邊拍照時，不只引導孩子站哪裡，還送孩子們各一塊煎餅，超開心！！ 偷吃了孩子的餅一口，剛出爐的餅沒話說，即將冷卻要硬偏軟加上甜而不膩的口感，果然是台南的驕傲！！,Chinese,2 週前,2022-01-03 16:59:46.833136,5.0,陳佩娟,0,0,https://www.google.com/maps/contrib/117865785161931402665/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChdDSUhNMG9nS0VJQ0FnSURHOWJYRDFBRRAB,上週六12/4大概下午2點多過去，煎餅已經全數賣完了😭😭😭可以預訂配送，但是已經排到明年3月了⋯😭😭😭要買的人應該要早上就趕快先去買了（哎,Chinese,4 週前,2022-01-03 16:59:46.833136,3.0,Angela Jong,0,0,https://www.google.com/maps/contrib/112263269005559985092/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChZDSUhNMG9nS0VJQ0FnSURHNE0zOEZREAE,現場烤餅的味道非常香，現場只有雞蛋/味增兩種口味，個人偏好味增，有日本的風味，雞蛋餅乾就還好，其他口味的煎餅可以電話預約，但已經排到好幾個月後了，租車的時候，機車行竟然有賣，可以碰碰運氣，有些商店會賣，但當然價格不一樣囉,Chinese,1 個月前,2022-01-03 16:59:46.834136,3.0,Spooky Yu,0,0,https://www.google.com/maps/contrib/102658573264546388827/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChZDSUhNMG9nS0VJQ0FnSURHd1luMlhnEAE,煎餅好吃，雞蛋煎餅樸實的味道，非常耐吃，味噌煎餅也不錯。比起蜜餞伴手禮非常值得購買。,Chinese,1 個月前,2022-01-03 16:59:46.834136,5.0,Mikala K,0,0,https://www.google.com/maps/contrib/115490018095069715066/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChZDSUhNMG9nS0VJQ0FnSUQ2djR2RmR3EAE,純手工製作傳統古早味煎餅 擁有百年歷史，連店面都保留舊有模樣 麵糊一匙一匙，煎餅爐轉阿轉，為了堅持百年不變的原味 現場飄出陣陣的煎餅香氣，讓嗅覺先滿足一下 雞蛋煎餅吃起來又硬又脆，越嚼越香，超喜歡 味噌口味微鹹微甜，比較薄脆 是每次到台南的必買清單!,Chinese,2 個月前,2022-01-03 16:59:46.835148,5.0,小廚生活,0,0,https://www.google.com/maps/contrib/108620757130378436445/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChZDSUhNMG9nS0VJQ0FnSUNtb05QMkpnEAE,味增煎餅還是我的最愛!只要經過我都會來買!好吃!,Chinese,2 週前,2022-01-03 16:59:46.835148,5.0,黃怡萱,0,0,https://www.google.com/maps/contrib/115239755120478057215/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChZDSUhNMG9nS0VJQ0FnSUNHejdEb1pREAE,#台南美食 📍連得堂煎餅 📍台南市北區崇安街54號 📍週一至週五 08:00-20:00 📍週六08:00-18:00；週日08:00-15:00 📍06-225-8429 —————————————————————— 百年古早味的好味道流傳到現在 目前已經是第四代傳承 從日治時期就開始製作的味增口味 全部都是素食可使用可以放心  現場每個人只限購兩包 當天14:00去的時候雞蛋口味已經賣完了 花生海苔芝麻已經預約到2022過年後 老闆非常熱情一邊製作煎餅一邊可以聊天 但是要有禮貌ㄛ～～～～～ 可以從他身上知道很多台南人知識 煎餅的口味非常的酥脆 一口接一口一下子就把它吃光光了  🔆味增煎餅 40,Chinese,1 個月前,2022-01-03 16:59:46.835148,5.0,"Jessie Love,chat",0,0,https://www.google.com/maps/contrib/111596451662228398622/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
連得堂煎餅,ChdDSUhNMG9nS0VJQ0FnSUNtOHVuRXBRRRAB,建議開門就去買，每人限購兩包！推薦雞蛋煎餅！當店還買了味噌煎餅！,Chinese,3 天前,2022-01-03 16:59:46.836159,5.0,Eric Shih,0,0,https://www.google.com/maps/contrib/117275356535179626898/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11005477751414286542
