place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
銀座日式料理,ChZDSUhNMG9nS0VJQ0FnSUNtc1plMkhREAE,服務好，主動詢問加湯，烤鰻魚腥味太重,Chinese,3 天前,2022-01-04 20:15:00.773005,4.0,Tzu-I Tsai,0,0,https://www.google.com/maps/contrib/116140969323722810533/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChZDSUhNMG9nS0VJQ0FnSURHZ3AtSEp3EAE,海鮮鍋的湯頭鮮甜  生魚片種類繁多且新鮮   唯一缺點是餐點個人盤 裝食物的盤子太大了佔空間,Chinese,1 個月前,2022-01-04 20:15:00.773005,4.0,楊敏兒,0,0,https://www.google.com/maps/contrib/108846777712224666162/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChZDSUhNMG9nS0VJQ0FnSUNtbU1qa1hREAE,今天中午去吃尾牙，公司直接幫大家點了定食。詢問是否有吃生魚片，沒吃生的會弄成烤的，看起來很美味，但我晚上回想時才發現吃生魚片的從頭到尾沒來。今天用餐大概花了兩個小時，中間等候太久還去催餐一次。建議餐出完的話提醒客人已出餐完畢，吃完水果還傻傻等著甜湯，最後詢問才發現因為疫情已經不供應甜湯了。今天吃完感覺有點空虛，大概是因為沒吃到生魚片吧！,Chinese,2 週前,2022-01-04 20:15:00.773005,3.0,Roxanne,0,0,https://www.google.com/maps/contrib/106185812832658569452/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSUM2MDlHWGxRRRAB,一如既往的好 今日蘆筍品質不錯 每次單點都吃的超撐,Chinese,3 個月前,2022-01-04 20:15:00.773005,5.0,bella.,0,0,https://www.google.com/maps/contrib/109225304595416018936/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSUM2cGFuM3NnRRAB,服務品質佳，餐點棒、超級推薦的店家,Chinese,3 個月前,2022-01-04 20:15:00.773005,5.0,Mini Lii,0,0,https://www.google.com/maps/contrib/112797620896051020496/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSUNhOW9lZi13RRAB,解封後的首次內用，套餐非常精緻，鯖魚一夜干微甜的醬汁，酥脆的魚皮，紮實的魚肉口感，連不愛吃魚的我都整尾吃完了,Chinese,5 個月前,2022-01-04 20:15:00.773005,4.0,陳卡文,0,0,https://www.google.com/maps/contrib/107537045659708059671/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChZDSUhNMG9nS0VJQ0FnSUNtd29Mb2JnEAE,場地寛暢，菜色美味加上服務人員親切，很棒的用餐地點。,Chinese,1 週前,2022-01-04 20:15:00.773005,4.0,瑞樺蘭園,0,0,https://www.google.com/maps/contrib/117119168891520249442/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChZDSUhNMG9nS0VJQ0FnSUNHb3RPcmNBEAE,新鮮、美味，推鰻魚飯～,Chinese,2 個月前,2022-01-04 20:15:00.773005,5.0,superhan,0,0,https://www.google.com/maps/contrib/110315433681078440459/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSUR5OXBQaHBBRRAB,東區蠻有名氣的日本料理，專用停車場，停車方便 用餐環境清爽，服務人員也很親切，常過來加茶水  定時有600，800，還有商業午餐定食330，點了超優質的商業午餐。照片上除了炸豬排，及炙燒鮭魚握壽司是加點的外，其它都是商業午餐的內容，尤其那厚實的一夜干，肉質特多汁香嫩,Chinese,9 個月前,2022-01-04 20:15:00.773005,5.0,道車,0,0,https://www.google.com/maps/contrib/108028721336726164154/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSURLdFp6TTdBRRAB,菜色精緻，食材新鮮，口味蠻符合台灣人吃的，但價錢略高,Chinese,7 個月前,2022-01-04 20:15:00.773005,4.0,Jacky Chu,0,0,https://www.google.com/maps/contrib/111193782443326692072/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSUNLX2Z1M19RRRAB,鰻魚飯很大，好吃沒什麼刺。比目魚生魚片我覺得也算到位。環境舒適，服務人員親切。開很久的老店。隔壁有特約停車場可以折抵，合庫銀用卡還能95折,Chinese,8 個月前,2022-01-04 20:15:04.072911,5.0,YuRen Lin,0,0,https://www.google.com/maps/contrib/104562220014178251215/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSURLemZyVHRRRRAB,服務很好的老店，停車方便，聚餐開心，口味美味,Chinese,7 個月前,2022-01-04 20:15:04.072911,5.0,Angel Angel,0,0,https://www.google.com/maps/contrib/111443252911826538230/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSUN5azZTZDdRRRAB,過年六人桌菜份量不多剛剛好 一人平均$950 除夕這價格已經很佛了，還免費停車場非常大 ！！！ 老闆電話中非常親切！非常謝謝這麼佛老闆除夕夜讓我們有團員飯。 除了一二樓以外 還有小小包廂格外溫馨，推薦這家唷！腹地很大！,Chinese,10 個月前,2022-01-04 20:15:04.072911,4.0,黃詩婷（Claire）,0,0,https://www.google.com/maps/contrib/113562867983553695415/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChZDSUhNMG9nS0VJQ0FnSUN5czh1NUlBEAE,炙燒鮭魚握壽司油脂豐富，生魚片新鮮。,Chinese,10 個月前,2022-01-04 20:15:04.072911,4.0,黃貴蘭,0,0,https://www.google.com/maps/contrib/102198917274387704917/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChdDSUhNMG9nS0VJQ0FnSUQ2bE5iNnFnRRAB,用餐人數：7人 點餐方式：1000/人 店家配餐 食材部分 生魚片還算正常。 烤牛肉一人兩小口，口感我覺得片硬，不好嚥下。 炸天使紅蝦佐龍鬚菜 很一般，龍鬚菜比我家花園雜草還粗。 九孔鮑魚＆炸鮮蚵 第一次聽到九孔鮑魚，還真的沒吃過，口感就是橡皮筋。 烤旗魚 算烤的還不錯，只是每個人大小不一。 龍膽石斑蛤蜊湯 唯一算不錯吃的一道，魚吃的出新鮮。 握壽司 炙燒鮭魚正常、比目魚偏難吃、有夠難吃花壽司 水果 兩片西瓜一片火龍果 服務部分 12.30人到齊叫店家上菜，等半小時只上第一道，因為有人不吃牛，第2道上完整整等了1小時，剩下的餐點都集中在最後30分鐘內送完，吃完時間為2.，用餐體驗極差，只能說這間算是老牌的店，不適合我年輕人，吃完一肚子火，等超久，食材又不好，價格其次，上餐廳不就是吃食材或服務，啊兩個都沒有，只能摸摸鼻子，下次不會再來了。 中秋節還是辛苦各位服務生了，也許是人潮眾多，服務品質下降，但食材方面各人覺得有待加強。,Chinese,3 個月前,2022-01-04 20:15:04.072911,1.0,陳哲軒,0,0,https://www.google.com/maps/contrib/103210220470333470458/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
銀座日式料理,ChZDSUhNMG9nS0VJQ0FnSURHN2RpZ0NREAE,餐廳旁有停車場，口味還好，菜色選擇不算多,Chinese,4 週前,2022-01-04 20:15:04.072911,5.0,Yung-Ting Lee,0,0,https://www.google.com/maps/contrib/116559212729142037533/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13741527321531372261
