place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
鎮傳四神湯,ChdDSUhNMG9nS0VJQ0FnSUNtNUlUcmhBRRAB,台南當地的老店，四神湯湯頭味道一般般，也沒有算不好吃。沒試過的可以嚐嚐。,Chinese,2 週前,2022-01-04 20:34:05.541695,4.0,黃奇文,0,0,https://www.google.com/maps/contrib/102454512902328626891/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChZDSUhNMG9nS0VJQ0FnSUNtNnBHdER3EAE,有點厲害喔，四神湯豬肚湯，剛進門聞起來很腥但是煮完喝起來不會很腥，湯白白的不油，處理的非常乾淨,Chinese,1 週前,2022-01-04 20:34:05.541695,4.0,陳宥廷,0,0,https://www.google.com/maps/contrib/105300731815482583609/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChdDSUhNMG9nS0VJQ0FnSUM2OThTeXdRRRAB,Google map定位正確  用餐環境乾淨，餐點多樣  有四神湯還有碗糕跟大腸圈⋯  每樣都想點來吃  很喜歡這樣的在地小店  沒有觀光客的一窩蜂，有的是在地的滋味  還想一再造訪的店。,Chinese,3 個月前,2022-01-04 20:34:05.541695,5.0,林建佑,0,0,https://www.google.com/maps/contrib/100896618120219452907/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChdDSUhNMG9nS0VJQ0FnSUNtX3Vudi13RRAB,從小喝到大 最愛這一間,Chinese,5 天前,2022-01-04 20:34:05.541695,5.0,SYUAN CHEN,0,0,https://www.google.com/maps/contrib/105273685600604080563/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChZDSUhNMG9nS0VJQ0FnSUQ2ODRYUVJ3EAE,招牌小小的，不太醒目，但是裡面客人很多，炒米粉很好吃，四神豬肚可以點綜合的，還有其他選項可以選擇，經濟實惠！,Chinese,2 個月前,2022-01-04 20:34:05.541695,5.0,杏仁,0,0,https://www.google.com/maps/contrib/111716504321750270071/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChZDSUhNMG9nS0VJQ0FnSUNxLS1LY1lBEAE,每次來台南，妳是不是都先想到要吃牛肉湯，虱目魚粥，炒鱔魚，碗粿之類的，對因為光這些美食，妳的胃就已經被填的差不多了。但下次務必留點胃來嚐嚐這碗四神湯，我是點綜合湯，單子上可以劃說妳想吃的部位，但我全都想要索性就不劃給老闆搭。沒想到老闆很敢給料，我看幾乎所有都吃到了，不管是，小肚，肉筋，豬肚，生腸，大腸頭，每一個部位單吃都吃的出新鮮的嫩度且完全沒豬奇怪味道，非常非常的好吃！ 這種就是當天的料當天賣完不會再拿去冰，所以要吃到所有部位請早，啊忘了介紹湯頭，湯頭溫和帶點米酒香，不是那種重口味的但就是舒服的，整體給予高評價，雖然高溫三十幾度邊喝邊流汗，還是忍不住一口接一口的好滋味！,Chinese,6 個月前,2022-01-04 20:34:05.541695,5.0,Darren Chiu,0,0,https://www.google.com/maps/contrib/107136823218848712606/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChdDSUhNMG9nS0VJQ0FnSURHenVEaWd3RRAB,果真名不虛傳~必吃！心中四神湯第一名,Chinese,1 個月前,2022-01-04 20:34:05.541695,5.0,吳靜萍,0,0,https://www.google.com/maps/contrib/110434354921439602252/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChZDSUhNMG9nS0VJQ0FnSUNHbnNiSUVnEAE,很好吃 但腸子沒有我想像中的多 但也蠻划算的了,Chinese,2 個月前,2022-01-04 20:34:05.541695,5.0,宣合,0,0,https://www.google.com/maps/contrib/103715423949312212152/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChdDSUhNMG9nS0VJQ0FnSUNHd3Y3RS13RRAB,不錯吃，四神湯真心厲害，腸子沒腥味 爽口，雖然略油，但料多實在，很好喝👍 米粉是懷念的台南口味，也不錯吃，不過一盤要50元有點貴～個人覺得cp值不高，有機會試試碗粿,Chinese,2 個月前,2022-01-04 20:34:05.541695,4.0,喬啾啾,0,0,https://www.google.com/maps/contrib/101338468100680948312/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
鎮傳四神湯,ChdDSUhNMG9nS0VJQ0FnSUQ2aUs2a3lRRRAB,台南朋友大力推薦 在赤崁樓走出來就立刻來吃 四神湯很清爽 碗糕味道很足 加起來簡直超過一百分！！！,Chinese,3 個月前,2022-01-04 20:34:05.541695,5.0,莊.,0,0,https://www.google.com/maps/contrib/100099714997074404823/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1264838447157979212
