place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNtNU9lbzRnRRAB,普通，用外送平台買沒麵包沒沙拉,Chinese,2 週前,2022-01-03 22:55:00.468471,3.0,Pei S,0,0,https://www.google.com/maps/contrib/102164162448498355129/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChZDSUhNMG9nS0VJQ0FnSUR5NnVUeE5REAE,來吃過好幾次了 有小菜沙拉冰品吃到飽 這次點梅花牛排，有些微筋 不過味道不錯，整體還可以,Chinese,9 個月前,2022-01-03 22:55:00.468471,4.0,崔雅婷,0,0,https://www.google.com/maps/contrib/109507962827452705595/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNHX195U3B3RRAB,我算老客戶了 點了一份450元沙朗 端來的時候有點傻眼 第一次看沙朗是分四小塊的 想說肚子餓算了不計較 結果吃的時候全是筋 幾乎整盤都吐出來 真的太失望了 店家這麼砸自己的招牌 我無話可說 應該不會再去 照片我就不PO了 唉……,Chinese,1 個月前,2022-01-03 22:55:00.469462,1.0,吳世璋,0,0,https://www.google.com/maps/contrib/114641968452660045454/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSURHODRyOTNRRRAB,點黑胡椒系列 吃到後面通通又乾又焦 混蘑菇可以改善 貴又普 我寧願去吃大亨,Chinese,3 週前,2022-01-03 22:55:00.469462,2.0,蘇愷,0,0,https://www.google.com/maps/contrib/103523647145856508098/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChZDSUhNMG9nS0VJQ0FnSUNHNDVfTk1REAE,巨斧牛排咬都咬不爛….哈哈抱著嚐鮮心態 價錢很貴、CP值不高，應該醫生吃一次嚐鮮就夠,Chinese,1 個月前,2022-01-03 22:55:00.469462,1.0,Mïchelle Lu,0,0,https://www.google.com/maps/contrib/114829091130941627030/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNHM2FuUHBBRRAB,牛排好吃，真材實料 不是重組肉，雞腿排皮很脆 玉米濃湯也是自己熬煮的給高湯,Chinese,1 個月前,2022-01-03 22:55:00.470462,5.0,ruby shen,0,0,https://www.google.com/maps/contrib/114630834882328460542/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNDeW95Z2dRRRAB,七分熟的菲力有點柴，牛小排比較薄，七分熟幾乎就是全熟。覺得這家店沒什麼競爭力，但還能繼續經營下去，真的還蠻厲害的,Chinese,1 個月前,2022-01-03 22:55:00.470462,3.0,Amy Lee,0,0,https://www.google.com/maps/contrib/113781258982924418915/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChZDSUhNMG9nS0VJQ0FnSUNHNk11SVV3EAE,從小吃到大，這家的肉質贏台南一堆號稱賣牛排卻沒牛肉味的店（只點過菲力）。 缺點是沙拉醬的罐子貌似有殘留之前的醬，顏色不太一樣。,Chinese,2 個月前,2022-01-03 22:55:00.471472,4.0,Cheng Yi T,0,0,https://www.google.com/maps/contrib/109311427148988790193/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNLanZlQ3NnRRAB,台南的牛排老店，並沒有太多的裝潢，台式口味，店家十分親切，點的是七分沙龍牛排，參考肉質表現、料理細緻度及現場的品嚐體驗來評價，400元這價格個人覺得偏高了些許,Chinese,8 個月前,2022-01-03 22:55:00.471472,4.0,蔡Sir,0,0,https://www.google.com/maps/contrib/117797278199402676217/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUQwMHF5ejRBRRAB,肉質吃得出來不是組合肉，不過朋友覺得牛小排真的太硬了;  而霜降豬排對我而言也是太硬太Q彈，每一口只能切很小塊才有辦法吃，可能是自己不了解部位口感，下次應該點一般豬排就好。 濃湯跟紅茶是真的味道蠻淡的，沙拉有些菜色還在結冰狀態，餐包還可以，冰淇淋倒是沒有吃。 雖然附餐差強人意，但我們還是會想來試試一般的豬排。,Chinese,2 年前,2022-01-03 22:55:00.471472,3.0,Iona Hong,0,0,https://www.google.com/maps/contrib/108935413713903633458/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChZDSUhNMG9nS0VJQ0FnSUNHeV9fRUZ3EAE,牛排是好吃，但是環境衛生真的需要加強管理。,Chinese,1 個月前,2022-01-03 22:55:03.770308,3.0,蔡阿福,0,0,https://www.google.com/maps/contrib/116437828268852794062/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNjMjU2LXZ3RRAB,口味傳統 還不錯吃 店內用餐 感覺輕鬆 （3星為中間值）,Chinese,1 年前,2022-01-03 22:55:03.770308,3.0,阿毛龍,0,0,https://www.google.com/maps/contrib/102296352245345037562/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNZczZUS3pRRRAB,以價位而言，這裡的牛排肉質等級算得上等；沙拉、濃湯、紅茶可續，不是吃排場氣氛的在地老店，營業時間到晚上00：00。,Chinese,2 年前,2022-01-03 22:55:03.770308,4.0,Jerry HSU,0,0,https://www.google.com/maps/contrib/117787891905135890266/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChZDSUhNMG9nS0VJQ0FnSURjcDVLd1l3EAE,東西超級無敵難吃，環境也很髒亂，沙拉也非常不新鮮，重點是價格貴到爆，餐包也是非常難吃，牛排全部都是脛，肉質十分不新鮮，點了牛排感覺在吃叉燒  所以推薦各位不要來這邊吃,Chinese,1 年前,2022-01-03 22:55:03.771308,1.0,。。,0,0,https://www.google.com/maps/contrib/113283927914785675746/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChZDSUhNMG9nS0VJQ0FnSUNZaUsybEdREAE,"價位偏高,肉質不錯,有提供沙拉無限供應 若來點鐵板麵吃蔬菜也是一個不錯的選擇",Chinese,2 年前,2022-01-03 22:55:03.771308,3.0,筱亞汐蕥,0,0,https://www.google.com/maps/contrib/100674733054420838248/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUM0NkxuTHFRRRAB,沙拉吧有芒果青耶！超驚艷也超驚訝的。芒果青吃到飽😆😆😆超美味的芒果青，甜酸適中❤️,Chinese,2 年前,2022-01-03 22:55:03.772297,5.0,麗文邱,0,0,https://www.google.com/maps/contrib/107035652657214322870/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUMwb2F6YW5nRRAB,全年無休，餐包2個，份量夠。,Chinese,2 年前,2022-01-03 22:55:03.772297,5.0,yucheng Li,0,0,https://www.google.com/maps/contrib/111946814394319372725/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUM2Zzk3bTNnRRAB,價位偏高，但東西是好吃的，久久一次還ok!,Chinese,3 個月前,2022-01-03 22:55:03.773454,4.0,Jia Xuan Chou,0,0,https://www.google.com/maps/contrib/116694361774480653621/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
阿地牛排館A-Di Steakhouse,ChdDSUhNMG9nS0VJQ0FnSUNNZ0xlc2hRRRAB,「牛排」 _ 那天在隔壁的拾光做完指甲後 老公一臉餓的要死掉了的臉看著我 臨時的就決定試試這家阿地牛排 _ 來到牛排店的我們直接略過牛點了 一個洋蔥雞排 一個霜降豬肉 霜降豬肉真的是出於好奇吃吃看的 因為有聽過霜降牛卻沒有聽過豬的 雞肉的部分我覺得醬裡面有一個燒焦的苦味 但是不影響我的食慾 豬肉的部分真的滿特別的是咬下去彈牙的那種感覺 _ 來到牛排館少不了的就是 沙拉、濃湯、餐包 沙拉的部分個人覺得可以多一些醬的選擇 因為當天去只有千島醬 濃湯的部分只要冷掉湯會變的像粥一樣 餐包的話～我還是喜歡板塊的餐包多一點 以上分享給大家,Chinese,2 年前,2022-01-03 22:55:03.773454,4.0,wan Yang,0,0,https://www.google.com/maps/contrib/116843679897490908835/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
