place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
阿家牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUNtcE5yaUdBEAE,恩 5：00晚了一小時才開店 ，只有上花肉，超餓，吃了2碗。 肉量，可以比一般店多， 但是還是無精緻,Chinese,2 週前,2022-01-04 22:52:08.021237,4.0,林映秀,0,0,https://www.google.com/maps/contrib/110493533209171672423/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUNHcElyeUFnEAE,2021 Sep. 湯頭非常清淡，如果想喝牛味濃郁的湯頭的話不推薦來這家，但肉質很軟嫩，看顏色那麼粉就知道了，量也蠻多的，炒青菜也不錯吃起來清甜很新鮮，環境蠻乾淨， 下次來想嘗試火鍋試試看🤤,Chinese,2 個月前,2022-01-04 22:52:08.021237,4.0,Joey Tsai,0,0,https://www.google.com/maps/contrib/101544557064140404530/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNHLXRHeTV3RRAB,真的就是便宜而已 切肉是用鋸的，肉燙完後捲起來鋸齒狀很明顯，煮完之後湯變非常濁（阿裕跟永林都不會阿~） 有訂位但是到了之後根本沒留我們的位置。 建議如果店員都很怕狗就不要開放帶狗了，訂位時有詢問是否能帶才帶的，結果帶狗進出店經過店員的時候都邊尖叫邊閃真的問號，狗就只是在走路而已... --------------- 回覆店家： 電話時沒有說要進籠子，有說我們絕對不會帶。 所謂“亂叫”我印象中是叫兩次一次一兩聲就被我們制止，而且全程牽繩都是固定在位子上的，自認是比隔壁小孩及店內的吵雜程度無法相提並論，也沒有放任亂跑。如果知道店內如此混亂，吵雜、小孩亂跑我們也不會帶狗去，讓他們壓力這麼大，很是後悔。 我就回覆到這邊啦，從回覆也可以讓大家看的出如何寵物不友善。,Chinese,2 個月前,2022-01-04 22:52:08.021237,1.0,TP Chen,0,0,https://www.google.com/maps/contrib/104273793761133099085/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSURHMTdPUDNBRRAB,服務很棒，不過記得要先訂位，要吸牛骨的話要一起預定，不過這次老闆人很好，直接就送一支。至於牛肉，這間店真的是把溫體牛帶到另一個層次，吃起來是甜的，跟平常喝的牛肉湯的牛肉應該是不同部位,Chinese,3 週前,2022-01-04 22:52:08.021237,5.0,張育斌,0,0,https://www.google.com/maps/contrib/102165412091329718032/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUNHczh1eUF3EAE,鮮甜的牛肉湯頭 豐富的菜盤 單點牛肉盤 價錢合理。,Chinese,1 個月前,2022-01-04 22:52:08.021237,4.0,姚美惠,0,0,https://www.google.com/maps/contrib/107788157720821957275/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUQ2b296QzV3RRAB,麻辣鴛鴦鍋好吃，鴨血不錯，牛肉份量夠但瘦肉多油花少，不能涮太久三到五分熟即可,Chinese,3 個月前,2022-01-04 22:52:08.021237,5.0,Liu Agon,0,0,https://www.google.com/maps/contrib/108243543503342471767/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChZDSUhNMG9nS0VJQ0FnSURLc3R6c0N3EAE,老闆娘很親切、時常觀顧、都說被我們吃到沒肉了🤣  🐂阿家牛肉湯 🏠地址：台南市南區中華南路一段78號 🈺️業時間：牛肉湯05:30～13:30（二公休）/火鍋17:30～21:30（一二公休）  牛肉鴛鴦鍋! 可以吃到牛大骨原味湯頭+麻辣鍋湯頭。  牛肉鴛鴦火鍋好吃，肉品是採用溫體牛，溫體牛肉新鮮涮一下 Q彈好吃 ，大的肉盤280元超多！ 份量十足，CP值超高、經濟實惠，火鍋還送一隻牛大骨可用吸管吸骨髓吃，尖峰時刻建議先訂位才不用等，因為座位沒有很多  #台南 #美食 #南區美食 #阿家牛肉湯 #牛肉鴛鴦鍋 #平價美食 #牛肉鍋 #溫體牛,Chinese,7 個月前,2022-01-04 22:52:08.021237,5.0,石佳涵,0,0,https://www.google.com/maps/contrib/101033384124965240569/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNHbk9fY3VBRRAB,牛肉湯肉份量很夠 好辦很親切 不過老闆厲害好像是牛肉火鍋 好停車,Chinese,2 個月前,2022-01-04 22:52:08.021237,4.0,Tzu-Ling Tseng,0,0,https://www.google.com/maps/contrib/110020499559382347025/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUQ2dDcyVUpnEAE,小火鍋的cp值較高，有支超大骨很特別。單點的牛肉偏瘦肉，湯頭跟其它牛肉店相比偏清，也沒附肉臊飯。不過整體還ok,Chinese,2 個月前,2022-01-04 22:52:08.021237,4.0,Brandon Hung,0,0,https://www.google.com/maps/contrib/118204740512002584105/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNtaWQ2V2dnRRAB,老闆跟老闆娘都很熱情，之前去都不跟我們收飯錢，還可以免費加湯！真的很讚，香甜的湯頭我很喜歡～也不會太過油膩，剛剛好。,Chinese,2 天前,2022-01-04 22:52:08.021237,5.0,Yeee Y,0,0,https://www.google.com/maps/contrib/117776186933281428006/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNtLXA2M2hnRRAB,特別好吃  老闆娘特別親切  原來沒有大骨 老闆娘還是盡力生給我們 服務態度很讚👍🏻,Chinese,1 週前,2022-01-04 22:52:11.255823,5.0,吳俊延,0,0,https://www.google.com/maps/contrib/107045655501563315578/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNtX3YyZGtnRRAB,好吃不貴 老闆娘超客氣 店家還幫忙喬位置停車 比一般便宜 CP值超高,Chinese,5 天前,2022-01-04 22:52:11.255823,5.0,江明哲,0,0,https://www.google.com/maps/contrib/102190316140217562500/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUM2MmJlWGxBRRAB,平日早上來的，剛端上桌，就覺得牛肉與湯頭顏色很漂亮，是我喜歡的紅湯。  不過剛嚐一口，就發現湯頭沒有預期的濃郁，牛肉的肉質也稍微柴了一些。  可能是我期望過高，整體而言，普通還不錯。,Chinese,3 個月前,2022-01-04 22:52:11.271445,3.0,巴肚妖,0,0,https://www.google.com/maps/contrib/109308249810311451419/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSUNtcVpMSHpnRRAB,牛肉火鍋真的超好吃👍🏻👍🏻 老闆娘也很親切一定會回顧❤️,Chinese,2 天前,2022-01-04 22:52:11.271445,5.0,黃琳婷,0,0,https://www.google.com/maps/contrib/112834312082160517773/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
阿家牛肉湯,ChdDSUhNMG9nS0VJQ0FnSURhdHVfMnJRRRAB,價格實惠，下次品嚐吃火鍋,Chinese,4 個月前,2022-01-04 22:52:11.271445,4.0,ihsin Lin,0,0,https://www.google.com/maps/contrib/114657549484530918135/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=14382614763632931010
