place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSUNHcWRtRmtBRRAB,身為一位不合格的台南美食愛好者😂 居然第一次來吃阿美飯店 老實說本來不含期待 想說大概就是吃個傳統名氣吧！ 沒想到意外的好吃 讓我以後想再訪 - ✔️乾炒鱔魚 鱔魚鮮美飽滿肉質Q彈 搭配道地的酸甜羹汁跟洋蔥 在口中散發熱鍋炒過後的鑊氣 跟一般路邊吃到的炒鱔魚根本不在同一等級 - ✔️紅蟳米糕 米糕軟硬適中 而且米心不乾柴保水 糯米特殊的微黏口感 讓鹹香完美的扒在口中 香氣更是迷人 即使沒有紅蟳襯托依然美味 - ✔️砂鍋鴨 鴨肉燉到軟爛 用湯匙即可輕鬆地將骨肉分離卻不化開 恰好鹹淡的白菜湯汁滲入鴨肉 台南道地甘口的湯頭 很想來碗白飯攪成湯飯 - ✔️肉米蝦 炸過的火燒蝦香氣濃郁 加上豬肉、竹筍、香菇、紅白蘿蔔 醋溜的羹汁將食材融合 絕對又是一碗白飯殺手 - 經歷這次的美食饗宴 驚覺台南大廚手藝真的名不虛傳 以後會驕傲的推薦外地朋友來用餐👍,Chinese,2 個月前,2022-01-03 15:09:07.740144,5.0,蛇尖上的趣味,0,0,https://www.google.com/maps/contrib/109627096673278532345/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSURHaDQ3Wm5nRRAB,料理好吃！炒鱔魚很令我驚艷。喜歡最後的八寶冰，有杏仁！,Chinese,3 週前,2022-01-03 15:09:07.740144,4.0,Helen Hsu,0,0,https://www.google.com/maps/contrib/118014055175196089268/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChZDSUhNMG9nS0VJQ0FnSUNHdF91dlNBEAE,道地台南傳統料理。道道精彩，連最後的八寶冰，都充滿杏仁香甜味👍,Chinese,1 個月前,2022-01-03 15:09:07.741144,5.0,tang dahsuan,0,0,https://www.google.com/maps/contrib/116650092741974540653/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSUNHMXBqQnF3RRAB,吃得出個各食物的原味 沒有用辛香料來混淆 米糕也沒有用米酒蓋味道 代表食材新鮮 是個會進化的古早味餐廳,Chinese,2 個月前,2022-01-03 15:09:07.741144,4.0,chevy h,0,0,https://www.google.com/maps/contrib/104912118886839660799/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSUNHazhtU293RRAB,知名台菜料理，每一道食材都很講究，鰻魚、米糕、香腸、砂鍋鴨都相當出色，意猶未盡，甜品更是出色，表現甚至有壓過主菜的感覺。,Chinese,1 個月前,2022-01-03 15:09:07.742143,5.0,劉品辰,0,0,https://www.google.com/maps/contrib/108071118899794894305/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSURHc1lYZHdnRRAB,就砂鍋鴨、肉米蝦還可以，紅蟳米糕一點香氣都沒有，吃過即可應該不會再來訪了！,Chinese,1 個月前,2022-01-03 15:09:07.742143,3.0,林慧慧,0,0,https://www.google.com/maps/contrib/101859306059485252091/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChZDSUhNMG9nS0VJQ0FnSUNHaExDWlVBEAE,蠻有水準的合菜，每個份量都蠻大份的 最有記憶的點是八寶冰以及超好吃的布丁😂,Chinese,2 個月前,2022-01-03 15:09:07.743147,4.0,品客,0,0,https://www.google.com/maps/contrib/106719307173595926342/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChZDSUhNMG9nS0VJQ0FnSUNHN2VhYWJBEAE,口味不錯，菜餚少了些精緻度。環境舒適,Chinese,1 個月前,2022-01-03 15:09:07.743147,4.0,Claire偏食兒,0,0,https://www.google.com/maps/contrib/102791726135906331135/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChZDSUhNMG9nS0VJQ0FnSURLNnN1T1lnEAE,台南在地傳統老字號的「飯店」，這種老字號的「飯店」，能夠在現今生存都是有相當的實力經驗累積而來，這些「飯店」在早期都是讓人們能夠飽餐一頓的服務形式，所以菜色表現上，都會有各家自己的拿手菜！以阿美飯店為例，他們厲害的紅蟳米糕、土鍋燉鴨、手工布丁...每一道都吃的出功夫！  紅蟳米糕，將整隻紅蟳片成數塊，爆滿的紅蟳卵和紅蟳的香氣融入米糕之中，每一口都吃的出鹹香甜的美味！  土鍋燉鴨，店家白天就開始處理的一道料理，必須經過長時間的熬煮，鴨肉入口即化，鴨架和鴨隻的精華完全融入濃郁的湯裡之中，鴨湯喝起來雖濃郁但味道層次相當分明！（要預約）  手工布丁，一大模的布丁， Q軟有彈性！製作功夫還說我錯，沒有起泡，也沒有蛋腥味，非常傳統且美味！  整體而言，收到推薦！有機會到台南除了吃小吃，也可以試試這種傳統手路菜！,Chinese,7 個月前,2022-01-03 15:09:07.744143,5.0,Kun Rishou,0,0,https://www.google.com/maps/contrib/101876878381656229084/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSUNHNGVlbnFRRRAB,第二次來阿美飯店 台南好味道！美味無法擋,Chinese,2 個月前,2022-01-03 15:09:07.744143,5.0,Laura Wang,0,0,https://www.google.com/maps/contrib/113932553559094581593/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChZDSUhNMG9nS0VJQ0FnSURxa1k2Y0ZBEAE,從開胃菜到主菜到甜點，都好吃到爆炸😋果然名不虛傳。 實在是台南人的驕傲，一生一定要來阿美飯店朝聖一次👍吃得是賓主盡歡，每道菜一上桌都是讚不絕口的驚喜。 兩年前的照片，每看一次，餓一次😆,Chinese,5 個月前,2022-01-03 15:09:11.190618,5.0,Laura Kong,0,0,https://www.google.com/maps/contrib/109818213956866856617/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSUQ2M2ZYRXBRRRAB,我們週五晚餐時間用餐，生意很好，不過菜上的很快，聽說是台南很有名的餐廳，有些菜還不錯吃，但是有些菜可能比較台南味啦，整體來說，還可以的,Chinese,2 個月前,2022-01-03 15:09:11.191620,4.0,譁育庭庭,0,0,https://www.google.com/maps/contrib/103024116533151502331/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChZDSUhNMG9nS0VJQ0FnSUQ2M09mSmJ3EAE,道地的功夫菜  香腸 必吃  炒鱔魚 必吃  蟹黃油飯 必吃  飯後甜點 必吃,Chinese,3 個月前,2022-01-03 15:09:11.191620,5.0,toby chen,0,0,https://www.google.com/maps/contrib/103344357149542161832/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChdDSUhNMG9nS0VJQ0FnSURxazlUWHJRRRAB,"MUST try authentic 🇹🇼 cuisine- Casserole Duck 🦆 @ A-Mei restaurant. a full duck cooking 🧑‍🍳in pot mixed with vegetable, eggs and many assorted ingredients.  🌟 無法取代的經典台菜料理,回台灣家庭聚會必点",Chinese,5 個月前,2022-01-03 15:09:11.191620,4.0,Y妹Y笨,0,0,https://www.google.com/maps/contrib/118327213791789510511/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
阿美飯店,ChZDSUhNMG9nS0VJQ0FnSUNLa1pEVVdREAE,第一次來真的很驚艷 每道都好吃 結尾的大布丁跟八寶冰特別的棒 推薦：鱔魚真的出乎我意料的脆  Ig:nayamiih,Chinese,7 個月前,2022-01-03 15:09:11.192618,5.0,nayamiih AC,0,0,https://www.google.com/maps/contrib/109574554785074621506/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
