place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUNtNE9Qcy1RRRAB,我味道就不說了反正沒人吃完全在垃圾袋自己體會吧,Chinese,2 週前,2022-01-03 15:30:35.228840,1.0,鍾陳煜,0,0,https://www.google.com/maps/contrib/113016150335589775952/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUQ2aTRHYkxREAE,本來想吃的店家沒開 剛好轉彎過去看到這家店 想說台南鱔魚意麵也很有名 點餐時要說桌號（不是自己填單的）因為全都坐滿 所以就先說一桌看起來快吃完的 結果隔壁桌反倒先吃完 就跟店家說明改的桌號 結果送餐還是送原桌號（真的就隔離桌） 去問了店家是否是我們的餐點 店家說對，要我們自己拿過去我們換的位置 整個傻眼 而且乾炒鱔魚意麵的做法是把燙熟的麵上面再鋪上乾炒鱔魚（是一次炒一大份分裝） 每家做法不同就算了 但乾炒鱔魚點小辣，來的時候完全沒有辣 而且連基本的鍋氣都沒有 根本就是普通到不行的鱔魚意麵 只能說產品完全沒有那價值 超不推的店,Chinese,2 個月前,2022-01-03 15:30:35.229840,1.0,Joy Chen,0,0,https://www.google.com/maps/contrib/112334768000872403790/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUNHcDh1RlpBEAE,台南有名的炒鱔魚意麵老店，意麵跟一般外面賣的不一樣，口感比較好，花枝也很Q彈，麻油腰子很嫩，好吃。,Chinese,1 個月前,2022-01-03 15:30:35.229840,4.0,簡順正,0,0,https://www.google.com/maps/contrib/102063591903288111709/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUQ2bS1PYWtBRRAB,2021/10/10 造訪  生炒鱔魚 180元，可以用taiwan pay  這次回訪，感覺鱔魚的量變少、變薄了 一整份裡面幾乎都是洋蔥～～,Chinese,2 個月前,2022-01-03 15:30:35.230838,3.0,Hsuan Hsuan,0,0,https://www.google.com/maps/contrib/107052214970034712933/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSURHM0pxRXpBRRAB,服務態度極差，上位客人的碗也不收，只顧著玩手機（非常隨便的店）,Chinese,3 週前,2022-01-03 15:30:35.230838,1.0,熏哥哥,0,0,https://www.google.com/maps/contrib/113726081353578453702/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSURHcHVTR0dREAE,店員態度比鱔魚還不友善，價格也太高，完全不推,Chinese,1 個月前,2022-01-03 15:30:35.231850,1.0,johnnyjay,0,0,https://www.google.com/maps/contrib/112753238296020783716/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUQ2Ml92UGt3RRAB,腰子軟嫩沒話說也毫無腥味 這麼大條的鱔魚只在台南看得到 乾炒意麵條條分明硬度適中 鱔魚意麵搭配辣椒粉、洋蔥一口咬下 真的美味🤍🤍🤍,Chinese,2 個月前,2022-01-03 15:30:35.231850,5.0,mm_ieat,0,0,https://www.google.com/maps/contrib/114440652814099296608/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSURhcExlRm53RRAB,這是第三次來吃了，整體口感很不錯，只是鱔魚的量好像比之前少了，鱔魚肉也變小塊了點，這是唯一美中不足的地方,Chinese,4 個月前,2022-01-03 15:30:35.231850,4.0,Tony Lin,0,0,https://www.google.com/maps/contrib/107978763536141771486/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUNHb3NTRFlBEAE,我覺得相當美味，但份量太少，如果花了180還讓我覺得吃不夠，我會覺得有點可惜。,Chinese,2 個月前,2022-01-03 15:30:35.232847,4.0,陳威郡,0,0,https://www.google.com/maps/contrib/104219567394325061971/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUM2LXFISzBBRRAB,點了一碗乾炒鱔魚意麵   藥膳養身清湯 意麵真的好吃  是我喜歡的味道 來吃時17:00沒什麼人 再過一下來買的人就變多  多到要排隊了 只是建議騎機車或走路 因為這裡不能路邊停汽車唷～,Chinese,3 個月前,2022-01-03 15:30:35.232847,5.0,黃鮪魚,0,0,https://www.google.com/maps/contrib/103861541066477231306/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUNHbHAtV1dnEAE,台南的口味都偏甜，不過蠻好吃的,Chinese,2 個月前,2022-01-03 15:30:38.546671,4.0,Wei Emily,0,0,https://www.google.com/maps/contrib/107477721018868748859/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUNHeWE2dzlRRRAB,這樣一份200元 高麗菜葉4片 店員態度也... 大家自己判斷吧,Chinese,2 個月前,2022-01-03 15:30:38.546671,1.0,陳琛仁,0,0,https://www.google.com/maps/contrib/111532169277242794115/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUNtdXBHc1pREAE,原本想吃的沒開，所以想說不然換這家試試看，反正那麼多人吃，又是在台南，應該不至於太雷，沒想到… 鱔魚炒麵太甜（比正常台南口味還甜） 意麵太濕軟 腰子腥臭 藥膳湯頭也很普 鱔魚米粉的米粉濕軟臭 真的是騙騙外地客，千萬不要被騙了！ 腰子臭到吃不下去，鱔魚炒意麵180是在搶錢？ 完全不推薦！,Chinese,1 週前,2022-01-03 15:30:38.547671,1.0,蔡耀慶,0,0,https://www.google.com/maps/contrib/106847386015268616845/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSURLMThpb3ZRRRAB,"覺得味道不夠道地,蒜味不夠 醋不夠 也少了鍋氣，另外，料也少的可憐，一碗鱔魚意麵羹100但只有少少的不到5片，且鱔魚沒厚度嚼勁，麵體也沒Q彈，不會再來了！",Chinese,7 個月前,2022-01-03 15:30:38.547671,1.0,cynthia su,0,0,https://www.google.com/maps/contrib/114035427604362147707/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUN5dS1qeDdRRRAB,20210214第一次嚐鮮花440元藥繕鱔魚150元乾炒鱔魚150元還有其他，， 既然來一次吃的夠。👍😁原來 赤崁樓附近有很多賣的。,Chinese,10 個月前,2022-01-03 15:30:38.548660,5.0,kkpp7704,0,0,https://www.google.com/maps/contrib/108059686272276939049/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSURxbVptUGFBEAE,穿紅色衣服的東西好了就放在抬面上， 說聲好了很難嗎？ 還要自己問這是我的嗎？ 嫌我買的少那你們不要賣單價低的嘛 什麼鬼態度 因為你的態度連東西吃起來都難吃,Chinese,5 個月前,2022-01-03 15:30:38.548660,1.0,林羽彤,0,0,https://www.google.com/maps/contrib/105747766650060330844/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUNLczZDZ1dREAE,鱔魚意麵好吃。麻油豬心湯感覺水加太多，聞起來香但喝起來很稀。,Chinese,8 個月前,2022-01-03 15:30:38.548660,3.0,Felicia Yen,0,0,https://www.google.com/maps/contrib/104678611321537071107/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUNLeVkyNE5REAE,大火快炒速度非常快，但是調味不足，口味平淡，讓專程來吃鱔魚意麵的我大失所望,Chinese,8 個月前,2022-01-03 15:30:38.549671,3.0,Yili Lin,0,0,https://www.google.com/maps/contrib/108057779990871154065/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUQ2aU9XR09REAE,剛外帶一碗豬心湯回來，一個豬心都沒有，只有清湯😅,Chinese,3 個月前,2022-01-03 15:30:38.549671,1.0,蔡昀庭,0,0,https://www.google.com/maps/contrib/105521209749230303458/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSURHeFlUT0x3EAE,打電話說了要去外帶鱔魚意麵，真的沒有聽過這種沒禮貌的電話禮節，差勁無禮到了極點，聽完品項直接掛了電話，沒有重複品項也不知道他到底有沒有聽清楚、還是電話壞掉了？連聲謝謝或告知幾分鐘過去拿都沒有，就直接掛掉了，讓人感覺非常不禮貌！,Chinese,4 週前,2022-01-03 15:30:38.550672,1.0,洪榮成,0,0,https://www.google.com/maps/contrib/100582323857489288311/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSURLakstUmRBEAE,真的變不好吃了，乾炒鱔魚意麵很油，麵沒有入味（感覺做得很隨便了）,Chinese,8 個月前,2022-01-03 15:30:42.053057,3.0,Anny Chen,0,0,https://www.google.com/maps/contrib/107345709462528301642/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUNTNjRtWUtBEAE,花枝意麵羹100元 麻油炒腰子150元 麻油乾麵線50元 口味都好吃😋 但是男老闆真的像前面網友說～ 態度真的比較不好。,Chinese,1 年前,2022-01-03 15:30:42.054057,4.0,伯爵紅茶無糖去冰,0,0,https://www.google.com/maps/contrib/106317460504239165065/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSURHb2JMSkFREAE,早上11點開門，我們13點左右用餐，老闆就很厭世的問點餐，不管是對在地人還是觀光客態度始終如一，讚！ 醬汁表現酸甜剛剛好，鱔魚也很鮮脆。我小時候都吃有點勾芡的，有點可惜阿輝沒勾芡，要有點勾芡才是老台南人的鱔魚意麵呀～,Chinese,1 個月前,2022-01-03 15:30:42.054057,1.0,嚴黎葳,0,0,https://www.google.com/maps/contrib/118073005341812982433/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSUR5MHZhTFZREAE,點餐如店名， 就推薦吃炒鱔魚， 份量不多但挺不錯吃， 用餐在騎樓， 價格不算便宜， 建議可以吃其他食物再過來！,Chinese,10 個月前,2022-01-03 15:30:42.055072,3.0,Sunbody,0,0,https://www.google.com/maps/contrib/103505429685776799736/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChRDSUhNMG9nS0VJQ0FnSURHbE9kShAB,態度不敢恭維，也沒特色 1.客人伸手過去拿錢，店員零錢直接用丟的到桌上。 2.點餐410元，支付500元，卻只找70元。,Chinese,1 個月前,2022-01-03 15:30:42.055072,1.0,Phili Lans,0,0,https://www.google.com/maps/contrib/104710058713469112651/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUNHdll1MjRRRRAB,我要外帶一份麻油腰只！ 店員在打手遊 下一秒起身把手機往桌上丟 😒 看來炒鱔魚店的盈利不怎麼好啊！,Chinese,1 個月前,2022-01-03 15:30:42.056057,1.0,李亭,0,0,https://www.google.com/maps/contrib/116801373082968801587/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChZDSUhNMG9nS0VJQ0FnSURHd3ZYcE9REAE,只是點了一個外帶 櫃檯店員的態度沒有很好 東西用摔的？ 好像我欠對方什麼的樣子 餐飲業的服務如果是這樣的話 那要不要乾脆不要上班了,Chinese,1 個月前,2022-01-03 15:30:42.056057,1.0,陳連弘,0,0,https://www.google.com/maps/contrib/101995043499297626417/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
阿輝炒鱔魚,ChdDSUhNMG9nS0VJQ0FnSUNHNnB1U19BRRAB,其實我個人比較想給三點五顆星  一碗一百八的鱔魚意麵其實我覺得算很貴了 以份量來說 雖然可能是蠻離峰時間吃的 我覺得我盤中的鱔魚份量算不少了 但整體來說還是看起來蠻貧乏了  另外加點的高麗菜則加分太多了 十分優秀，沒有這高麗菜我不會這麼愉悅 無論是味道跟口感都十分出色 相較之下完全搶走了鱔魚意麵的風采,Chinese,2 個月前,2022-01-03 15:30:42.056057,4.0,Lin Blacwing,0,0,https://www.google.com/maps/contrib/108843359307225215535/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13926895116005986026
