place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURHNjU2ZDh3RRAB,份量不大，不過炒鱔魚意麵的口感絕佳，魯鱔魚意麵調味也不賴。偶爾想吃鱔魚意麵會考慮再訪。,Chinese,3 週前,2022-01-03 23:59:48.822630,5.0,Huang Huang,0,0,https://www.google.com/maps/contrib/115443314590052593426/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUM2eXEyckRnEAE,經典的台南好味道，甜度剛好的醬汁、彈牙的鱔魚肉和爆炒後香氣十足的蔥蒜，共同完成了一道美味的鱔魚意麵，越是經典常見的料理，要做到好吃又推出越是不簡單。,Chinese,4 個月前,2022-01-03 23:59:48.823328,5.0,劉品辰,0,0,https://www.google.com/maps/contrib/108071118899794894305/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURHbUt6aDNRRRAB,鱔魚非常脆，新鮮好吃！,Chinese,1 個月前,2022-01-03 23:59:48.823328,5.0,we bber,0,0,https://www.google.com/maps/contrib/113162905940001733078/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUQ2cVByVHp3RRAB,排除萬難就是要回來嚐嚐兄弟的好味道😋😋  Google只能給五顆星太不上道 我給💯顆啦👍👍👍👍👍,Chinese,3 個月前,2022-01-03 23:59:48.824306,5.0,張耀仁,0,0,https://www.google.com/maps/contrib/105364248041628956466/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNHdnNhSzl3RRAB,以往不太敢吃鱔魚 朋友激推 意外驚艷 無腥味 麻油香 但希望用餐環境能更舒適美觀…,Chinese,2 個月前,2022-01-03 23:59:48.824306,4.0,Eben Chang,0,0,https://www.google.com/maps/contrib/113833828774671883700/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNtcHBxeE1nEAE,第一次吃鱔魚意麵，調味意外的不錯，酸甜鹹都有，然後其使用的鍋燒意麵麵體也不會太突兀,Chinese,1 週前,2022-01-03 23:59:48.825318,5.0,poohsama,0,0,https://www.google.com/maps/contrib/102501654435590487628/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUQ2bWFEeDlBRRAB,110.09.30造訪，覺得鱔魚麵普通且吃不飽,Chinese,2 個月前,2022-01-03 23:59:48.825318,3.0,Reese Huang,0,0,https://www.google.com/maps/contrib/107508597989381422158/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNtdXRpWHJBRRAB,道地台南善魚麵，有點甜，可是不難吃，如果不想排隊又想吃鱔魚麵，可以去試試看。,Chinese,1 週前,2022-01-03 23:59:48.825318,4.0,Hsieh Harry,0,0,https://www.google.com/maps/contrib/107968376501478351580/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURLc3BiUjhRRRAB,#府城臺南我故鄉  #阿銘鱔魚意麵🍝 位於北區，不在熱門區域的好處是不太需要排隊。  #鱔魚意麵 大火快炒的意麵，加上爽口新鮮鱔魚，微焦的洋蔥，讓整盤麵更清甜。 #麻油腰子 軟嫩腰子加上薑片，彈性十足，營養滿分。 #阿銘鱔魚意麵 #地址🏠：704台南市北區開元路192號 #營業時間⏰：11:30-00:30  #台灣 #台灣美食 #臺南 #台南美食 #taiwan #taiwanfood  #tainan #tainanfood #鱔魚意麵 #麻油腰子 #阿銘鱔魚意麵 #跟著小太陽🌞去旅行🧳 #howsayhow,Chinese,7 個月前,2022-01-03 23:59:48.826324,5.0,Randy Sunny,0,0,https://www.google.com/maps/contrib/101022401048065154605/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNHLUxIZFR3EAE,好吃😋，可惜每次都要等一段時間,Chinese,2 個月前,2022-01-03 23:59:48.826324,5.0,Je Y,0,0,https://www.google.com/maps/contrib/103715259137487780690/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNtM012aGxBRRAB,Ubereat外送鹹到吃不完，浪費錢。,Chinese,1 週前,2022-01-03 23:59:52.070748,1.0,CH Lin,0,0,https://www.google.com/maps/contrib/116634212494037684503/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNtdXRfaHFBRRAB,鱔魚意麵(乾炒)跟麻油豬心好吃!,Chinese,1 週前,2022-01-03 23:59:52.070748,5.0,Hung Chia-Wei,0,0,https://www.google.com/maps/contrib/116196658436162117113/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNtZ2VtRWZREAE,老闆態度差幾點的？ 付錢用一塊錢付怎麼了嗎？？？ 20個一塊錢就不是錢？,Chinese,4 天前,2022-01-03 23:59:52.070748,1.0,Y Wade,0,0,https://www.google.com/maps/contrib/107389804086678821868/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUR5X1plVkJnEAE,鱔魚真的一絕 價錢不便宜 吃巧不是吃飽  久久吃一次還不錯～,Chinese,9 個月前,2022-01-03 23:59:52.071752,4.0,Frank,0,0,https://www.google.com/maps/contrib/111959963304289981036/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSUNtOHRPTnFBRRAB,還好 …我不喜太甜 …呵呵,Chinese,1 週前,2022-01-03 23:59:52.071752,2.0,黃俊華,0,0,https://www.google.com/maps/contrib/112285864158839995505/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUN5aF9HUFR3EAE,台南友人推薦，無觀光客，味道極美、鑊氣十足，食材新鮮不腥,Chinese,10 個月前,2022-01-03 23:59:52.072752,5.0,K,0,0,https://www.google.com/maps/contrib/116905839519297584681/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSURHbEpMa0tREAE,好吃，酸甜好滋味，有鍋氣，是小時候的味道。外送比店面價格貴30%,Chinese,1 個月前,2022-01-03 23:59:52.072752,4.0,miubo Lin,0,0,https://www.google.com/maps/contrib/106872214342338565405/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSURHcWFUYVNBEAE,雖然位於較偏遠北區的開元路，但是老板的手藝還是不錯，鱔魚意麵和炒麻油腰的味道，不输市區的那幾家名店。,Chinese,1 個月前,2022-01-03 23:59:52.073775,4.0,Tree. Chao,0,0,https://www.google.com/maps/contrib/100359365343470203152/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChdDSUhNMG9nS0VJQ0FnSURHakk2eXdRRRAB,老闆代客有道，鱔魚滑順軟Q，意麵口感Q彈～味道鮮美酸甜酸甜，不會死甜死鹹，帶有鍋巴香氣，～讚讚讚！大推～大推～,Chinese,1 個月前,2022-01-03 23:59:52.073775,5.0,張緁妤,0,0,https://www.google.com/maps/contrib/101231282352604746264/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSUNHOTVhWFZnEAE,鑊氣很香，甜味不會過重不舒服，鱔魚給得大方外送冷掉了也很好吃，加麵可以吃飽，只是外送平台上的價錢送過來真的不便宜,Chinese,1 個月前,2022-01-03 23:59:52.073775,5.0,洪千玉,0,0,https://www.google.com/maps/contrib/101718631599107477483/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
阿銘鱔魚意麵,ChZDSUhNMG9nS0VJQ0FnSURDdHNTS0lnEAE,剛看到價位有點覺得貴，吃完後卻覺得值得。鱔魚料理的Q彈夠味、入口彈牙，魷魚新鮮好吃，而本來想點豬肝湯，但賣完了只好點個腰子，就是這美麗的錯誤讓我驚艷，這個腰子火候控制的十分到味，外硬內軟，入口咬開有爆汁的口感，相當值得ㄧ嚐,Chinese,1 年前,2022-01-03 23:59:55.413226,5.0,Ryan Chen,0,0,https://www.google.com/maps/contrib/104293973901200319000/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12097860772526071988
