place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
雙全紅茶,ChZDSUhNMG9nS0VJQ0FnSUQ2dk1xU09nEAE,推薦雙全紅茶！因為最近改喝紅茶，也重新愛上紅茶，因此努力尋找台南好喝的紅茶，這家雖然不是我第一次來，但這次在喝後，我真的覺得非常好喝！  甜度可以調整真的很讓人滿意，許多店家都不行。此外，甜度從全糖半糖到微糖，微糖口感適中，茶味濃厚，口齒留香，這些都是加分！另外容量分為瓶裝跟杯裝，價格分別是100/25元，明顯大罐划算，但是小罐也別急著下定義！  我正好喜歡他的小容量，因為我是喜歡少量多餐的人，包括飲料也是，三餐都希望有個飲料配飯吃，飲料份量不需要太多，但剛剛好就好，而雙全的剛剛好，我買來配午餐很快就喝到2/3，剩下飯後喝幾口也順口！  記得那天下午我就買了二杯加一瓶瓶裝，超好喝啦！,Chinese,3 個月前,2022-01-03 03:29:44.324751,5.0,李先生（301）,0,0,https://www.google.com/maps/contrib/115964926582652910080/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSUQ2M1BxR2pRRRAB,老店的紅茶，很濃郁，不苦澀，不錯喝，但價格又點高……😁🥛小杯裝25元……如果是鄉下地區可買大杯了，當然就是內容物不同……😄😄😁,Chinese,3 個月前,2022-01-03 03:29:44.324751,5.0,葉黛芬,0,0,https://www.google.com/maps/contrib/117975502910685457341/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSURHLWN5RThBRRAB,🔹每杯💰25 🔸每瓶💵100 🔺甜度分為全糖、半糖、微糖、無糖 - 雙全紅茶算是台南數一數二歷史悠久的紅茶老店，1949年創立至今也有70年以上的歲月，店面藏身於巷弄之中，但客人卻絡繹不絕。  Greta這次喝的是半糖，甜度不高但有點澀口，不知道是茶本身就偏澀，還是甜度的緣故，Greta覺得試過即可。,Chinese,4 週前,2022-01-03 03:29:44.325738,3.0,黃翊婷,0,0,https://www.google.com/maps/contrib/108118191691552386896/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChZDSUhNMG9nS0VJQ0FnSUNtN3BEUWNREAE,我的最愛！來台南必喝,Chinese,4 天前,2022-01-03 03:29:44.325738,5.0,Jennifer Wang,0,0,https://www.google.com/maps/contrib/100705783544039988823/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChZDSUhNMG9nS0VJQ0FnSUQ2X3BlSmZBEAE,老店，但是覺得需要重新整頓出發一下.....,Chinese,3 個月前,2022-01-03 03:29:44.326742,3.0,James Ku,0,0,https://www.google.com/maps/contrib/110632975569542980904/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChZDSUhNMG9nS0VJQ0FnSURxMmRLQkNnEAE,喝不膩的好滋味😎 喜歡口感濃厚、茶味微澀的紅茶，千萬不要錯過~,Chinese,5 個月前,2022-01-03 03:29:44.326742,4.0,連育鞍,0,0,https://www.google.com/maps/contrib/109639983348163429878/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSURLNklqOTRRRRAB,巷弄內的紅茶老店。冰塊跟糖度都可以調，無糖喝起來會比較澀，並沒有好喝到一定要喝，但是路過可以過來買有茶香的台南紅茶。,Chinese,8 個月前,2022-01-03 03:29:44.327742,3.0,吳昀芸,0,0,https://www.google.com/maps/contrib/103400108798453610471/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChZDSUhNMG9nS0VJQ0FnSUQ2eDgtelZ3EAE,好喝的古早味紅茶，不會澀,Chinese,2 個月前,2022-01-03 03:29:44.327742,5.0,Lukes,0,0,https://www.google.com/maps/contrib/108582459765506831816/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSUNhcXI3dmdBRRAB,有一種跟外面賣的紅茶味道不同，感覺有烤過，焦焦的口感,Chinese,5 個月前,2022-01-03 03:29:44.327742,5.0,鄭勝鴻,0,0,https://www.google.com/maps/contrib/103238194609373110809/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChZDSUhNMG9nS0VJQ0FnSUNLcWM3cmJnEAE,味道偏苦，但會回甘，建議半糖以上 在小巷子比較不好找，但是也有別於一般的風景,Chinese,8 個月前,2022-01-03 03:29:44.328734,4.0,Chocolate0203,0,0,https://www.google.com/maps/contrib/111485514302508902282/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSUQ2Mk9HLWlBRRAB,雙全紅茶 現喝風味跟外帶杯有差喔~ 有時間建議現場喝一杯 上層一圈泡沫增添不少風味,Chinese,3 個月前,2022-01-03 03:29:47.521029,5.0,toriyama laputa,0,0,https://www.google.com/maps/contrib/112307518898915043649/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChZDSUhNMG9nS0VJQ0FnSUNHZ0phYmRBEAE,不知道是糖度加的不對還是怎樣 喝起來澀澀的喔,Chinese,2 個月前,2022-01-03 03:29:47.522029,3.0,Joyce W,0,0,https://www.google.com/maps/contrib/116340613388751256769/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSURHM0wtYTl3RRAB,一杯25元，滿小杯的，平常喝微糖的飲料，來這間店一定要點全糖！！就算已經全糖了，紅茶還是喝起來蠻苦澀的，味道很像自助餐店的古早味紅茶.. 但是這紅茶加鮮奶真的是極品啊！！ 👍🏽,Chinese,1 個月前,2022-01-03 03:29:47.522029,3.0,Teresa Wang,0,0,https://www.google.com/maps/contrib/100413378365406665624/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSUM2NXVmY3pnRRAB,點全糖喝起來超甜，令人開心，紅茶冰冰涼涼的很棒。,Chinese,3 個月前,2022-01-03 03:29:47.523029,5.0,冷汗的毛毛,0,0,https://www.google.com/maps/contrib/106348301495949564616/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
