place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
韓匠│韓國食品專賣店,ChdDSUhNMG9nS0VJQ0FnSUNHakwyOW13RRAB,可惜 粗細辣椒粉這次缺貨 我特地從嘉義回台南嗎的 但是 卻意外的買到了 馬格利酒 還有包菜醬 那晚我和先生烤了幾片豬肉 用美生菜包著吃 再配上馬格利酒 真是不錯  以下附圖 自己買醬做的 辣醃蘿蔔,Chinese,2 個月前,2022-01-04 20:42:54.207167,5.0,林珮詩,0,0,https://www.google.com/maps/contrib/106793789466876329583/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChdDSUhNMG9nS0VJQ0FnSUNxX3VEbmtRRRAB,逛起來很舒服的一家韓國食品商行，商品種類豐富多樣，為了找韓國米酒“馬格利”，手滑多帶了好多東西回家，不能出國來這採買，稍稍舒緩一下想出國的心情。 而且老闆很專業，會細心介紹東西的料理方式，不用擔心買回家不會處理。,Chinese,6 個月前,2022-01-04 20:42:54.207167,5.0,Jesse Chi,0,0,https://www.google.com/maps/contrib/100142532055531579967/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChZDSUhNMG9nS0VJQ0FnSURRNWUzUWZBEAE,餅乾好好吃 泡菜ㄧ吃就愛上 終於買到韓版農心辛拉麵 服務也很好，有什麼問題都很熱心介紹👍,Chinese,3 年前,2022-01-04 20:42:54.207167,5.0,TZU-HAN CHANG,0,0,https://www.google.com/maps/contrib/108773132347311808198/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChZDSUhNMG9nS0VJQ0FnSUQ2emZXTU1REAE,好吃😋 韓式牛肉水冷麵 超好吃,Chinese,2 個月前,2022-01-04 20:42:54.207167,5.0,徐漢堡,0,0,https://www.google.com/maps/contrib/107641132539374506724/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChdDSUhNMG9nS0VJQ0FnSUNhZ0s3UHZBRRAB,泡菜超好吃，老闆娘很親切,Chinese,5 個月前,2022-01-04 20:42:54.207167,5.0,王奕媜,0,0,https://www.google.com/maps/contrib/112732718190621653357/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChdDSUhNMG9nS0VJQ0FnSUNLbnR5Zm13RRAB,終於找到有賣韓國米酒的地方，而且還比較便宜 也有韓國嫩豆腐！,Chinese,8 個月前,2022-01-04 20:42:54.207167,5.0,MJ YU,0,0,https://www.google.com/maps/contrib/102174281893979971148/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChdDSUhNMG9nS0VJQ0FnSUQ2LVliTTBRRRAB,有些特別的餅乾和醃海鮮,Chinese,2 個月前,2022-01-04 20:42:54.207167,4.0,QQB Lin,0,0,https://www.google.com/maps/contrib/114061648928381737824/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChZDSUhNMG9nS0VJQ0FnSUNLOGV6aVlnEAE,韓國商品專賣，老板娘人很好。 僞出國。,Chinese,8 個月前,2022-01-04 20:42:54.207167,5.0,皓爸,0,0,https://www.google.com/maps/contrib/116801760776502797411/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChZDSUhNMG9nS0VJQ0FnSURTal9iOFBREAE,如果妳也喜歡韓國米酒的話，來這裡買比較便宜,Chinese,11 個月前,2022-01-04 20:42:54.207167,5.0,珮珮,0,0,https://www.google.com/maps/contrib/109704315678534563201/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
韓匠│韓國食品專賣店,ChdDSUhNMG9nS0VJQ0FnSURDbHQ2WmlRRRAB,提供很多韓國商品可以選購…… 如果要找韓國食品一定要來的地方,Chinese,1 年前,2022-01-04 20:42:54.207167,4.0,Brenda Chiu,0,0,https://www.google.com/maps/contrib/112467468034320691363/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17608469029782847840
