place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
鴨母寮市場炭火麵,ChZDSUhNMG9nS0VJQ0FnSUNta3M3MlV3EAE,#炭火燒麵 60年老牌秘密店 這家算是我們最常吃的麵店，藏在鴨母寮市場內，用餐空間很魔幻，沒有DM：乾麵、湯麵、丸子麵、餛飩麵、紅茶，建議不要假日來，排隊等候非常久  店家有免費川燙服務，可以先去旁邊市場買👉🏻小卷、豬肉、青菜、丸子，川燙完，淋上「醬油辣椒醋」配著麵吃，飯後喝杯紅茶，就非常享受了。 ⠀ 紅茶一杯$10/建議買整瓶$50 ⠀ 麵湯&乾麵$50 炭火煮麵條+大白菜+大匙肉燥 大碗呷粗霸，炭火麵，麵條有韌性，湯頭香醇濃郁醍醐味。現場用餐氛圍🌟🌟🌟🌟🌟 ⠀,Chinese,1 週前,2022-01-04 20:29:41.427257,5.0,大口吃大口玩台南,0,0,https://www.google.com/maps/contrib/117456121007481801424/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChdDSUhNMG9nS0VJQ0FnSURHMHRPcXp3RRAB,終於吃到傳說中的鴨母寮“炭火麵”。麵條是我平常比較不會主動點來吃的陽春麵，不過這家的麵體口感較一般陽春麵攤來說是比較帶有筋度，不是我討厭的軟麵。  今天是點湯麵來吃，湯頭我只能說，比小甜甜的笑容還要甜美，舖灑在湯頭上的肉燥比綺夢的腋下還要嬌香。整碗吃起來就是油香油香，不是任由油蔥調味的那種單調。  由於麵的湯頭是用炭火熬煮，空氣中也瀰漫著炭火燃燒後的香氣，這樣的香氣在冬天的早晨聞起來特別暖心與補給元氣。  炭火麵還有兩個特色， 第一：湯麵裡的青菜會隨著季節變換，做提供最適合他們湯頭的口味。今天就吃到刈菜，每片菜葉斜切得大小不過如食指寬，很好入口與咀嚼，聽說春夏時節提供的是小白菜。  第二：麵攤的入口旁有個川燙小菜的攤子，客人也能做額外加點，攤位上有豬肝、小卷、花椰菜、木耳、玉米筍等等，都挺新鮮的，或者自己帶料請攤子川燙也可以！不過似乎有限定食材類型！,Chinese,1 個月前,2022-01-04 20:29:41.427257,4.0,王宥荃,0,0,https://www.google.com/maps/contrib/102526733003334302365/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChdDSUhNMG9nS0VJQ0FnSUM2b2I2QTh3RRAB,總結：如穿越劇一般的場景，好味，但吃過一次放心底就好。 評論： 聯合國 為維護及保存 人類極具普世價值的景點與文化 制定了 有形的世界遺產 與 無形的非物質文化遺產等公約 只是 礙於國際情勢的現實 台灣迄今 未曾交集  沒有國際的認證 我們自己用 國家公園及國定古蹟等相關法條 來維護本地有形遺產 但 無型的非遺 因涉商業利弊 欠缺管理機制 型同無人聞問 終將任其流逝  喜愛追食傳統小吃 老髒破舊不限 只怕吃一家少一家 這間被戲稱垃圾麵的炭火麵 窄巷後 磚牆 黃漆 昏暗 騎樓下 像窯洞廢墟般的特殊環境 相當有感  初到 跨入矮巷口 如電影 如室外桃源 進入另一50年前時空 空氣中的炭火味 催化 幻覺更添 這活化石般的小吃場景 稀有 自覺應加予管理保存  ●湯麵 4.4星 典型台南常見的肉燥拌麵 佐大量青菜 豆芽 韭菜 骨湯 醇厚油豐 炭火味並不明顯 特殊是麵體 神似蕎麥 面粗 滯口性強 具飽食感 另含加購的丸子與餛飩 全老練到位 平心論及美味程度 好食 但頂級未達 驚豔未有  整體而言 如穿越戲一般的場景 氛圍滿點 麵食稱美味 搭配環境加乘 但單論麵點 未有驚艷,Chinese,3 個月前,2022-01-04 20:29:41.427257,4.0,食荒老人,0,0,https://www.google.com/maps/contrib/100294054287467364451/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChZDSUhNMG9nS0VJQ0FnSURHMS1DdEhnEAE,逛市場經過看見許多人排隊也跟著來吃吃看。只有分湯麵跟乾麵兩種，可加丸子。 另也可自帶食材請店家川燙。  點了小碗湯麵加丸子，65元，小貴。 湯頭層次豐富好喝，麵條滑順有彈性好吃，丸子普通。  環境稍擁擠昏暗，衛生有待加強。,Chinese,3 週前,2022-01-04 20:29:41.427257,4.0,Yiyu Lai,0,0,https://www.google.com/maps/contrib/101667207941201450082/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChdDSUhNMG9nS0VJQ0FnSUNtMXJmZmdnRRAB,肉燥香，造就一碗好麵，搭紅茶，絕配～不過需趕快吃完就離開，生意太好，會併桌。,Chinese,1 週前,2022-01-04 20:29:41.427257,4.0,SU miss,0,0,https://www.google.com/maps/contrib/105535849197935763839/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChZDSUhNMG9nS0VJQ0FnSURHOU92b0NREAE,來吃鴨母寮的炭火麵，圖的就是這真材實料的豐盛感。 今天小卷真厚實，咬下去唇齒間會有明確的回饋感，賺到賺到。 並桌大姐懂吃，她這碗蝦令人肅然起敬，斗膽借拍給大家看。,Chinese,1 個月前,2022-01-04 20:29:41.427257,5.0,vincent chen,0,0,https://www.google.com/maps/contrib/110218136611718830926/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChdDSUhNMG9nS0VJQ0FnSURHMTdHeHBnRRAB,在地市場美食，在偏僻的地方，但現場麵食及海鮮是鮮甜美味的.,Chinese,3 週前,2022-01-04 20:29:41.427257,4.0,Caesar陳,0,0,https://www.google.com/maps/contrib/102192344115758840428/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChZDSUhNMG9nS0VJQ0FnSUNtck9mQlp3EAE,身處在市場中的麵攤 雖然環境較髒亂 麵條Q彈好吃！！！,Chinese,2 週前,2022-01-04 20:29:41.427257,4.0,dot,0,0,https://www.google.com/maps/contrib/115024096604180275238/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChdDSUhNMG9nS0VJQ0FnSUM2M0xlbm9BRRAB,鴨母寮市場裡的隱藏版麵攤，熱情豪邁的招呼聲吆喝著人客入座，先來杯紅茶等上菜，綜合湯麵有特製肉燥搭配餛飩虱目魚丸貢丸福州丸，加碼隔壁攤的限流現燙小卷，超滿足超感恩超大心的呦^^,Chinese,4 個月前,2022-01-04 20:29:41.427257,5.0,Daffy Lin,0,0,https://www.google.com/maps/contrib/104414435930197781307/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
鴨母寮市場炭火麵,ChdDSUhNMG9nS0VJQ0FnSUNHLUtlV3hnRRAB,乾麵加冰紅茶一份要價60塊差不多自助餐的價格沒有非常親民，郡西路大溝麵一碗只要20元。,Chinese,2 個月前,2022-01-04 20:29:41.427257,2.0,吳瑞堂,0,0,https://www.google.com/maps/contrib/101488168971554688572/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=15226712923579014777
