place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNtOGNQUVpBEAE,裝潢有點特色也有點個性，碗粿、水板粥、豬油拌飯都滿好吃的👍🏻,Chinese,2 天前,2022-01-03 21:15:49.054503,5.0,Chenhan Ko,0,0,https://www.google.com/maps/contrib/105456065742607686587/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUR5aXZ2dU9nEAE,假日和公路車友一起從臺南市區騎到麻豆吃碗粿，老闆很可愛來遞名片。在市區吃不到這麼好吃的碗粿，來台南走走一定要來吃「麻豆助碗粿」！！ 怕吃甜肉羹的朋友，也不能錯過這裡的肉羹，味道不甜喔～湯頭很好喝。 聽說中央市場即將拆除，之後碗粿就要搬家了～,Chinese,10 個月前,2022-01-03 21:15:49.054503,5.0,蘇靜怡,0,0,https://www.google.com/maps/contrib/102951685325774793095/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURzeVlLMTlRRRAB,果然台南的碗粿就是好吃😋，與北部大不相同，這次吃的豬油拌飯也很有特色(๑╹ω╹๑ ),Chinese,1 年前,2022-01-03 21:15:49.055499,4.0,徐嘉隆,0,0,https://www.google.com/maps/contrib/107646426981389437109/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURRenBXR2p3RRAB,用心，吃得到堅持的傳統美味！,Chinese,3 年前,2022-01-03 21:15:49.055499,5.0,Jerry Fun,0,0,https://www.google.com/maps/contrib/116151672820412204750/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURLNWJHTDl3RRAB,【立志成為Google嚮導大神】  產品/價格：⭐️⭐️⭐️⭐️⭐️ 服務/態度：⭐️⭐️⭐️⭐️⭐️ 速度/節奏：⭐️⭐️⭐️ 環境/衛生：⭐️⭐️⭐️⭐️⭐️ 品質/喜好：⭐️⭐️⭐️⭐️⭐️ ——————————————— 整體/評價：⭐️⭐️⭐️⭐️⭐️  ◾️  消費原因：路過  消費價格：200  消費項目：碗粿、豬油飯、荷包蛋、香腸、排骨湯、香菇肉羹、豬耳朵、阿婆水  個人感想：東西有舊時代的美味。  東西好吃，但都是小吃的份量，不會吃飽。  口味上我滿喜歡的，是回憶中的味道。  口袋名單：不錄取  ◾️  嚮導大神志向：  好店需要宣傳與支持， 壞店需要改錯與進步， 市場才會越來越興旺。  評價不是毀滅的武器 ， 而是一把修改的剪刀， 修去壞枝，留下美好。,Chinese,7 個月前,2022-01-03 21:15:49.055499,5.0,Google美食家-林先生,0,0,https://www.google.com/maps/contrib/109786849761770398620/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNLNXJueFN3EAE,這碗粿不錯耶，肉有兩塊而且不會有那種碗粿與肉像兩個不同份食物的感覺，值得吃。,Chinese,8 個月前,2022-01-03 21:15:49.056496,4.0,阿芝魚魚（crownsoul）,0,0,https://www.google.com/maps/contrib/118113485880039623452/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURBNnZLRnZ3RRAB,計程車司機推薦的，出乎意料非常好吃 份量不大，碗粿冷冷吃QQ的，醬料蒜味也很棒，不會過鹹，比起名氣大的幾家都好吃,Chinese,3 年前,2022-01-03 21:15:49.056496,5.0,詹禾芝,0,0,https://www.google.com/maps/contrib/103557784046662989728/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNBaE5uMnRBRRAB,外帶的醬汁竟然是過期半年以上的 沒有職業道德的店家,Chinese,3 年前,2022-01-03 21:15:49.057491,1.0,Blue Eyes,0,0,https://www.google.com/maps/contrib/115703421225289280236/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUQ2a3FmeG9RRRAB,好吃的傳統美食,Chinese,3 個月前,2022-01-03 21:15:49.057491,4.0,周PETER,0,0,https://www.google.com/maps/contrib/114829017864772836587/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUN5eTViMkt3EAE,春節休息 未能一嘗美味 甚憾,Chinese,10 個月前,2022-01-03 21:15:49.058491,5.0,Alan Chen,0,0,https://www.google.com/maps/contrib/101206167645459823220/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURjd3NPZEJREAE,從一次活動上吃到後就上癮的愛店，碗粿口感很棒，不會軟爛軟爛的，外帶也有方便食用的碗裝，現在公司傍晚有活動也都會大量訂購的店，真的很好吃❤️,Chinese,1 年前,2022-01-03 21:15:52.241603,5.0,沈小棠,0,0,https://www.google.com/maps/contrib/101273374120210132941/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURjZ3JXbVFBEAE,老闆親切有禮貌、幽默又風趣 重點料理好吃又實在 來台南必吃~ 五顆星都覺得太少,Chinese,1 年前,2022-01-03 21:15:52.241603,5.0,李昇展,0,0,https://www.google.com/maps/contrib/103062507607336124775/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURjdmZfLTlRRRAB,碗粿超級好吃 請大家快點來捧場！老闆娘有夠正又年輕老闆也很帥！！！速速前往！,Chinese,1 年前,2022-01-03 21:15:52.242616,5.0,胡瑗倫,0,0,https://www.google.com/maps/contrib/110948394981317942689/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURjX1lEVHZnRRAB,老闆娘很漂亮老闆很帥女兒很漂亮 哇貴很好吃快快來吃讚喔,Chinese,1 年前,2022-01-03 21:15:52.242616,5.0,辛旻臻,0,0,https://www.google.com/maps/contrib/106804354656695838458/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURjZ3EyaUZREAE,價格親民實在 味好料香最棒小吃,Chinese,1 年前,2022-01-03 21:15:52.242616,5.0,趙恆毅,0,0,https://www.google.com/maps/contrib/103399613269624596559/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURjZ3MzWGtRRRAB,老闆跟老闆娘都很好客，食物也很好吃,Chinese,1 年前,2022-01-03 21:15:52.243604,5.0,JoeJohn Shen,0,0,https://www.google.com/maps/contrib/106292645475611752772/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURjMElIMXNRRRAB,身為台南人，很久沒吃到這麼好吃的碗粿了！,Chinese,1 年前,2022-01-03 21:15:52.243604,5.0,李信緯,0,0,https://www.google.com/maps/contrib/113429567866749589882/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUQwNmVuVVJnEAE,店面有改裝，東西好吃，不過變小碗了。,Chinese,2 年前,2022-01-03 21:15:52.244604,4.0,Po Chuan Chen,0,0,https://www.google.com/maps/contrib/100411068126403374871/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURNM05LUEVBEAE,營業中時間沒開，也沒有公告，白跑一趟......,Chinese,2 年前,2022-01-03 21:15:52.244604,1.0,蔡雨耕,0,0,https://www.google.com/maps/contrib/100279163709213615218/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURVcFpHbjBRRRAB,傳統美食，好吃!! 家人一致覺得很好吃,Chinese,2 年前,2022-01-03 21:15:52.244604,5.0,王育雯,0,0,https://www.google.com/maps/contrib/109939728594193873884/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNncE9DSzdRRRAB,《3.8 ☆》 坐在外面的桌子上，吃著碗粿，看著路上的人來人往，這也是台南的一種慢活。,Chinese,3 年前,2022-01-03 21:15:55.450212,3.0,康振涵,0,0,https://www.google.com/maps/contrib/111978360001609509855/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNndUtMb0VBEAE,女服務生態度超差，點的是加蒜泥的，明明就沒加，還跟我強辯說加在醬油裡了，還在那裡碎碎念，當我沒聽到，碗粿又小又貴。,Chinese,4 年前,2022-01-03 21:15:55.451221,1.0,YenYen Haly,0,0,https://www.google.com/maps/contrib/114898336236379508923/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNZdk9HelRREAE,東西好吃，老闆娘漂亮，頭家面惡心善哦,Chinese,2 年前,2022-01-03 21:15:55.451221,5.0,B & M “W”,0,0,https://www.google.com/maps/contrib/117187812619943101251/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUQ4djZDUGd3RRAB,碗粿很小碗，味道還不錯，還可以,Chinese,1 年前,2022-01-03 21:15:55.451221,3.0,楊陽揚,0,0,https://www.google.com/maps/contrib/100367654675410981165/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURBMWVPWlJREAE,簡單、好吃、親切、實惠，除了碗粿還有水粄粥~豬油拌飯~香菇肉羹~排骨湯,Chinese,4 年前,2022-01-03 21:15:55.452220,5.0,sheng Su,0,0,https://www.google.com/maps/contrib/106023055149068647295/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNnbU9tQTZ3RRAB,"碗粿軟爛沒有口感，標榜『蒜泥碗粿』但蒜泥少到幾乎不存在=""=...聽說有名，一到現場還慶幸沒人不用排隊，結果餐點一上才明白真的不好吃啊，加上上錯菜就算了，店員還很不耐煩的回應『那就拿回來補你們一碗啊』.....真的是感覺很差耶！以後不會再來了~",Chinese,9 年前,2022-01-03 21:15:55.452220,2.0,Elaine Chu,0,0,https://www.google.com/maps/contrib/102998490793082499972/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURBcDZuVW1nRRAB,與阿喬師水粄粥為同一家 碗粿口味雖傳承於麻豆-助碗粿 但仍有有差別，西門店的整體口味上比較重，食材比較少，蒜泥味比較重，各有千秋！,Chinese,5 年前,2022-01-03 21:15:55.452220,3.0,Chaochun Huang,0,0,https://www.google.com/maps/contrib/110487706348903334861/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNndTVEQ2JREAE,"跟阿喬師是同一家=_=, 為何寫成兩家",Chinese,4 年前,2022-01-03 21:15:55.454221,3.0,廖宜寬,0,0,https://www.google.com/maps/contrib/113470152482160001341/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUR3Z3ZlSmZREAE,古早味的碗粿，十分好吃。老闆又很客氣！,Chinese,3 年前,2022-01-03 21:15:55.454221,5.0,李昇曄,0,0,https://www.google.com/maps/contrib/113759602249028533491/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUN3aWZIS1BREAE,在這小吃聞名的台南只能算普普....如果開在其他縣市保證是第一!,Chinese,5 年前,2022-01-03 21:15:55.455213,3.0,Alex Huang,0,0,https://www.google.com/maps/contrib/115573435154950972115/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUM4b2NLQjFRRRAB,用料實在 ，勾魂,Chinese,1 年前,2022-01-03 21:15:58.703844,4.0,吳宜靜,0,0,https://www.google.com/maps/contrib/116905084149580034675/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURjeG9PVEdnEAE,適合大眾口味 百年老字號,Chinese,1 年前,2022-01-03 21:15:58.703844,5.0,李京凌,0,0,https://www.google.com/maps/contrib/101578689676029568089/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNBa1l2SjFBRRAB,非常棒的碗粿，改寫了碗粿在我心中的地位。米香、料和醬料融為一體！,Chinese,7 年前,2022-01-03 21:15:58.704833,5.0,Castor Huang,0,0,https://www.google.com/maps/contrib/107479006800441015828/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNvME5ybWx3RRAB,小貴，味道普通,Chinese,2 年前,2022-01-03 21:15:58.704833,3.0,超哥,0,0,https://www.google.com/maps/contrib/105091814743850776045/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURnNjQySlpREAE,還在研究與助仔碗粿不知道有沒有關係,Chinese,4 年前,2022-01-03 21:15:58.704833,3.0,FaShaun Lin,0,0,https://www.google.com/maps/contrib/109316429782410043624/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURjd3RtaXpnRRAB,乾淨衛生口味佳,Chinese,1 年前,2022-01-03 21:15:58.705840,5.0,吳毅安,0,0,https://www.google.com/maps/contrib/115866202450012738480/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNnamJQbTl3RRAB,好吃的傳統美食 價錢實惠！,Chinese,9 年前,2022-01-03 21:15:58.705840,4.0,getaone lu,0,0,https://www.google.com/maps/contrib/106005543225250573830/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURBN3ZURmV3EAE,味道好，價格實惠,Chinese,4 年前,2022-01-03 21:15:58.706831,3.0,Tommy Chiu,0,0,https://www.google.com/maps/contrib/109814083963214691548/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSURRMDhpV1NnEAE,不怎麼樣~,Chinese,4 年前,2022-01-03 21:15:58.706831,1.0,晚安部落,0,0,https://www.google.com/maps/contrib/117039500487333909822/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNRcGN2SnpRRRAB,好吃但是太貴了,Chinese,3 年前,2022-01-03 21:15:58.706831,3.0,麻建國,0,0,https://www.google.com/maps/contrib/110359121461379940259/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNRcHJ6QndRRRAB,不會再次上門,Chinese,7 年前,2022-01-03 21:16:01.974174,1.0,廖奕鈞,0,0,https://www.google.com/maps/contrib/112323369104826989982/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUN3MzRibWNBEAE,還不錯,Chinese,4 年前,2022-01-03 21:16:01.975174,3.0,Yuning Chen,0,0,https://www.google.com/maps/contrib/101642374042278081706/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNLbXVyZktnEAE,(由 Google 提供翻譯) 麻豆碗粿唯一指名😂  (原始評論) 麻豆碗粿唯一指名😂,Chinese,9 個月前,2022-01-03 21:16:01.975174,5.0,老頭肥油沒梗史萊姆,0,0,https://www.google.com/maps/contrib/106647170051176004326/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNpdEt2akpREAE,(由 Google 提供翻譯) 口味非常好，很棒的台南小吃！  (原始評論) 口味非常好，很棒的台南小吃！,Chinese,1 年前,2022-01-03 21:16:01.976163,5.0,Yi-Wei Cheng,0,0,https://www.google.com/maps/contrib/112594515121543735482/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChZDSUhNMG9nS0VJQ0FnSUNHcmVUVUpBEAE,(由 Google 提供翻譯) 好吃又便宜  (原始評論) 好吃又便宜,Chinese,1 個月前,2022-01-03 21:16:01.976163,5.0,游凱鈞,0,0,https://www.google.com/maps/contrib/101057577718753798078/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNJMGVhdWxRRRAB,(由 Google 提供翻譯) 水粄粥，特色口味！  (原始評論) 水粄粥，特色口味！,Chinese,3 年前,2022-01-03 21:16:01.977163,4.0,Cindy,0,0,https://www.google.com/maps/contrib/104530934201843121984/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURLal9xSWlnRRAB,(由 Google 提供翻譯) 好吃！  (原始評論) 好吃！,Chinese,7 個月前,2022-01-03 21:16:01.977163,5.0,Jerry Jen,0,0,https://www.google.com/maps/contrib/117399766862446566981/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURpb3B2YThRRRAB,(由 Google 提供翻譯) 好吃的碗粿  (原始評論) 好吃的碗粿,Chinese,1 年前,2022-01-03 21:16:01.978174,5.0,重度視障旅人尹重屏趴趴go,0,0,https://www.google.com/maps/contrib/107942772320167349908/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNjcC0ybmhRRRAB,(由 Google 提供翻譯) 比起本店...嗯...  (原始評論) 比起本店...嗯...,Chinese,1 年前,2022-01-03 21:16:01.978174,2.0,Tim Chang,0,0,https://www.google.com/maps/contrib/107246383881088586764/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURRczVheHJnRRAB,(由 Google 提供翻譯) 好吃！值得一去！  (原始評論) 好吃！值得一去！,Chinese,5 年前,2022-01-03 21:16:01.978174,4.0,石名軒,0,0,https://www.google.com/maps/contrib/117806715766515250518/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURVbzhETnZ3RRAB,(由 Google 提供翻譯) 碗粿好吃  (原始評論) 碗粿好吃,Chinese,2 年前,2022-01-03 21:16:05.333028,5.0,李軒,0,0,https://www.google.com/maps/contrib/101173939405943215988/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNnOE16cmp3RRAB,(由 Google 提供翻譯) 好吃  (原始評論) 好吃,Chinese,4 年前,2022-01-03 21:16:05.334060,5.0,cheng nill (千層糕日常),0,0,https://www.google.com/maps/contrib/112996187669397998679/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNRcjlQSnBBRRAB,(由 Google 提供翻譯) 好吃  (原始評論) 好吃,Chinese,5 年前,2022-01-03 21:16:05.334060,5.0,TU Chou,0,0,https://www.google.com/maps/contrib/112424850231088762772/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUN3aTgydS1BRRAB,,Chinese,6 年前,2022-01-03 21:16:05.334060,3.0,Anthony,0,0,https://www.google.com/maps/contrib/108744286377171648166/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUN3NUlYNjlBRRAB,,Chinese,3 年前,2022-01-03 21:16:05.335027,3.0,林聖峰,0,0,https://www.google.com/maps/contrib/110999382763941143144/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURJdE16NDF3RRAB,,Chinese,3 年前,2022-01-03 21:16:05.335027,4.0,梁峻瑋,0,0,https://www.google.com/maps/contrib/110799494975222009130/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSUNRMDhqWDBBRRAB,,Chinese,8 年前,2022-01-03 21:16:05.336024,5.0,挖貴哥543,0,0,https://www.google.com/maps/contrib/117010157396418392280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURRMkpmY3p3RRAB,,Chinese,5 年前,2022-01-03 21:16:05.336024,4.0,Bear.H,0,0,https://www.google.com/maps/contrib/116654508240470579147/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURreTd2SXpnRRAB,,Chinese,2 年前,2022-01-03 21:16:05.336024,5.0,A A,0,0,https://www.google.com/maps/contrib/103161162623383475015/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
麻豆助碗粿,ChdDSUhNMG9nS0VJQ0FnSURzZ3VHS3dBRRAB,,Chinese,1 年前,2022-01-03 21:16:05.337024,4.0,張秀雅,0,0,https://www.google.com/maps/contrib/117511266592371546916/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=11776645188023482657
