Column1,place_name,id_review,caption,relative_date,emotion,subject,rating,username,url_user,url_source
77748,邱家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSURBMC0tX0x3EAE,是開放式空間沒有冷氣 ,3 年前,負面,環境,3,! YO,https://www.google.com/maps/contrib/107305432884146445920/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10680033776338744119
71937,赤崁棺材板,ChZDSUhNMG9nS0VJQ0FnSUM4MHRHdGV3EAE,以棺材板來說不值這個價偏貴，一片70 而且有蠻重的油耗味，衛生又不好，都直接用手拿吐司，沒有帶任何手套或先洗手，店員餐具也是直接丟桌上，擦桌子的抹布都不知道乾不乾淨，真的不行，唯一還可以的就是醬料,1 年前,負面,環境,1,0204 ori,https://www.google.com/maps/contrib/100309121082902243205/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
73792,轉角餐廳 Corner Steak House,ChZDSUhNMG9nS0VJQ0FnSUQ4eDZMZFB3EAE,氣氛佳,1 年前,正面,環境,5,05黃建智,https://www.google.com/maps/contrib/105609614153865705647/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=16710121115918595409
2727,The Sober Foodie 食上主義餐酒館,ChZDSUhNMG9nS0VJQ0FnSURNNTl5aVlBEAE,整體讓人放鬆的地方,1 年前,正面,環境,5,0618qma,https://www.google.com/maps/contrib/115036632886875375291/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=46958090805535498
31299,度小月原始店Du Hsiao Yueh Original Restaurant,ChdDSUhNMG9nS0VJQ0FnSUN5MGZPQnp3RRAB,用餐區舒適,11 個月前,正面,環境,5,109 019 陳威誠,https://www.google.com/maps/contrib/106076843875222704490/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10344657079432085675
88741,阿美飯店,ChdDSUhNMG9nS0VJQ0FnSUNBNGY3ODV3RRAB,環境乾淨,3 年前,正面,環境,4,a google,https://www.google.com/maps/contrib/100267432946966451041/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17318390011116197475
2260,Mr.麵王,ChZDSUhNMG9nS0VJQ0FnSUNRaXF5dEp3EAE,可惜的就是位置少了一點,4 年前,負面,環境,4,ABo,https://www.google.com/maps/contrib/108016292416473387375/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1444700531705902071
26964,奇美咖啡館 成大門市,ChdDSUhNMG9nS0VJQ0FnSUNBcWV6YXdRRRAB,氣氛還不錯，算是朋友揪團來聊天或談公事的好地方~,4 年前,正面,環境,4,Acid Chen,https://www.google.com/maps/contrib/108495653727083754163/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=13269541068725444544
8517,下大道蘭米糕,ChdDSUhNMG9nS0VJQ0FnSUMwNDlLQ2xRRRAB,悶熱、髒亂。,2 年前,,環境,1,AGNON TANG,https://www.google.com/maps/contrib/115782587795676662074/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3085742664717935776
8724,下大道蘭米糕,ChdDSUhNMG9nS0VJQ0FnSUMwNDlLQ2xRRRAB,非常糟糕的用餐環境！,2 年前,,環境,1,AGNON TANG,https://www.google.com/maps/contrib/115782587795676662074/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3085742664717935776
2109,Bark露天茶飲酒吧 台南海安店,ChdDSUhNMG9nS0VJQ0FnSUNLc05uUm5nRRAB,食物也很好吃 店內氣氛很可以下次來台南！～,9 個月前,,環境,5,Akane張茜,https://www.google.com/maps/contrib/111965842934699739124/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12166400846712568382
