index,n,name,place_id,,
15004,"𩵚魠,　魚肉,",鄭記土魠魚羹,ChIJRac76mR2bjQRHGUAR8cN9C4,,
0,"𩵚魠,　魚肉,",陳記真正紅燒土魠,ChIJawGn_4t2bjQRK2AGrUnetag,,
13942,"𩵚魠,　魚,",鄭記土魠魚羹,ChIJRac76mR2bjQRHGUAR8cN9C4,,
6695,"鱸魚湯,　特價,",台南蔡虱目魚專賣店,ChIJ0Zhp2vl2bjQRlsmdmPlNoyg,,
294,"讚美,",明新食品,ChIJpxAlyL12bjQRIMxqqQDuEVU,,
9341,"讚,",奇美咖啡館 成大門市,ChIJuUOHMpN2bjQRwF_WBUzhJrg,,
9342,"讚,",藝術轉角 東東蔬食鍋,ChIJqyir1IN2bjQRiXewQla4fxQ,,
40681,"讚,",羊城小食店,ChIJcQEuM4Z2bjQR3YQ5ePhWtdk,,
40639,"觀感,",福生小食店,ChIJNbLHWHp2bjQRa8rrUkFUtCA,,
6292,"觀光客,　鹹,　粥,",阿憨鹹粥,ChIJ1_N-XPV2bjQReZQ0UpjNZv8,,
11,"觀光客,　餐點,　口味,",永樂燒肉飯,ChIJa3IWs2Z2bjQRx_Sgx3NInbI,,
6525,"觀光客,　錢,",台南武廟肉圓,ChIJybqz1WN2bjQR8C1wbULqL5k,,
7,"觀光客,　擔仔麵,　配菜,",度小月原始店Du Hsiao Yueh Original Restaurant,ChIJwe_HQGN2bjQRq4DHLs6aj48,,
13,"觀光客,　價錢,　口味,",雙全紅茶,ChIJhwhoW2N2bjQRsQRMoD4STa4,,
26,"觀光客,　價格,　公道,　冰品,　水果盤,",莉莉水果店,ChIJXytwGH12bjQRA9lZo8M4uJs,,
7626,"觀光客,　價位,",度小月原始店Du Hsiao Yueh Original Restaurant,ChIJwe_HQGN2bjQRq4DHLs6aj48,,
4,"觀光客,　蜜餞,",榮義蜜餞行,ChIJKe6sHGV2bjQRv_JOBFAWkgE,,
3,"觀光客,　意思,　地,",度小月原始店Du Hsiao Yueh Original Restaurant,ChIJwe_HQGN2bjQRq4DHLs6aj48,,
20275,"觀光客,　等級,　味道,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
15,"觀光客,　最愛,　小籠包,　松針,　裝飾用,",上海華都小吃,ChIJjfU3wol2bjQRPibXeEsoO4M,,
14,"觀光客,　最愛,",度小月原始店Du Hsiao Yueh Original Restaurant,ChIJwe_HQGN2bjQRq4DHLs6aj48,,
12,"觀光客,　速度,　菜色,　口味,",松仔腳燒烤海產,ChIJe3BnW2N2bjQRzC9h8UVy-w4,,
14299,"觀光客,　特色,　冰,",泰成水果店,ChIJQROa52Z2bjQRZhtrL1YtunU,,
6281,"觀光客,　時間,　小吃,",石精臼點心城,ChIJdfUXcWF2bjQR85RoTVy0syc,,
28039,"觀光客,　美食,　胃,",椿之味薏仁湯,ChIJKy9RUYh2bjQRXcCOhcQOXjI,,
10,"觀光客,　美食,",金得春捲,ChIJCzZbxWZ2bjQR6CUWOMHz1hI,,
25,"觀光客,　哈密瓜,　冰淇淋,　化學味,",泰成水果店,ChIJQROa52Z2bjQRZhtrL1YtunU,,
19319,"觀光客,　店家,　棺材板,　經典,　原味,　咖哩,　口味,　原味,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
17,"觀光客,　行程,　味道,",石精臼蚵仔煎,ChIJGS-dzWR2bjQR1OBnRJzR6Mo,,
16,"觀光客,　老字號,　椪餅,　肉包,",萬川號餅舖,ChIJ5VuXVoh2bjQR1zv8Yvn8JBE,,
1157,"觀光客,　成就,",台南武廟肉圓,ChIJybqz1WN2bjQR8C1wbULqL5k,,
28,"觀光客,　地點,　美食,",萬川號餅舖,ChIJ5VuXVoh2bjQR1zv8Yvn8JBE,,
6,"觀光客,　地方,　果汁,",莉莉水果店,ChIJXytwGH12bjQRA9lZo8M4uJs,,
37107,"觀光客,　在地人,　爺爺,　奶奶,　湯,",圓環牛肉湯,ChIJB2ZOnnp2bjQRDVJ3TmUvews,,
7624,"觀光客,　份量,　口味,　價格,　人,　黑人,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
24,"觀光客,　生意,　白北魚,",呷霸浮水魚羹,ChIJcV-RgmF2bjQRoXD_48bOURU,,
24653,"觀光客,　水果,　冰,　拍拍照,",泰成水果店,ChIJQROa52Z2bjQRZhtrL1YtunU,,
11325,"觀光客,　文X,　牛肉湯,　在地人,",台南市牛家莊牛肉湯,ChIJyzmdBXp2bjQRh4Uf3dPllqM,,
11177,"觀光客,　小吃,　美味,",台南市牛家莊牛肉湯,ChIJyzmdBXp2bjQRh4Uf3dPllqM,,
12221,"觀光客,　小吃,",福記肉圓總店,ChIJvUM2an12bjQRErjaF_ijiyg,,
13589,"觀光客,　口味,",金得春捲,ChIJCzZbxWZ2bjQR6CUWOMHz1hI,,
12079,"觀光客,　人,　人,　美食,",下大道蘭米糕,ChIJHc5pfnp2bjQRoKTHxprC0io,,
40022,"觀光客,　一級,",阿浚師魯麵,ChIJGYM7emF2bjQRPJSzwZzn0Pc,,
10881,"觀光客,　FB,　口味,　台南人,",古都碗粿 東門總店,ChIJiatEUZh2bjQRUz5Xf5P2noE,,
23050,"觀光客,",葉家小卷米粉,ChIJZ1Zt6WR2bjQRjVZEVRzkFoU,,
10813,"觀光客,",阿喬師水粄粥,ChIJY4D9DHt2bjQR70YptCxNEFQ,,
