Column1,place_name,id_review,caption,relative_date,emotion,subject,rating,username,url_user,url_source
7847,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNjMjgzcnBRRRAB,"炒年糕,是青菜炒年糕吧,主食是年糕不是青菜好嗎,調味很重要,是否能學習一下？  而小籠包跟65元的一樣",1 年前,負面,食物,1,* Jokercurse,https://www.google.com/maps/contrib/111590026834556225303/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
7111,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNjMjgzcnBRRRAB,"你們根本侮辱炒飯二字,肉絲炒飯根本是肉絲蓋飯,是不是不懂炒飯兩字的意思？  而培根炒飯,培根炒過頭,飯油耗味太重。",1 年前,負面,食物,1,* Jokercurse,https://www.google.com/maps/contrib/111590026834556225303/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
83497,阿地牛排館A-Di Steakhouse,ChZDSUhNMG9nS0VJQ0FnSURjcDVLd1l3EAE,東西超級無敵難吃，環境也很髒亂，沙拉也非常不新鮮餐包也是非常難吃，牛排全部都是脛，肉質十分不新鮮，點了牛排感覺在吃叉燒  所以推薦各位不要來這邊吃,1 年前,負面,食物,1,。。,https://www.google.com/maps/contrib/113283927914785675746/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=18237307412558804924
78877,金得春捲,ChZDSUhNMG9nS0VJQ0FnSURHeXZfLU9nEAE,外皮太厚，內餡很乾味如嚼蠟，肥肉超多塊，評價這麼高真的大失所望.......,1 個月前,負面,食物,1,_ inori,https://www.google.com/maps/contrib/110514418080169231590/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1357540348893996520
7006,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNtakppVDlBRRAB,這種店很實在非常不推薦 排骨麵的湯感覺也是統一肉燥麵的油包 總之非常失望。,1 週前,負面,食物,1,__ odie,https://www.google.com/maps/contrib/109978883943928551158/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
7005,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNtakppVDlBRRAB,吃個麵還可以吃到蟲…跟店員講也沒誠意要處理。,1 週前,負面,食物,1,__ odie,https://www.google.com/maps/contrib/109978883943928551158/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
79615,金得春捲,ChZDSUhNMG9nS0VJQ0FnSUNJb1otNERBEAE,不好吃。,3 年前,負面,食物,2,0 0 (‪dannnasama1989‬),https://www.google.com/maps/contrib/105433159972873494191/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1357540348893996520
63172,老鄧牛肉麵,ChdDSUhNMG9nS0VJQ0FnSURBdUxiT3lnRRAB,"因為父親說想吃吃看就一家四口去吃,點了四碗牛肉麵600元湯超鹹的肉軟歸軟",3 年前,負面,食物,1,036 ZEROES,https://www.google.com/maps/contrib/112587686680375830674/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9779804409540351008
34021,康樂街牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUN5aGYyVERBEAE,吃過別間的 相比起來不怎麼好吃,10 個月前,負面,食物,1,10 0000,https://www.google.com/maps/contrib/108436962778588962744/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10042803244159790580
23457,台南蔡虱目魚專賣店,ChdDSUhNMG9nS0VJQ0FnSUNvaUtyWS1BRRAB,肉燥飯的飯乾硬，不喜歡。,2 年前,負面,食物,4,1020 crayfish,https://www.google.com/maps/contrib/106076364174914526872/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1821795297087644639
