Column1,place_name,id_review,caption,relative_date,emotion,subject,rating,username,url_user,url_source
71137,西羅殿牛肉湯,ChdDSUhNMG9nS0VJQ0FnSURVaV9LTTJBRRAB,好吃實在，老闆很熱情的介紹更是加分！,2 年前,正面,食物,5,-,https://www.google.com/maps/contrib/102035897305062381321/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=8387396375659946375
93414,雙全紅茶,ChdDSUhNMG9nS0VJQ0FnSURTaUpyOXZRRRAB,古早味 喝了回甘止渴 三分糖剛剛好 只賣杯裝和瓶裝 只賣紅茶,1 年前,中立,食物,5,- Annie,https://www.google.com/maps/contrib/108870981105175840209/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12559714995992790193
77748,邱家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSURBMC0tX0x4EAE,老闆動作稍慢必須排隊一陣子,4 年前,負面,服務,3,! YO,https://www.google.com/maps/contrib/107305432884146445920/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10680033776338744119
77747,邱家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSURBMC0tX0x3EAE,味道ok,3 年前,正面,食物,3,! YO,https://www.google.com/maps/contrib/107305432884146445920/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10680033776338744119
77748,邱家小卷米粉,ChZDSUhNMG9nS0VJQ0FnSURBMC0tX0x3EAE,是開放式空間沒有冷氣 ,3 年前,負面,環境,3,! YO,https://www.google.com/maps/contrib/107305432884146445920/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=10680033776338744119
48172,永記虱目魚丸,ChZDSUhNMG9nS0VJQ0FnSUNpZ0l5SktREAE,好吃 台南口味推薦 人有點多 要提早來！,1 年前,正面,食物,4,#KV (KV),https://www.google.com/maps/contrib/106879322096875825111/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=4554147371860831669
7111,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNjMjgzcnBRRRAB,最後服務員態度是在不屑什？  這食物真才真令人不屑。,1 年前,負面,服務,1,* Jokercurse,https://www.google.com/maps/contrib/111590026834556225303/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
7847,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNjMjgzcnBRRRAB,"炒年糕,是青菜炒年糕吧,主食是年糕不是青菜好嗎,調味很重要,是否能學習一下？  而小籠包跟65元的一樣",1 年前,負面,食物,1,* Jokercurse,https://www.google.com/maps/contrib/111590026834556225303/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
7111,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNjMjgzcnBRRRAB,"你們根本侮辱炒飯二字,肉絲炒飯根本是肉絲蓋飯,是不是不懂炒飯兩字的意思？  而培根炒飯,培根炒過頭,飯油耗味太重。",1 年前,負面,食物,1,* Jokercurse,https://www.google.com/maps/contrib/111590026834556225303/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
7848,上海華都小吃,ChdDSUhNMG9nS0VJQ0FnSUNjMjgzcnBRRRAB,"要80,皮薄些還能接受。",1 年前,中立,價格,1,* Jokercurse,https://www.google.com/maps/contrib/111590026834556225303/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=9456196147209512510
3294,The Sober Foodie 食上主義餐酒館,ChdDSUhNMG9nS0VJQ0FnSUNnMkszdWhBRRAB,服務員很熱心介紹我們,3 年前,正面,服務,5,*ジュン*,https://www.google.com/maps/contrib/103543833346449590280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=46958090805535498
23514,台南蔡虱目魚專賣店,ChZDSUhNMG9nS0VJQ0FnSUM0cVl1OVdREAE,煎蛋也很好吃喔！,2 年前,正面,食物,4,*ジュン*,https://www.google.com/maps/contrib/103543833346449590280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2928269917123627414
23513,台南蔡虱目魚專賣店,ChZDSUhNMG9nS0VJQ0FnSUM0cVl1OVdREAE,"東西又好吃  煎魚腸便宜量又多,CP值很高啊！",2 年前,正面,食物,4,*ジュン*,https://www.google.com/maps/contrib/103543833346449590280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2928269917123627414
3294,The Sober Foodie 食上主義餐酒館,ChdDSUhNMG9nS0VJQ0FnSUNnMkszdWhBRRAB,很多道菜果真每一道都超好吃！,3 年前,正面,食物,5,*ジュン*,https://www.google.com/maps/contrib/103543833346449590280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2928269917123627414
23512,台南蔡虱目魚專賣店,ChZDSUhNMG9nS0VJQ0FnSUM0cVl1OVdREAE,超划算！,2 年前,正面,價格,4,*ジュン*,https://www.google.com/maps/contrib/103543833346449590280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=2928269917123627414
3295,The Sober Foodie 食上主義餐酒館,ChdDSUhNMG9nS0VJQ0FnSUNnMkszdWhBRRAB,價錢也很不錯 真的非常推薦 （宮爆義大利麵 雞翅 蒜香蝦 雞絲沙拉都超讚的）因為份量都蠻多的 人多可以點多樣share！,3 年前,正面,價格,5,*ジュン*,https://www.google.com/maps/contrib/103543833346449590280/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=46958090805535498
66011,莊子土豆仁湯,ChdDSUhNMG9nS0VJQ0FnSURxazYyOXNBRRAB,短髮眼鏡女店員，態度可以不要那麼差嗎？ 我只是去消費，沒有欠你錢 因為第一次購買不太懂 詢問 下雨加上車輛聲音及戴口罩更聽不清楚了,5 個月前,負面,服務,2,*不爽不要看,https://www.google.com/maps/contrib/110128841152559874709/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3179863068037388557
66012,莊子土豆仁湯,ChdDSUhNMG9nS0VJQ0FnSURxazYyOXNBRRAB,店員表現出不耐煩的樣子 感受不佳,5 個月前,負面,服務,2,*不爽不要看,https://www.google.com/maps/contrib/110128841152559874709/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=3179863068037388557
48675,永記虱目魚丸,ChdDSUhNMG9nS0VJQ0FnSUNBMHJLWDNBRRAB,好吃,3 年前,正面,食物,4,",,",https://www.google.com/maps/contrib/104726996535369347161/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=4554147371860831669
48674,永記虱目魚丸,ChdDSUhNMG9nS0VJQ0FnSUNBMHJLWDNBRRAB,太貴了,3 年前,負面,價格,4,",,",https://www.google.com/maps/contrib/104726996535369347161/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=4554147371860831669
53572,牛肉の場牛肉湯,ChZDSUhNMG9nS0VJQ0FnSUNvOWI2TVB3EAE,牛肉湯超好喝 牛肉也超好吃又不柴 老闆很親切 下次到台南還會再來,2 年前,正面,食物,5,",蓁",https://www.google.com/maps/contrib/114773553473418263817/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=564241710574152891
61554,義豐冬瓜茶,ChZDSUhNMG9nS0VJQ0FnSURBamNHU1V3EAE,好喝的冬瓜茶，加點料更美味,5 年前,正面,食物,4,、蕃茄醬‖.*。,https://www.google.com/maps/contrib/118152992875853201578/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=384191162129070698
95917,饗食天堂 台南店,ChZDSUhNMG9nS0VJQ0FnSURjM00zek13EAE,好吃到撐 ,1 年前,正面,食物,5,. twctyw,https://www.google.com/maps/contrib/112074800734541557095/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=17078358752954324711
