,0
0,𩵚魠
1,"魚肉,"
2,景點
3,"蝦捲,"
4,特色
5,小吃
6,口味
7,"價格,"
8,觀光客
9,意思
10,"地,"
11,觀光客
12,"蜜餞,"
13,"觀光客,"
14,觀光客
15,地方
16,"果汁,"
17,觀光客
18,擔仔麵
19,"配菜,"
20,"觀光客,"
21,"觀光客,"
22,觀光客
23,"美食,"
24,觀光客
25,餐點
26,"口味,"
27,觀光客
28,速度
29,菜色
30,"口味,"
31,觀光客
32,價錢
33,"口味,"
34,觀光客
35,"最愛,"
36,觀光客
37,最愛
38,小籠包
39,松針
40,"裝飾用,"
41,觀光客
42,老字號
43,椪餅
44,"肉包,"
45,觀光客
46,行程
47,"味道,"
48,"觀光客,"
49,"觀光客,"
50,"觀光客,"
51,"觀光客,"
52,"觀光客,"
53,"觀光客,"
54,觀光客
55,生意
56,"白北魚,"
57,觀光客
58,哈密瓜
59,冰淇淋
60,"化學味,"
61,觀光客
62,價格
63,公道
64,冰品
65,"水果盤,"
66,"觀光客,"
67,觀光客
68,地點
69,"美食,"
70,"觀光客,"
71,nan
72,"米糕,"
73,羹湯
74,筍子
75,口感
76,"鴨肉羹,"
77,"美食,"
78,"地方菜,"
79,台南味
80,餐
81,"價格,"
82,口味
83,"味道,"
84,"藥師,"
85,"口味,"
86,nan
87,nan
88,nan
89,豆腐
90,紅糟肉
91,魚皮湯
92,"辣椒,"
93,nan
94,nan
95,nan
96,nan
97,nan
98,藥膳
99,香腸
100,臭豆腐
101,"香腸,"
102,味道
103,用料
104,雞蛋
105,"口味,"
106,魚麵
107,魚味
108,魚肉
109,湯
110,"麵,"
111,"味道,"
112,nan
113,肉
114,肉
115,"薄片,"
116,"水粄粥,"
117,nan
118,nan
119,"豆花,"
120,"湯頭,"
121,特色
122,小吃
123,豬肉
124,肉
125,冷盤
126,豬肉
127,薄片
128,"腥味,"
129,特色
130,"餐點,"
131,氣質
132,空間
133,餐點
134,"副餐,"
135,味道
136,"點,"
137,"味道,"
138,"在地味,"
139,"古早味,"
140,水準
141,合菜
142,份量
143,份
144,記憶
145,點
146,八寶冰
147,"布丁,"
148,nan
149,nan
150,nan
151,nan
152,"擔仔麵,"
153,"豆花,"
154,nan
155,杏仁
156,湯圓
157,"紅豆湯,"
158,料理
159,沙鍋鴨
160,紅蟳
161,"米糕,"
162,nan
163,nan
164,nan
165,nan
166,機車
167,公車
168,"停車位,"
169,"價格,"
170,義大利麵
171,份量
172,口味
173,牛肉
174,白醬
175,荔枝
176,"椰果,"
177,nan
178,"量,"
179,湯頭
180,味道
181,"小卷,"
182,氣氛
183,"速度,"
184,料
185,"選擇性,"
186,"花生,"
187,飯
188,食量
189,"人,"
190,"特花湯,"
191,nan
192,nan
193,湯頭
194,"海鮮,"
195,奶油
196,沙漠
197,刺莓
198,"口味,"
199,水晶餃
200,"包子,"
201,口味
202,"口感,"
203,nan
204,nan
205,nan
206,nan
207,nan
208,nan
209,nan
210,nan
211,nan
212,蜜餞
213,口味
214,"鈔票,"
215,配料
216,糖
217,清冰
218,甜品
219,"感覺,"
220,"小菜,"
221,"古早味,"
222,經驗
223,廟
224,桌
225,料理
226,"口味,"
227,地點
228,"沙拉吧,"
229,"口味,"
230,nan
231,nan
232,nan
233,nan
234,人
235,"割包,"
236,nan
237,份
238,"點心,"
239,nan
240,nan
241,鹽蒸魚
242,"肚,"
243,鹽酥雞
244,味道
245,雞排
246,"胡椒粉,"
247,nan
248,鹼粥
249,台南人
250,習慣
251,早餐
252,台南人
253,阿堂
254,"鹼粥,"
255,鷹嘴
256,豆泥
257,漢堡
258,咖啡
259,奶茶
260,水準
261,"負擔,"
262,"身體,"
263,粥
264,"虱目魚,"
265,綠豆饌
266,芋頭
267,豬心
268,"時候,"
269,"滷肉飯,"
270,杏仁茶
271,人生
272,"涙點,"
273,"時候,"
274,台北人
275,味道
276,鴨肉
277,藥膳
278,"湯頭,"
279,手作
280,飾品
281,"品牌,"
282,吃法
283,成分
284,椪糖
285,韓式
286,"椪糖,"
287,nan
288,"朋友,"
289,美食
290,"旅,"
291,活力
292,"輕食,"
293,肉燥飯
294,米糕
295,兒子
296,湯類
297,"人,"
298,人
299,"口味,"
300,"人,"
301,"人,"
302,"人,"
303,人
304,所在
305,"滷味,"
306,人
307,小吃
308,古早味
309,炒米粉
310,"豬血湯,"
311,"人,"
312,人
313,"味道,"
314,人
315,"食慾,"
316,"人,"
317,罐頭
318,肉燥飯
319,罐頭
320,"擔仔麵,"
321,鱔魚麵
322,藥膳
323,"清湯,"
324,鱔魚麵
325,棺材板
326,原味
327,咖哩
328,"口味,"
329,鱔魚
330,"麵,"
331,鱔魚麵
332,味道
333,洋蔥
334,香
335,"鴨肉羹,"
336,"鱔魚麵,"
337,"鱔魚麵,"
338,鱔魚麵
339,口感
340,料理
341,種類
342,客人
343,"需求,"
344,鱔魚麵
345,棺材板
346,"蛋包飯,"
347,鱔魚羹
348,"口味,"
349,鱔魚
350,麵
351,"價格,"
352,"鱔魚,"
353,"鱔魚,"
354,鱔魚
355,"湯,"
356,"鱔魚,"
357,鱔魚
358,"火侯,"
